ranking,name,highSchool,position,height,weight,stars,rating,college
61,Quavaris Crouch,Harding University (Charlotte	 NC),ATH,6-0.5, 237 ,4,0.9699,Tennessee
62,Justin Eboigbe,Forest Park (Forest Park	 GA),SDE,6-4.5, 263 ,4,0.9698,Alabama
63,Jonah Tauanu'u,Narbonne (Harbor City	 CA),OT,6-5, 305 ,4,0.9695,Oregon
64,Ryan Hilinski,Orange Lutheran (Orange	 CA),PRO,6-3, 230 ,4,0.9695,South Carolina
65,Graham Mertz,Blue Valley North (Mission	 KS),PRO,6-3, 205 ,4,0.9689,Wisconsin
66,Trejan Bridges,Hebron (Carrollton	 TX),WR,6-1, 180 ,4,0.9687,Oklahoma
67,De'Gabriel Floyd,Westlake (Westlake Village	 CA),ILB,6-1.5, 231 ,4,0.9682,Texas
68,Mase Funa,Mater Dei (Santa Ana	 CA),ILB,6-2, 245 ,4,0.9681,Oregon
69,Charles Moore,Louisville (Louisville	 MS),SDE,6-4, 268 ,4,0.9681,Auburn
70,Dylan Wright,West Mesquite (Mesquite	 TX),WR,6-4, 215 ,4,0.9678,Texas A&M
71,Khris Bogle,Cardinal Gibbons (Fort Lauderdale	 FL),WDE,6-3.5, 212 ,4,0.9677,Florida
72,Brian Williams,Bishop Dunne (Dallas	 TX),S,6-1, 211 ,4,0.9677,Texas A&M
73,Nathan Pickering,Seminary (Seminary	 MS),DT,6-3.5, 286 ,4,0.9675,Mississippi State
74,Sean Rhyan,San Juan Hills (San Juan Capistrano	 CA),OG,6-4.5, 324 ,4,0.9671,UCLA
75,Jowon Briggs,Walnut Hills (Cincinnati	 OH),DT,6-2, 295 ,4,0.9667,Virginia
76,Amari Kight,Thompson (Alabaster	 AL),OT,6-6.5, 315 ,4,0.9648,Alabama
77,Byron Young,West Jones (Laurel	 MS),DT,6-2.5, 290 ,4,0.9647,Alabama
78,Shane Lee,St. Frances Academy (Baltimore	 MD),ILB,6-0, 243 ,4,0.9647,Alabama
79,Devyn Ford,North Stafford (Stafford	 VA),RB,5-11, 195 ,4,0.9643,Penn State
80,Demani Richardson,Waxahachie (Waxahachie	 TX),S,6-1, 209 ,4,0.9629,Texas A&M
81,Caedan Wallace,Hun School  (Princeton	 NJ),OG,6-5, 288 ,4,0.9627,Penn State
82,Jameson Williams,Cardinal Ritter College Prep (Saint Louis	 MO),WR,6-1.5, 169 ,4,0.9621,Ohio State
83,Faatui Tuitele,St. Louis (Honolulu	 HI),DT,6-2.5, 304 ,4,0.9609,Washington
84,DeMarcco Hellams,DeMatha Catholic (Hyattsville	 MD),S,6-1, 203 ,4,0.9603,Alabama
85,Elijah Higgins,Bowie (Austin	 TX),WR,6-3, 214 ,4,0.9601,Stanford
86,Jacob Bandes,Pittsburg (Pittsburg	 CA),DT,6-2, 315 ,4,0.9599,Washington
87,Wandale Robinson,Western Hills (Frankfort	 KY),APB,5-9, 175 ,4,0.9597,Nebraska
