ranking,name,highSchool,position,height,weight,stars,rating,college
992,John Branham Jr,Northland (Columbus	 OH),RB,5-10, 218 ,3,0.8551,Eastern Michigan
993,Kenan Johnson,Lake Minneola (Lake Minneola	 FL),CB,6-0, 175 ,3,0.8551,Georgia Tech
994,Terence Doston,Hillsborough (Tampa	 FL),ATH,5-11, 175 ,3,0.8548,West Virginia
995,Izaiah Henderson,Mater Dei (Middletown	 NJ),SDE,6-4, 265 ,3,0.8548,Boston College
996,Lexington Joseph,Miami Central (Miami	 FL),RB,5-6.5, 168 ,3,0.8547,FIU
997,Markel Reed,Temple (Temple	 TX),CB,6-1, 166 ,3,0.8547,Boise State
998,Harrison White,Klein (Spring	 TX),SDE,6-5, 263 ,3,0.8547,Baylor
999,Kamari Morales,Lincoln (Tallahassee	 FL),TE,6-3, 232 ,3,0.8547,North Carolina
1000,Nate Polk,Saguaro (Scottsdale	 AZ),S,6-2, 180 ,3,0.8545,Air Force
,,,,,,0,,uncommitted
NA,Christian LaValle,Mission Viejo (Mission Viejo	 CA),ILB,6-0, 230 ,3,0.8543,Utah State
NA,Charles Mincy Jr.,Mallard Creek (Charlotte	 NC),RB,5-10, 180 ,3,0.8542,uncommitted
NA,Donald Clay,John Curtis (New Orleans	 LA),S,5-11, 175 ,3,0.8540,SMU
NA,Jaylen Nichols,Myers Park (Charlotte	 NC),OT,6-5, 300 ,3,0.8540,South Carolina
NA,Brandon Joseph,College Station (College Station	 TX),S,6-1, 185 ,3,0.8540,Northwestern
NA,Christian James,Christian Brothers (Memphis	 TN),WDE,6-4, 245 ,3,0.8540,Vanderbilt
NA,Justin Dinka,Marcus (Flower Mound	 TX),RB,5-10.5, 185 ,3,0.8540,San Diego State
NA,Demetrius Mauney,East Rutherford (Forest City	 NC),ATH,6-0, 195 ,3,0.8540,East Carolina
NA,Joseph Honeysucker,Hillsboro (Nashville	 TN),WDE,6-2.5, 217 ,3,0.8540,Memphis
NA,Bryce Gallagher,St. Sebastian's (Needham	 MA),OLB,6-3, 215 ,3,0.8540,Northwestern
NA,Tate Hallock,Forest Hills Central (Grand Rapids	 MI),ATH,6-3, 185 ,3,0.8540,Michigan State
NA,Demarco Jones,Booker T. Washington (Tulsa	 OK),CB,6-1, 175 ,3,0.8540,Oklahoma State
NA,Jouvensly Bazil,Golden Gate (Naples	 FL),APB,5-10, 180 ,3,0.8540,Washington State
NA,Kerry Martin,Capital (Charleston	 WV),S,6-2, 188 ,3,0.8540,West Virginia
NA,Jahquez Evans,Mays (Atlanta	 GA),DUAL,6-2, 180 ,3,0.8540,USF
NA,Tyreese Jackson,Westgate (New Iberia	 LA),RB,5-11, 208 ,3,0.8539,Colorado State
NA,Jacob Wahlberg,Mona Shores (Muskegon	 MI),ILB,6-4, 215 ,3,0.8539,Purdue
NA,Corey Thomas,Central Catholic (Pittsburgh	 PA),S,6-4, 190 ,3,0.8539,Akron
NA,Peter Hayes-Patrick,Timber Creek (Orlando	 FL),RB,5-10, 180 ,3,0.8538,Akron
NA,Cameron Allen,Graham (Bluefield	 VA),CB,6-1, 185 ,3,0.8538,Purdue
NA,Chris Reames,Van Meter (Van Meter	 IA),SDE,6-7, 225 ,3,0.8538,Iowa
NA,Corey Williams,Episcopal (Bellaire	 TX),ATH,5-11, 180 ,3,0.8538,Southern University
NA,Jordan Patterson,Westlake (Westlake Village	 CA),S,6-3, 191 ,3,0.8538,uncommitted
NA,Michael Lockhart,Huffman (Birmingham	 AL),DT,6-5, 264 ,3,0.8537,Georgia Tech
NA,Keegan Duncan,Declo Senior (Declo	 ID),ATH,6-3, 220 ,3,0.8537,Boise State
NA,Patrick Utschinski,Walla Walla (Walla Walla	 WA),OT,6-7, 280 ,3,0.8537,Washington State
NA,Kendall Wilkerson,Kentwood (Kentwood	 LA),SDE,6-5, 265 ,3,0.8537,Louisiana
NA,Anthony Watkins,South Hills (Fort Worth	 TX),S,6-0, 180 ,3,0.8535,Missouri
NA,Brandon Shivers,Saguaro (Scottsdale	 AZ),CB,6-1, 175 ,3,0.8534,New Mexico State
NA,Josh McKenzie,Bergen Catholic (Oradell	 NJ),ATH,5-9, 180 ,3,0.8534,Yale
NA,Zamar Wise,Barringer (Newark	 NJ),DUAL,6-3, 205 ,3,0.8534,Rutgers
NA,Beau Taylor,Bishop Gorman (Las Vegas	 NV),OG,6-5, 286 ,3,0.8534,UCLA
NA,Will Gipson,Aliquippa (Aliquippa	 PA),ATH,6-3, 175 ,3,0.8534,Pittsburgh
NA,Joachim Bangda,St. Frances Academy (Washington	 DC),RB,5-10, 215 ,3,0.8533,Kent State
NA,Mohamed Toure,Pleasantville (Pleasantville	 NJ),ILB,6-2, 213 ,3,0.8532,Rutgers
NA,Jaylen Martin,Eleanor Roosevelt (Corona	 CA),CB,6-2, 170 ,3,0.8532,California
NA,Elijah Mojarro,Orange Lutheran (Orange	 CA),TE,6-4, 225 ,3,0.8532,California
NA,Konner Gomness,San Joaquin Memorial (Fresno	 CA),OG,6-4, 270 ,3,0.8531,Washington State
NA,Joey Velazquez,St. Francis De Sales (Columbus	 OH),S,6-0, 205 ,3,0.8531,Michigan
NA,Jayden Russell,St. Thomas Aquinas (Overland Park	 KS),S,6-2, 180 ,3,0.8531,Kansas
NA,Joshua Fuga,Freedom (Woodbridge	 VA),DT,6-1, 301 ,3,0.8530,Virginia Tech
NA,Josh DeBerry,De La Salle Collegiate (Warren	 MI),CB,6-0, 165 ,3,0.8530,Boston College
NA,Dawand Jones,Ben Davis (Indianapolis	 IN),OT,6-8, 360 ,3,0.8527,Ohio State
NA,Isreal Isuman-Hundley,Colleyville Heritage (Colleyville	 TX),WDE,6-5, 230 ,3,0.8527,Oklahoma State
NA,McKel Broussard,Notre Dame (Sherman Oaks	 CA),ATH,6-0, 182 ,3,0.8527,UTEP
NA,Brian Dillard,Lake Weir (Ocala	 FL),CB,6-2, 190 ,3,0.8527,FIU
NA,Joacheim Price,Harry D Jacobs (Algonquin	 IL),OT,6-8, 315 ,3,0.8527,Western Michigan
NA,LaKenith Thompson,Callaway (Jackson	 MS),RB,6-1, 205 ,3,0.8527,uncommitted
NA,Tre Huntley,Lakeland (Lakeland	 FL),WDE,6-3, 225 ,3,0.8527,uncommitted
NA,Bertrand Carrell,Madison Prep Academy (Baton Rouge	 LA),S,5-11, 180 ,3,0.8527,Southern University
,,,,,,0,,uncommitted
NA,Kendarias Moses,Southern University Lab School (Baton Rouge	 LA),S,6-3, 173 ,3,0.8527,uncommitted
NA,Justin Fomby,Central Gwinnett (Lawrenceville	 GA),PRO,6-4, 185 ,3,0.8527,Northern Iowa
NA,Trevis Hopper,Memphis Central (Memphis	 TN),DT,6-2, 260 ,3,0.8527,Memphis
NA,Joko Willis,Troup County (Lagrange	 GA),ILB,6-3, 200 ,3,0.8527,uncommitted
NA,Travon Thomas,Edison (Miami	 FL),SDE,6-2, 225 ,3,0.8527,Florida Atlantic
NA,Allen Smith,Grayson (Loganville	 GA),OLB,6-3, 205 ,3,0.8527,Louisville
NA,Skyler Meyers,Blue Springs (Blue Springs	 MO),OLB,6-3, 200 ,3,0.8526,Wisconsin
NA,Conrad Rowley,Blue Springs (Blue Springs	 MO),OG,6-4, 275 ,3,0.8526,Northwestern
NA,Josh Foster,Newton (Newton	 TX),ATH,6-0, 165 ,3,0.8526,TCU
NA,Myles Jernigan,South Grand Prairie (Grand Prairie	 TX),OLB,6-3, 209 ,3,0.8526,California
NA,Treyson Potts,Williamsport Area (Williamsport	 PA),APB,5-10, 182 ,3,0.8526,Minnesota
NA,Tony Amerson,St James School (Montgomery	 AL),RB,5-11, 220 ,3,0.8526,Georgia Tech
NA,Jamil Muhammad,James Clemens (Madison	 AL),ATH,6-1, 217 ,3,0.8526,Vanderbilt
NA,Hayden Wolff,Venice (VENICE	 FL),PRO,6-5, 212 ,3,0.8526,Old Dominion
NA,Jalen Mitchell,Rockledge (Southwest Brevard Cnty	 FL),RB,5-11, 201 ,3,0.8526,Louisville
NA,Ahdarrious Gee,Crisp County (Cordele	 GA),ILB,6-1, 190 ,3,0.8526,Troy
NA,Niko Hea,Christian Brothers College (Saint Louis	 MO),TE,6-5, 220 ,3,0.8523,Missouri
NA,Jarrad Baker,Eau Gallie (Melbourne	 FL),CB,6-0, 175 ,3,0.8521,UCF
NA,Christian Rorie,William G Enloe (Raleigh	 NC),SDE,6-5, 267 ,3,0.8521,Duke
NA,TJ McDaniel,Southlake Carroll (Southlake	 TX),ATH,5-11, 187 ,3,0.8519,SMU
NA,Brady Latham,Jenks (Jenks	 OK),OT,6-5, 287 ,3,0.8519,Arkansas
NA,Brandon Legendre,E D White Catholic (Thibodaux	 LA),ATH,5-9, 180 ,3,0.8519,Louisiana
NA,Cole Kramer,Eden Prairie (Eden Prairie	 MN),DUAL,6-1, 188 ,3,0.8519,Minnesota
NA,Alphonzo Tuputala,Federal Way (Federal Way	 WA),ILB,6-1.75, 249 ,3,0.8519,Washington
NA,Zahran Manley,Upland (Upland	 CA),CB,6-2, 176 ,3,0.8519,Stanford
NA,Willie Harts,Pittsburg (Pittsburg	 CA),CB,6-0, 170 ,3,0.8519,Arizona State
NA,Chico Bennett Jr.,Battle Ground Academy (Franklin	 TN),OLB,6-4, 215 ,3,0.8519,Georgia Tech
NA,Bam Brima,Loyalsock Twp (Worcester	 MA),SDE,6-6, 230 ,3,0.8519,Pittsburgh
NA,Jay Stanley,Brandon (Brandon	 MS),S,6-2, 195 ,3,0.8519,Ole Miss
NA,Alonzo Hall,Reseda Senior (Reseda	 CA),WDE,6-5, 245 ,3,0.8519,Wyoming
NA,Chris Toudle,John T Hoggard (Wilmington	 NC),WR,6-4, 215 ,3,0.8519,N.C. State
NA,Isaiah Washington,Trinity Christian Academy (Jacksonville	 FL),WR,6-3, 192 ,3,0.8518,Rutgers
NA,Marcus Miller,Warren (Warren	 AR),DT,6-5, 300 ,3,0.8518,Arkansas
NA,DeShawn Page,Fulton (Knoxville	 TN),ILB,6-2, 215 ,3,0.8518,Marshall
NA,Ali Jennings,Highland Springs (Highland Springs	 VA),WR,6-2, 186 ,3,0.8518,West Virginia
NA,Akili Arnold,Mission Viejo (Mission Viejo	 CA),ATH,6-1, 190 ,3,0.8516,Oregon State
NA,Edward Gipson,Pelham (Pelham	 AL),ATH,6-3, 190 ,3,0.8516,Jacksonville State
NA,Jojo Hawkins,Orange Lutheran (Buena Park	 CA),ATH,5-9, 160 ,3,0.8516,Princeton
NA,Jake Bailey,St. John Bosco (Bellflower	 CA),ATH,5-10, 180 ,3,0.8516,Rice
NA,David Summers,St Joseph (Trumbull	 CT),PRO,6-3, 205 ,3,0.8514,Syracuse
NA,Zykamren Robinson,Spartanburg (Spartanburg	 SC),RB,5-11.5, 222 ,3,0.8514,uncommitted
NA,Solomon Turner,Prestonwood Christian (Plano	 TX),S,6-1.5, 209 ,3,0.8513,Baylor
NA,Maurice Smith,Miami Central (Miami	 FL),OG,6-2, 276 ,3,0.8513,Florida State
NA,Rayyan Buell,Hornell Senior (Hornell	 NY),DT,6-2, 280 ,3,0.8512,Rutgers
NA,Chris'Seon Stringer,Taft  (Cincinnati	 OH),WR,6-3, 180 ,3,0.8512,Toledo
NA,Payton Thorne,Naperville Central (Naperville	 IL),DUAL,6-2, 187 ,3,0.8511,Michigan State
NA,Kendre Gant,Port St. Joe (Port Saint Joe	 FL),WR,6-3, 193 ,3,0.8511,FIU
NA,Junior Tafuna,Bingham (South Jordan	 UT),OLB,6-3, 220 ,3,0.8511,Utah
NA,Dylan Rathcke,University Lab (Baton Rouge	 LA),OT,6-5, 290 ,3,0.8510,Arkansas
NA,Clay Cundiff,Bishop Carroll (Wichita	 KS),TE,6-4, 230 ,3,0.8510,Wisconsin
,,,,,,0,,uncommitted
NA,Daraun McKinney,River Rouge (River Rouge	 MI),ATH,5-10, 170 ,3,0.8510,Iowa
NA,Cecil Powell,Piper (Fort Lauderdale	 FL),S,6-1, 193 ,3,0.8507,N.C. State
NA,Dejon Benton,Pittsburg (Pittsburg	 CA),DT,6-2.5, 260 ,3,0.8506,USC
NA,Jordan Kerley,McNeil (Austin	 TX),WR,6-1, 190 ,3,0.8506,Arizona State
NA,Skylar Loving-Black,Valley Christian (San Jose	 CA),TE,6-3, 220 ,3,0.8506,Iowa State
NA,Cameron Wiley,Desert Pines (Las Vegas	 NV),ATH,6-2, 195 ,3,0.8506,Minnesota
NA,Nyles Beverly,Nordonia (Macedonia	 OH),CB,5-11, 180 ,3,0.8506,Purdue
NA,Tra Wilkins,Stephenson (Stone Mountain	 GA),ILB,6-0, 215 ,3,0.8506,Kentucky
NA,Jalen Williams,Landon School (Bethesda	 MD),S,6-0, 193 ,3,0.8506,Boston College
NA,Michael Katic,Pine-Richland (Gibsonia	 PA),OG,6-4, 270 ,3,0.8506,Indiana
NA,Simon Gonzalez,Magnolia West (Magnolia	 TX),TE,6-3, 222 ,3,0.8505,Texas Tech
NA,Stacy Brown,Duncanville (Duncanville	 TX),S,6-2, 194 ,3,0.8505,Missouri
NA,Arvell Ferguson,Kirkwood (Saint Louis	 MO),WDE,6-5, 215 ,3,0.8505,uncommitted
NA,Joey Capra,Placer (Auburn	 CA),OC,6-4, 275 ,3,0.8505,San Diego State
NA,Jake Karchinski,West De Pere (De Pere	 WI),SDE,6-5, 245 ,3,0.8505,Iowa
NA,Cameron Mitchell,Bolingbrook (Bolingbrook	 IL),CB,5-11, 175 ,3,0.8505,Northwestern
NA,Donovan Ollie,Wylie (Wylie	 TX),WR,6-3, 205 ,3,0.8505,Washington State
NA,Derrick Miller,John Burroughs School (Saint Louis	 MO),CB,5-10.5, 168 ,3,0.8505,Iowa State
NA,Lew Nichols III,Cass Technical (Southfield	 MI),RB,5-11, 200 ,3,0.8505,Central Michigan
NA,Joel DeCoursey,Zionsville (Zionsville	 IN),TE,6-5, 220 ,3,0.8505,Vanderbilt
NA,Devin Ellison,Bartram Trail (Jacksonville	 FL),RB,5-9, 190 ,3,0.8505,Georgia Tech
NA,Keevan Bailey,Salem (Conyers	 GA),CB,6-1, 175 ,3,0.8505,Colorado State
NA,MJ Griffin,Saline (Saline	 MI),S,6-2, 195 ,3,0.8504,Temple
NA,Lincoln Victor,Union (Vancouver	 WA),ATH,5-10, 165 ,3,0.8499,Hawaii
NA,Deonte Simpson,West Brook (Beaumont	 TX),WR,6-0, 192 ,3,0.8499,North Texas
NA,Cortlin Martin,Blount (Eight Mile	 AL),OLB,6-1, 265 ,3,0.8499,uncommitted
NA,Donivan Wright,Lawrence Central (Indianapolis	 IN),WR,6-0, 165 ,3,0.8499,uncommitted
NA,Ife Adeyi,Mansfield Legacy (Mansfield	 TX),WR,5-9, 160 ,3,0.8499,Sam Houston State
NA,Jamel Hamm,Fork Union Military (HS) (Cleveland	 OH),CB,6-5, 200 ,3,0.8499,uncommitted
NA,Hunter Hill,Orem (Orem	 UT),OT,6-6, 275 ,3,0.8498,Utah State
NA,Malcolm Ray,Miami Carol City (Opa Locka	 FL),DT,6-2, 247 ,3,0.8498,Florida State
NA,Mike Brown-Stephens,Springfield  (Springfield	 OH),WR,5-11, 178 ,3,0.8498,Minnesota
NA,Evan Bennett,Mater Dei (Santa Ana	 CA),DT,6-3, 315 ,3,0.8497,Oregon State
NA,Stone Norton,Davidson Academy (Nashville	 TN),PRO,6-3, 190 ,3,0.8497,FIU
NA,Jashon Watkins,East Nashville Magnet School (Nashville	 TN),ATH,6-3.5, 180 ,3,0.8493,Memphis
NA,Kameron Blount,St. Charles (Waldorf	 MD),OLB,6-2, 216 ,3,0.8493,Maryland
NA,Rodrigues Clark,Starkville (Starkville	 MS),RB,5-11, 205 ,3,0.8493,Memphis
NA,John Gelotte,Dorman (Roebuck	 SC),OT,6-6, 280 ,3,0.8493,Duke
NA,Justin Menard,Eagles Landing Christian Academy (Stockbridge	 GA),CB,5-11, 180 ,3,0.8493,UCF
NA,Drake Nugent,Highlands Ranch (Littleton	 CO),OC,6-2, 275 ,3,0.8492,Stanford
NA,Bryce Ramsey,Harrison Central (Gulfport	 MS),OG,6-1.5, 336 ,3,0.8492,Ole Miss
NA,Jeremiah Pruitte,Wheeler (Marietta	 GA),ATH,6-6, 218 ,3,0.8492,uncommitted
NA,Dequan Finn,Martin Luther King (Detroit	 MI),DUAL,6-1, 183 ,3,0.8491,Toledo
NA,Mykol Clark,Crowley (Crowley	 TX),WDE,6-4, 212 ,3,0.8491,Louisiana Tech
NA,Michael Kern,Lake Nona (Orlando	 FL),PRO,6-1, 168 ,3,0.8486,Wake Forest
NA,Tyler Guidry,Southern University Lab School (Baton Rouge	 LA),OLB,6-2, 220 ,3,0.8485,Louisiana
NA,Xavier Ross,Cedar Hill (Cedar Hill	 TX),DT,6-3, 285 ,3,0.8485,Oklahoma State
NA,Solomon Brown,Largo (Largo	 FL),CB,5-11, 170 ,3,0.8485,Minnesota
NA,Alex Padilla,Cherry Creek (Englewood	 CO),PRO,6-1, 190 ,3,0.8485,Iowa
NA,Adetomiwa Adebawore,North Kansas City (Kansas City	 MO),SDE,6-1.5, 251 ,3,0.8485,Northwestern
,,,,,,0,,uncommitted
NA,Josh Ahern,Lake Braddock (Burke	 VA),ILB,6-3, 217 ,3,0.8485,Virginia
NA,Leonard Glass,San Joaquin Memorial (Fresno	 CA),ATH,5-8.5, 173 ,3,0.8485,Iowa State
NA,C.J. Person,Montgomery Catholic Preparatory (Montgomery	 AL),DT,6-2, 295 ,3,0.8485,Indiana
NA,Thomas Grayson,Booker T. Washington (Tulsa	 OK),RB,6-0, 190 ,3,0.8485,Kansas State
NA,Caleb Oppan,North Cobb (Kennesaw	 GA),WDE,6-4, 220 ,3,0.8485,Duke
NA,De'Mitri Monroe,Van Vleck (Van Vleck	 TX),APB,5-10, 180 ,3,0.8485,uncommitted
NA,Aman Greenwood,St. John's College HS (Washington	 DC),S,6-0, 180 ,3,0.8485,Syracuse
NA,Aric Horne,Raines (Jacksonville	 FL),ILB,6-1, 210 ,3,0.8485,Iowa State
NA,Raykwon Anderson,Charlton County (Folkston	 GA),CB,5-9, 167 ,3,0.8485,Appalachian State
NA,Luke Baker,Gulf Coast (Naples	 FL),TE,6-5, 217 ,3,0.8485,Southern Miss
NA,Caleb Warren,Nanih Waiya Attendance Center (Louisville	 MS),OT,6-4, 305 ,3,0.8485,Ole Miss
NA,Gyasi Mattison,Hillsboro (Nashville	 TN),ATH,6-0, 170 ,3,0.8484,uncommitted
NA,Steven Hawthorne,De La Salle Institute (Chicago	 IL),WDE,6-4, 220 ,3,0.8484,Cincinnati
NA,Darius Williams,Norland (Miami	 FL),OLB,6-0, 210 ,3,0.8484,USF
NA,Stephan Bracey,East Kentwood (Grand Rapids	 MI),WR,5-9, 160 ,3,0.8481,Wisconsin
NA,Jordan Kirkbride,Bishop Hartley (Columbus	 OH),TE,6-6, 230 ,3,0.8480,Dartmouth
NA,Damon Kaylor,Huntington North (Huntington	 IN),OT,6-6, 315 ,3,0.8480,Michigan State
NA,Carter Colquitt,Buford (Buford	 GA),OT,6-5, 300 ,3,0.8480,Ole Miss
NA,James Williams,Chaminade-Madonna Prep (Hollywood	 FL),CB,5-11, 175 ,3,0.8479,Wisconsin
NA,Kinkead Dent,Jackson Academy (Flowood	 MS),PRO,6-5, 205 ,3,0.8479,Ole Miss
NA,Dino Tomlin,Shady Side Academy (Pittsburgh	 PA),WR,6-0, 165 ,3,0.8478,Maryland
NA,Aaron Lowe,West Mesquite (Mesquite	 TX),S,6-0, 180 ,3,0.8477,Utah
NA,Sam LaPorta,Highland (Highland	 IL),TE,6-4, 225 ,3,0.8477,Iowa
NA,Sam Saxton,St. Michael's Academy (Austin	 TX),PRO,6-5, 190 ,3,0.8477,uncommitted
NA,Carl Jones,Bakersfield (Bakersfield	 CA),S,6-1, 195 ,3,0.8477,UCLA
NA,Brett Gabbert,Christian Brothers College (Saint Louis	 MO),PRO,6-0, 190 ,3,0.8477,Miami (OH)
NA,Jalon Calhoun,Southside (Greenville	 SC),WR,5-11, 177 ,3,0.8477,Duke
NA,Kevin Hester,North Cobb (Kennesaw	 GA),SDE,6-6, 230 ,3,0.8477,North Carolina
NA,Sione Finau,Central HS (Keller	 TX),OG,6-3, 300 ,3,0.8477,FIU
NA,Andrew Henry,Allen (Allen	 TX),RB,5-10, 180 ,3,0.8477,uncommitted
NA,EJ Jackson,Glades Central (West Palm Beach	 FL),CB,6-0, 170 ,3,0.8477,uncommitted
NA,Z'Core Brooks,Woodrow Wilson (Dallas	 TX),WDE,6-6, 220 ,3,0.8477,Missouri
NA,Jalen McGaughy,Martin Luther King (Detroit	 MI),WR,6-3, 195 ,3,0.8477,Ball State
NA,Nate Leskovec,Solon (Solon	 OH),SDE,6-3, 250 ,3,0.8477,Harvard
NA,Trevor Solomon-Wilson,Amos P. Godby (Tallahassee	 FL),WR,5-10, 190 ,3,0.8477,Buffalo
NA,Luke Weerts,Batavia (Batavia	 IL),ILB,6-2, 231 ,3,0.8477,North Dakota State
NA,Logic Hudgens,Archbishop Spalding (Severn	 MD),CB,6-0, 180 ,3,0.8477,Buffalo
NA,Deshawn Holt,Westlake (Waldorf	 MD),WDE,6-5, 220 ,3,0.8474,Maryland
NA,Franklin Banks,El Cerrito (El Cerrito	 CA),DT,6-1, 360 ,3,0.8473,uncommitted
NA,RJ Orebo,Dayton (Dayton	 TX),OLB,6-6, 235 ,3,0.8473,Texas A&M
NA,TJ Franklin,Temple (Temple	 TX),SDE,6-5, 280 ,3,0.8473,Baylor
NA,Luke Felix-Fualalo,Mater Dei (Santa Ana	 CA),OT,6-7, 300 ,3,0.8473,Utah
NA,Alec Pell,Cherry Creek (Englewood	 CO),OLB,6-4, 230 ,3,0.8473,Colorado
NA,Jalen Johnson,Eleanor Roosevelt (Corona	 CA),WR,6-2.5, 170 ,3,0.8473,Arizona
NA,Jamari Williams,Cardinal Gibbons (Fort Lauderdale	 FL),OG,6-4, 275 ,3,0.8472,Arizona
NA,Keyon Lesane,Butler (Matthews	 NC),WR,6-0, 180 ,3,0.8472,N.C. State
NA,Jordan Waters,Fairmont (Fairmont	 NC),WR,6-1, 201 ,3,0.8472,Duke
NA,Storm Duck,Boiling Springs (Boiling Springs	 SC),CB,6-1, 180 ,3,0.8472,North Carolina
NA,Jordan Jakes,St. Frances Academy (McDonough	 GA),WR,6-5, 195 ,3,0.8472,Indiana
NA,Knowledge McDaniel,Braden River (Bradenton	 FL),RB,5-11, 215 ,3,0.8472,Marshall
,,,,,,0,,uncommitted
NA,Zay Flowers,University School (Fort Lauderdale	 FL),WR,5-11, 170 ,3,0.8471,Boston College
NA,Ja'Quan McMillian,West Forsyth (Clemmons	 NC),CB,5-9, 165 ,3,0.8471,East Carolina
NA,Paul Matavao-Poialii,Jefferson (Daly City	 CA),OG,6-4, 330 ,3,0.8469,Baylor
NA,Braylen Weems,Archer (Lawrenceville	 GA),WR,5-11, 170 ,3,0.8468,uncommitted
NA,Khymani Martin,Palm Glades Prep (Miami	 FL),WR,6-2, 195 ,3,0.8467,uncommitted
NA,Ni'Kendrick Carter,Many (Many	 LA),OLB,6-3, 230 ,3,0.8466,FIU
NA,Jha'Quan Jackson,Hahnville (Boutte	 LA),ATH,5-10, 175 ,3,0.8466,Tulane
NA,Brian Ugwu,Hillside (Hillside	 NJ),WDE,6-2, 222 ,3,0.8466,Rutgers
NA,Paris Brown Jr.,McEachern (Powder Springs	 GA),RB,5-10, 198 ,3,0.8466,uncommitted
NA,David Spaulding,Bradwell Institute (Hinesville	 GA),CB,6-2, 185 ,3,0.8466,Georgia Southern
NA,Isaiah Howard,Grayson (Loganville	 GA),SDE,6-4, 285 ,3,0.8466,Baylor
NA,Ezeriah Anderson,Armwood (Seffner	 FL),WR,6-5, 210 ,3,0.8465,Iowa State
NA,Trey Rucker,Flint Hill School (Oakton	 VA),S,6-0, 190 ,3,0.8465,Wake Forest
NA,Jayden Williams,Centennial (Corona	 CA),S,6-1, 190 ,3,0.8465,USC
NA,Ke'Andre Street,John Tyler (Tyler	 TX),WR,6-3, 200 ,3,0.8464,Houston
NA,Amani Gilmore,Amite (Amite	 LA),PRO,6-2, 200 ,3,0.8464,Kentucky
NA,Deshon Hall,East Ascension (Gonzales	 LA),DT,6-2, 250 ,3,0.8464,Louisiana Tech
NA,Connor Grieco,St Joseph Regional (Montvale	 NJ),S,6-3, 198 ,3,0.8464,Boston College
NA,Desmond Hutson,Raytown Sr. (Kansas City	 MO),WR,6-4, 190 ,3,0.8464,Iowa
NA,Jake Remsburg,Valley (West Des Moines	 IA),OT,6-6, 305 ,3,0.8464,Iowa State
NA,Tacorey Turner,Park Crossing (Montgomery	 AL),CB,6-2, 180 ,3,0.8464,West Virginia
NA,Levi Williams,Smithson Valley (Spring Branch	 TX),PRO,6-4, 193 ,3,0.8464,Wyoming
NA,Tyler Smith,Salem (Conyers	 GA),WR,6-0, 170 ,3,0.8464,Western Kentucky
NA,Kendall Young,Bentonville West (Centerton	 AR),OLB,6-5, 215 ,3,0.8464,uncommitted
NA,Billy Pospisil,Pomona (Arvada	 CO),WR,5-11, 190 ,3,0.8463,Washington State
NA,Devin Baldwin,Southfield (Southfield	 MI),SDE,6-5, 260 ,3,0.8463,Rutgers
NA,Isaiah McGuire,Union (Tulsa	 OK),SDE,6-5, 260 ,3,0.8460,Missouri
NA,Gary Cooper,Columbus (Miami	 FL),TE,6-1, 217 ,3,0.8460,Indiana
NA,Lloyd Murray Jr.,Hirschi (Wichita Falls	 TX),DT,6-2, 310 ,3,0.8459,Colorado
NA,Nazir Burnett,Bishop McDevitt (Harrisburg	 PA),WR,6-0.5, 167 ,3,0.8457,Georgia Tech
NA,Grayson Murphy,Bishop Lynch (Dallas	 TX),OLB,6-2, 215 ,3,0.8456,North Texas
NA,Armauni Archie,El Cerrito (El Cerrito	 CA),CB,6-1, 175 ,3,0.8456,Washington State
NA,Dell Pettus,Sparkman  (Harvest	 AL),CB,5-10, 174 ,3,0.8456,Troy
NA,Nik Scalzo,Cardinal Gibbons (Fort Lauderdale	 FL),DUAL,6-0, 175 ,3,0.8454,Kentucky
NA,Billy Sonnier,Northside (Lafayette	 LA),WDE,6-6, 225 ,3,0.8454,uncommitted
NA,Kendrell Scurry,Maplewood (Nashville	 TN),WR,6-2, 185 ,3,0.8453,uncommitted
NA,Keeanu Benton,Craig (Janesville	 WI),DT,6-4, 290 ,3,0.8453,Wisconsin
NA,Joseph Hocker,Deer Park (Cincinnati	 OH),TE,6-6, 235 ,3,0.8452,FIU
NA,Tausili Fiatoa,Kahuku (Kahuku	 HI),OLB,6-2, 195 ,3,0.8452,Navy
NA,Kaiden Bennett,Folsom (Folsom	 CA),DUAL,6-0, 170 ,3,0.8452,Boise State
NA,Falcon Kaumatule,Bishop Gorman (Las Vegas	 NV),ATH,6-8, 245 ,3,0.8452,Utah
NA,Larry McCammon,Hoover (Hoover	 AL),RB,5-10, 199 ,3,0.8452,Florida Atlantic
NA,Wynston Russell,Homewood-Flossmoor (Flossmoor	 IL),CB,5-11, 180 ,3,0.8452,Oregon State
NA,Dylan Hall,Antelope Valley (Lancaster	 CA),SDE,6-5.5, 230 ,3,0.8452,Boise State
NA,Braxton Ragland,St. Clair County (Odenville	 AL),S,5-11, 175 ,3,0.8452,uncommitted
NA,Jake Wiley,Eaglecrest (Aurora	 CO),OG,6-5, 250 ,3,0.8452,Colorado
NA,CJ Johnson,Greenwood (Greenwood	 MS),ATH,6-1, 180 ,3,0.8452,Louisiana Tech
NA,Sio Nofoagatoto'a,Clearwater Academy International (Clearwater	 FL),DT,6-2, 321 ,3,0.8452,Indiana
NA,Rashean Lynn,Cocoa (Cocoa	 FL),WR,6-5, 184 ,3,0.8452,West Virginia
