"ranking","name","highSchool","position","height","weight","stars","rating","college"
1,"Jared Gaither","Hargrave Military Academy (Chatham, VA)","OT","6-9","300",4,"0.9333","Maryland"
2,"Brandon Fanney","Hargrave Military Academy (Chatham, VA)","SDE","6-5","260",4,"0.9002","Alabama"
3,"William Wall","Hargrave Military Academy (Chatham, VA)","SDE","6-5","255",3,"0.8741","Virginia Tech"
4,"Phillip Merling","Fork Union Military Academy (Fork Union, VA)","SDE","6-5","265",3,"0.8695","Clemson"
5,"Chub Small","Hargrave Military Academy (Chatham, VA)","APB","5-9","190",3,"0.8333","Marshall"
6,"Terry Mitchell","Hargrave Military Academy (Chatham, VA)","DUAL","6-3","185",3,"0.8333","West Virginia"
7,"Curtiss Powell","Fork Union Military Academy (Fork Union, VA)","ILB","6-1","215",3,"0.8333","SMU"
8,"Peria Jerry","Hargrave Military Academy (Chatham, VA)","SDE","6-2","270",3,"0.8333","Ole Miss"
9,"Richard Abney","Fork Union Military Academy (Fork Union, VA)","WR","5-11","187",3,"0.8000","Syracuse"
10,"Antonio Dixon","Milford Academy (New Berlin, NY)","DT","6-4","338",2,"0.7667","Miami"
11,"Branden Albert","Hargrave Military Academy (Glen Burnie, MD)","OT","6-7","340",2,"0.7667","Virginia"
12,"Lorenzo Washington","Hargrave Military Academy (Chatham, VA)","DT","6-5","275",2,"0.7667","Alabama"
13,"Brian Simmons","Hargrave Military Academy (Chatham, VA)","DT","6-4","290",2,"0.7667","Oklahoma"
14,"Mark Parson","Fork Union Military Academy (Fork Union, VA)","CB","5-10","192",2,"0.7667","Ohio"
15,"Shonn Greene","Milford Academy (New Berlin, NY)","RB","5-11","210",2,"0.7333","Iowa"
16,"Jermaine Strong","Fork Union Military Academy (Fork Union, VA)","CB","5-10","180",2,"0.7333","North Carolina"
17,"Durrell Barry","Fork Union Military Academy (Fork Union, VA)","TE","6-5","242",2,"0.7333","Clemson"
18,"Brendon Moss","Fork Union Military Academy (Fork Union, VA)","OT","6-6","256",2,"0.7333","Michigan State"
19,"Sam Wheeler","Hargrave Military Academy (Chatham, VA)","ILB","6-3","235",2,"0.7333","Virginia Tech"
20,"Fred Fairchild","Hargrave Military Academy (Chatham, VA)","OLB","6-2","206",2,"0.7333","Arkansas"
21,"Bryan Payton","Fork Union Military Academy (Fork Union, VA)","RB","5-9","185",2,"0.7333","Indiana"
22,"Clarence Howard","Milford Academy (New Berlin, NY)","ILB","6-4","265",2,"0.7333","UCF"
23,"Sam Zimmerer","Air Force Prep (U S A F Academy, CO)","SDE","6-4","240",2,"0.7333","Colorado"
24,"Curtis Brinkley","Hargrave Military Academy (Chatham, VA)","APB","5-10","180",2,"0.7333","Syracuse"
25,"Willie Young","Hargrave Military Academy (Chatham, VA)","WDE","6-5","210",2,"0.7333","N.C. State"
26,"Breon Rogers","Hargrave Military Academy (Chatham, VA)","S","6-3","195",2,"0.7333","UCF"
27,"Rob Getek","Milford Academy (New Berlin, NY)","TE","6-7","255",2,"0.7333","Connecticut"
28,"Brandon Holland","Hargrave Military Academy (Chatham, VA)","OG","6-6","276",2,"0.7333","Virginia Tech"
29,"Lionel Mitchell","Hargrave Military Academy (Chatham, VA)","CB","6-2","195",2,"0.7333","Alabama"
30,"Marcus Roberson","Fork Union Military Academy (Fork Union, VA)","OLB","6-2","200",2,"0.7333","Marshall"
31,"Brandon Anderson","Hargrave Military Academy (Chatham, VA)","CB","5-11","160",2,"0.7333","Akron"
32,"Jordan Richards","Hargrave Military Academy (Chatham, VA)","OLB","6-1","225",2,"0.7000","UCF"
33,"Don Hargroder","Hargrave Military Academy (Chatham, VA)","OLB","6-0","185",2,"0.7000","Louisiana-Lafayette"
34,"Deanco Oliver","Hargrave Military Academy (Chatham, VA)","WR","6-2","200",2,"0.7000","Syracuse"
35,"Norm Gee","Fork Union Military Academy (Fork Union, VA)","SDE","6-5","252",2,"0.7000","Duke"
36,"Elsmore Gabriel","Fork Union Military Academy (Fork Union, VA)","DT","6-4","260",2,"0.7000","Clemson"
37,"Shane Smith","Milford Academy (New Berlin, NY)","RB","6-3","220",2,"0.7000","UCF"
38,"Jeremy Horne","Milford Academy (New Berlin, NY)","WR","6-3","180",2,"0.7000","Syracuse"
39,"Ray Norell","Milford Academy (New Berlin, NY)","OT","6-6","295",2,"0.7000","Buffalo"
40,"CJ Spillman","Fork Union Military Academy (Fork Union, VA)","WR","6-1","195",1,"0.6667","Marshall"
