"ranking","name","highSchool","position","height","weight","stars","rating","college"
1,"Ray Gant","Hargrave Military Academy (Chatham, VA)","DT","6-3","280",3,"0.8667","Georgia"
2,"Tymere Zimmerman","Fork Union Military Academy (Fork Union, VA)","WR","6-4","195",3,"0.8667","Clemson"
3,"Darryl Blackstock","Fork Union Military Academy (Fork Union, VA)","WDE","6-4","225",3,"0.8667","Virginia"
4,"Darrius Swain","Hargrave Military Academy (Chatham, VA)","DT","6-4","295",3,"0.8667","Georgia"
5,"Preston Pannell","Hargrave Military Academy (Chatham, VA)","SDE","6-7","240",3,"0.8667","Georgia"
6,"Gaines Adams","Fork Union Military Academy (Fork Union, VA)","TE","6-6","240",3,"0.8333","Clemson"
7,"Karibi DeDe","Hargrave Military Academy (Chatham, VA)","S","6-1","195",3,"0.8333","Auburn"
8,"Tyson Browning","Fork Union Military Academy (Fork Union, VA)","ATH","5-11","170",3,"0.8333","Georgia"
9,"Daccus Turman","Hargrave Military Academy (Chatham, VA)","RB","6-0","220",3,"0.8333","South Carolina"
10,"Jim Martin","Fork Union Military Academy (Fork Union, VA)","OT","6-5","285",3,"0.8000","Virginia Tech"
11,"Brandon Young","Hargrave Military Academy (Chatham, VA)","CB","6-0","190",2,"0.7667","Connecticut"
12,"Jason Kaminsky","Hargrave Military Academy (Chatham, VA)","ILB","6-4","250",2,"0.7667","Bowling Green"
13,"Brandon James","Fork Union Military Academy (Fork Union, VA)","OLB","6-4","293",2,"0.7667","Western Michigan"
14,"Chris Royal","Fork Union Military Academy (Fork Union, VA)","CB","5-11","190",2,"0.7667","Marshall"
15,"Dennis Thorton","Hargrave Military Academy (Chatham, VA)","OLB","6-0","200",2,"0.7667","Marshall"
16,"Spencer Tatum","Fork Union Military Academy (Fork Union, VA)","RB","6-1","230",2,"0.7667","Ohio"
