"ranking","name","highSchool","position","height","weight","stars","rating","college"
1,"Kyree Campbell","Wyoming Seminary Prep School (Woodbridge, VA)","DT","6-4","320",3,"0.8708","Florida"
2,"Silas Dzansi","Fork Union Military Academy (Woodbridge, VA)","OT","6-6","300",3,"0.8556","Virginia Tech"
3,"Ke'Shan Pennamon","Palmetto Prep (Prep School) (Jacksonville, FL)","CB","5-10","170",3,"0.8400","uncommitted"
4,"Dreshun Miller","Palmetto Prep (Prep School) (Marietta, GA)","CB","6-2","175",3,"0.8333","uncommitted"
5,"Antonio Kanonu","Southern Prep (Lafayette, LA)","CB","6-0","175",3,"0.8333","Georgia State"
6,"Terius Wheatley","Fork Union Military Academy (Ann Arbor, MI)","ATH","5-11","200",3,"0.8273","Virginia Tech"
7,"Darrius Bratton","Fork Union Military Academy (Roanoke, VA)","CB","6-1","160",3,"0.7989","Virginia"
8,"Marcus Haynes","Fork Union Military Academy (Fork Union, VA)","WDE","6-4","220",2,"0.7811","Old Dominion"
9,"Tyrek Tisdale","Milford Academy (Orlando, FL)","RB","6-1","199",2,"0.7800","Florida Atlantic"
10,"Caeleb Washington","Georgia Prep Sports Academy (Melbourne, FL)","SDE","6-3","260",2,"0.7734","Massachusetts"
11,"Gage Turner","Palmetto Prep (Prep School) (Columbia, SC)","TE","6-5","250",2,"0.7734","uncommitted"
12,"Malcolm Koonce","Milford Academy (White Plains, NY)","SDE","6-2","250",2,"0.7726","Buffalo"
13,"Elijah Rivers","Fork Union Military Academy (Fork Union, VA)","OG","6-5","280",2,"0.7711","Old Dominion"
14,"Fred Cooper","U.S. Military Academy Prep (Houston, TX)","RB","5-11","200",2,"0.7695","uncommitted"
15,"Brian Abosi","Worcester Academy (Prep) (Worcester, MA)","OT","6-7","295",2,"0.7681","Massachusetts"
16,"Spencer Goldberg","Milford Academy (Plainview, NY)","OG","6-4","295",2,"0.7667","Massachusetts"
17,"Spencer Katoanga","Air Force Prep (U S A F Academy, CO)","ILB","6-0","235",2,"0.7645","UNLV"
18,"Jaylen Larry","Milford Academy (Pasadena, CA)","OT","6-4","290",2,"0.7584","Massachusetts"
