"ranking","name","highSchool","position","height","weight","stars","rating","college"
1,"Brent Vinson","Hargrave Military Academy (Hampton, VA)","ATH","6-2","180",4,"0.9594","Tennessee"
2,"Graig Cooper","Milford Academy (New Berlin, NY)","RB","5-11","185",4,"0.9318","Miami"
3,"LeSean McCoy","Milford Academy (Harrisburg, PA)","RB","5-11","205",4,"0.9250","Pittsburgh"
4,"Mike Ford","Hargrave Military Academy (Chatham, VA)","RB","6-2","210",4,"0.9160","USF"
5,"Jarrell Miller","Fork Union Military Academy (Highland Springs, VA)","ILB","6-3","225",4,"0.9084","Connecticut"
6,"Demetrius Goode","Hargrave Military Academy (Chatham, VA)","APB","5-11","200",3,"0.8715","Alabama"
7,"Olufemi Ajiboye","Hargrave Military Academy (Chatham, VA)","DT","6-2","290",3,"0.8694","South Carolina"
8,"Kareem Jackson","Fork Union Military Academy (Fork Union, VA)","CB","5-10","185",3,"0.8667","Alabama"
9,"Kareem Crowell","Hargrave Military Academy (Chatham, VA)","DT","6-4","290",3,"0.8632","Arkansas"
10,"Almondo Sewell","Hargrave Military Academy (Chatham, VA)","ILB","6-2","235",3,"0.8444","Akron"
11,"Ben Harden","Hargrave Military Academy (Chatham, VA)","OG","6-4","290",3,"0.8303","Georgia"
12,"DeAndre McDaniel","Hargrave Military Academy (Tallahassee, FL)","S","6-0","185",3,"0.8238","Clemson"
13,"Daven Jones","Milford Academy (New Berlin, NY)","WR","6-1","190",3,"0.8134","Wisconsin"
14,"Justin Anderson","Hargrave Military Academy (Ocilla, GA)","DT","6-5","326",3,"0.8111","Georgia"
15,"Demetrius Goode","Hargrave Military Academy (Chatham, VA)","RB","5-10","191",3,"0.8049","Alabama"
16,"Asa Chapman","Fork Union Military Academy (Fork Union, VA)","DT","6-5","340",3,"0.8023","West Virginia"
17,"LaCount Fantroy","Milford Academy (New Berlin, NY)","CB","5-11","170",3,"0.8000","North Carolina"
18,"Anthony Castonzo","Fork Union Military Academy (Fork Union, VA)","OT","6-7","260",2,"0.7889","Boston College"
19,"Morris Blueford","Fork Union Military Academy (Fork Union, VA)","SDE","6-4","230",2,"0.7889","Temple"
20,"Jamal Schulters","Fork Union Military Academy (Fork Union, VA)","CB","5-10","180",2,"0.7810","Temple"
21,"Jo Jo Cox","Fork Union Military Academy (Fork Union, VA)","RB","5-9","213",2,"0.7785","Marshall"
22,"Jake Padrick","Air Force Prep (U S A F Academy, CO)","OG","6-2","290",2,"0.7778","Middle Tennessee State"
23,"Aundre Wright","Milford Academy (New Berlin, NY)","WR","5-11","185",2,"0.7667","Pittsburgh"
24,"Zach Hillery","Hargrave Military Academy (Chatham, VA)","OG","6-4","315",2,"0.7667","Florida State"
25,"Clifton Geathers","Hargrave Military Academy (Hemingway, SC)","SDE","6-7","290",2,"0.7667","South Carolina"
26,"Corey Stringer","Fork Union Military Academy (Fork Union, VA)","OLB","6-2","212",2,"0.7667","Connecticut"
27,"Andrey Baskin","Milford Academy (Camden, NJ)","WR","6-3","205",2,"0.7556","Syracuse"
28,"Romale Tucker","Milford Academy (New Berlin, NY)","OLB","6-3","204",2,"0.7556","Syracuse"
29,"Delano Green","Fork Union Military Academy (Fork Union, VA)","WR","5-10","160",2,"0.7556","Temple"
30,"Russell Wantowski","Hargrave Military Academy (Chatham, VA)","WDE","6-1","210",2,"0.7502","New Mexico State"
31,"Ishmyl Johnson","Milford Academy (New Berlin, NY)","SDE","6-5","250",2,"0.7444","Michigan State"
32,"Devin Parrish","Milford Academy (New Berlin, NY)","CB","6-0","185",2,"0.7444","FIU"
33,"Chuck Taylor","Fork Union Military Academy (Fork Union, VA)","OG","6-3","320",2,"0.7444","New Mexico State"
34,"Tyler Helm","Fork Union Military Academy (Fork Union, VA)","TE","6-5","230",2,"0.7444","Tulane"
35,"Randell Bell","Hargrave Military Academy (Chatham, VA)","RB","5-9","205",2,"0.7333","New Mexico State"
36,"Jake Vermiglio","Milford Academy (New Berlin, NY)","OT","6-5","298",2,"0.7333","N.C. State"
37,"Quintin McCree","Hargrave Military Academy (Chatham, VA)","WR","6-2","175",2,"0.7333","Maryland"
38,"Ryan Tillman","Hargrave Military Academy (Chatham, VA)","OT","6-5","265",2,"0.7222","Marshall"
39,"Dwayne Priest","Fork Union Military Academy (Fork Union, VA)","APB","5-8","175",2,"0.7222","Eastern Michigan"
40,"Jimmaul Simmons","Hargrave Military Academy (Chatham, VA)","S","6-3","205",2,"0.7000","N.C. State"
41,"Darnell Pratt","Milford Academy (New Berlin, NY)","WDE","6-4","220",2,"0.7000","Syracuse"
42,"Justin Keown","Hargrave Military Academy (Chatham, VA)","OC","6-4","286",2,"0.7000","Texas Tech"
43,"Shane Shead","Hargrave Military Academy (Chatham, VA)","WDE","6-5","225",1,"0.6889","Akron"
44,"Jon Simpson","Hargrave Military Academy (Chatham, VA)","TE","6-5","220",1,"0.6778","Kent State"
45,"Kyle Hughes","Hargrave Military Academy (Chatham, VA)","K","6-1","190",1,"0.6778","New Mexico State"
46,"Ryan Leonard","Naval Academy Prep (Newport, RI)","DT","6-1","292",1,"0.6778","SMU"
47,"Garrett Utt","Hargrave Military Academy (Chatham, VA)","TE","6-4","220",1,"0.6667","Duke"
