ranking,name,highSchool,position,height,weight,stars,rating,college
69,Donovan Edwards,West Bloomfield (West Bloomfield	 MI),RB,5-11,190,4,0.9727,uncommitted
70,Jonathan Jefferson,Douglas County (Douglasville	 GA),SDE,6-3,215,4,0.9723,uncommitted
71,Gage Wilcox,Jefferson (Tampa	 FL),TE,6-4,215,4,0.9719,uncommitted
72,Dacari Collins,McEachern (Powder Springs	 GA),WR,6-3,201,4,0.9715,uncommitted
73,Armoni Goodwin,Hewitt-Trussville (Trussville	 AL),RB,5-8,190,4,0.9711,uncommitted
74,Theodore Knox,Southern University Lab School (Baton Rouge	 LA),WR,5-11,175,4,0.9707,uncommitted
75,Chaz Chambliss,Carrollton (Carrollton	 GA),OLB,6-3,220,4,0.9703,uncommitted
76,Mason Tufaga,St. Louis (Honolulu	 HI),OLB,6-1,180,4,0.9699,uncommitted
77,Latrell McCutchin,LBJ (Austin	 TX),CB,6-0,165,4,0.9695,uncommitted
78,Jaylen Anderson,Perry (Perry	 OH),RB,6-1,210,4,0.9691,uncommitted
79,Branden Jennings,Sandalwood (Jacksonville	 FL),OLB,6-3,220,4,0.9687,uncommitted
80,Eli Sutton,Brentwood Academy (Brentwood	 TN),OT,6-6,265,4,0.9683,uncommitted
81,Quenton Barnes,Cane Ridge (Antioch	 TN),WR,6-2,175,4,0.9679,uncommitted
82,Jake Rubley,Highlands Ranch (Littleton	 CO),PRO,6-3,195,4,0.9675,uncommitted
83,Tyreak Sapp,St. Thomas Aquinas (Fort Lauderdale	 FL),SDE,6-2,255,4,0.9671,Florida
84,Steven Ortiz,Desert Edge (Goodyear	 AZ),CB,5-11,170,4,0.9667,uncommitted
85,Jahzion Harris,Erasmus Hall (Brooklyn	 NY),WDE,6-4,198,4,0.9663,uncommitted
86,Iverson Celestine,Fontainebleau (Mandeville	 LA),RB,5-10,190,4,0.9659,uncommitted
87,Eli Stowers,Guyer (Denton	 TX),DUAL,6-4,205,4,0.9655,uncommitted
88,Blake Fisher,Avon (Avon	 IN),OT,6-6,300,4,0.9651,uncommitted
89,Brock Vandagriff,Prince Avenue Christian School (Bogart	 GA),PRO,6-2.5,188,4,0.9647,uncommitted
90,Anthony Beavers Jr.,Narbonne (Harbor City	 CA),ATH,6-2,195,4,0.9643,uncommitted
91,Kamar Wilcoxson,Cedar Grove (Ellenwood	 GA),ATH,6-2,185,4,0.9639,Florida
92,Micah Crowell,East Forsyth (Kernersville	 NC),WR,6-2,205,4,0.9635,uncommitted
93,Chamon Metayer,North Miami (Miami	 FL),OLB,6-3,220,4,0.9631,uncommitted
94,Marcus Tate,University School (Fort Lauderdale	 FL),OT,6-5,265,4,0.9627,uncommitted
95,Deion Colzie,Athens Academy (Athens	 GA),WR,6-4,180,4,0.9623,uncommitted
96,Kamonte Grimes,Palmetto Ridge (Naples	 FL),ATH,6-2,185,4,0.9619,uncommitted
97,Rodney Hammond,B. T. Washington (Norfolk	 VA),ATH,5-10,170,4,0.9615,uncommitted
98,Cristian Dixon,Diamond Ranch (Pomona	 CA),WR,6-3,180,4,0.9611,uncommitted
99,Brody Wisecarver,DeSmet (Saint Louis	 MO),OT,6-6,270,4,0.9607,uncommitted
100,Erick Cade,Braswell (Denton	 TX),OT,6-7,290,4,0.9603,uncommitted
101,Korey Foreman,Centennial (Corona	 CA),SDE,6-4,245,4,0.8900,uncommitted
102,Ethan Calvert,Oaks Christian (Westlake Village	 CA),ATH,6-1,215,3,0.8800,uncommitted
103,Raesjon Davis,Mater Dei (Santa Ana	 CA),OLB,6-1,210,3,0.8800,uncommitted
104,Quaydarius Davis,Skyline (Dallas	 TX),ATH,5-11,186,3,0.8700,SMU
105,Bram Walden,Saguaro (Scottsdale	 AZ),OT,6-4,270,3,0.8500,uncommitted
106,Jaden Genova,J Serra Catholic (San Juan Capistrano	 CA),OLB,6-0,200,3,0.8200,uncommitted
107,Jeffrey Bassa,Kearns (Salt Lake City	 UT),S,6-1,190,3,0.8000,uncommitted
108,Branden Alvarez,Centennial (Corona	 CA),WR,5-10,180,3,0.8000,uncommitted
