"ranking","name","highSchool","position","height","weight","stars","rating","college"
1,"D'haquille Williams","Mississippi Gulf Coast C.C. (Reserve, LA)","WR","6-3","213",4,"0.9630","Auburn"
2,"Dominick Jackson","College of San Mateo (San Mateo, CA)","OT","6-7","304",4,"0.9403","Alabama"
3,"Tyreek Hill","Garden City C.C.  (Garden City, KS)","APB","5-8","185",4,"0.9397","Oklahoma State"
4,"Von Pearson","Feather River College (Plumas Ntl Forest, CA)","WR","6-1","180",4,"0.9293","Tennessee"
5,"Chad Mavety","Nassau C.C. (Garden City, NY)","OT","6-6.5","320",4,"0.9190","Florida State"
6,"DaVonte Lambert","Georgia Military College (Waynesboro, GA)","SDE","6-3","278",4,"0.9150","Auburn"
7,"Jermaine Eluemunor","Lackawanna C.C. (Denville, NJ)","OT","6-5","300",4,"0.9144","Texas A&M"
8,"Dontavius Blair","Garden City C.C.  (Anniston, AL)","OT","6-8","303",4,"0.9100","Tennessee"
9,"Avery Gennesy","East Mississippi C.C. (Southaven, MS)","OT","6-5","307",4,"0.9069","Texas A&M"
10,"Terrell Clinkscales","Dodge City C.C. (Dodge City, KS)","DT","6-4","310",4,"0.9063","Kansas State"
11,"Derrick Moncrief","Mississippi Gulf Coast C.C. (Prattville, AL)","S","6-3","226",4,"0.9044","Auburn"
12,"Jordan Prestwood","Arizona Western College (Plant City, FL)","OT","6-6","310",4,"0.9013","uncommitted"
13,"Jarran Reed","East Mississippi C.C. (Chatham, VA)","DT","6-4","310",4,"0.8998","Alabama"
14,"D.J. Pettway","East Mississippi C.C. (Pensacola, FL)","SDE","6-3","250",4,"0.8994","Alabama"
15,"Claude Pelon","Mesa C.C. (Mesa, AZ)","SDE","6-4","275",4,"0.8994","USC"
16,"Abu Lamin","Fort Scott C.C. (Fayetteville, NC)","DT","6-3","300",4,"0.8988","South Carolina"
17,"Takkarist McKinley","Contra Costa College (Richmond, CA)","SDE","6-3","250",4,"0.8985","UCLA"
18,"Tee Shepard","Holmes C.C. (Fresno, CA)","CB","6-1","197",4,"0.8985","Ole Miss"
19,"Chris Weatherd","Trinity Valley C.C. (Carrollton, TX)","OLB","6-3.5","220",4,"0.8969","Tennessee"
20,"Eric Lauderdale","Saddleback College (Mission Viejo, CA)","WR","6-2","190",4,"0.8969","Arizona State"
21,"Jevonte Domond","Glendale C.C. (Glendale, AZ)","OT","6-6","305",4,"0.8967","LSU"
22,"Haniteli Lousi","College of San Mateo (San Mateo, CA)","OG","6-5","295",4,"0.8917","Oregon"
23,"Troy Garland","Allan Hancock College (Bayonne, NJ)","CB","5-10","170",4,"0.8900","uncommitted"
24,"Tui Talia","Diablo Valley College (Pleasant Hill, CA)","SDE","6-5","265",3,"0.8869","Oregon"
25,"Shattle Fenteng","Hutchinson C.C. (Loganville, GA)","CB","6-2","200",3,"0.8864","Georgia"
26,"D'Vonta Derricott","Garden City C.C.  (Garden City, KS)","ILB","6-1","233",3,"0.8853","Kansas State"
27,"Christian Russell","East Mississippi C.C. (Fayetteville, NC)","ILB","6-0","240",3,"0.8838","Ole Miss"
28,"Jihad Ward","Globe Institute of Technology (Philadelphia, PA)","DT","6-7","286",3,"0.8826","Illinois"
29,"Jabril Solomon","Hutchinson C.C. (Hemingway, SC)","WR","6-2","190",3,"0.8825","East Carolina"
30,"Fahn Cooper","College of DuPage (Crystal Lake, IL)","OT","6-5","314",3,"0.8797","Ole Miss"
31,"Joe Keels","Highland C.C. (Highland, KS)","DT","6-4","275",3,"0.8791","Nebraska"
32,"C.J. Johnson","ASA College (New York) (Chambersburg, PA)","DT","6-4","300",3,"0.8787","Kentucky"
33,"Akeem Judd","Georgia Military College (Milledgeville, GA)","RB","5-11","219",3,"0.8781","Ole Miss"
