"ranking","name","highSchool","position","height","weight","stars","rating","college"
1,"Alvin Marshall","Compton C.C. (Compton, CA)","APB","5-9","180",4,"0.9333","UNLV"
2,"Kenny Hollis","East Mississippi C.C. (Scooba, MS)","ILB","6-2","241",4,"0.9333","LSU"
3,"Brian Staley","Georgia Military College (Milledgeville, GA)","CB","5-10","185",4,"0.9333","Clemson"
4,"Willie Johnson","Fresno City College (Fresno, CA)","WR","6-4","205",4,"0.9333","Nevada"
5,"Justin Burks","Cerritos College (Norwalk, CA)","ILB","6-3","235",4,"0.9333","Arizona State"
6,"Chauncey Davis","Jones County J.C. (Ellisville, MS)","SDE","6-2","260",4,"0.9333","Florida State"
7,"Donte Nicholson","Mt. San Antonio College (Walnut, CA)","S","6-2","210",4,"0.9333","Oklahoma"
8,"Kelvin Hayden","Joliet J.C. (Joliet, IL)","WR","5-11","190",4,"0.9333","Illinois"
9,"Eric Holcombe","Northeast Mississippi C.C. (Booneville, MS)","DT","6-4","275",4,"0.9333","Florida"
10,"Malcolm Wooldridge","Harper College (Palatine, IL)","DT","6-3","305",4,"0.9000","Kansas State"
11,"Reynaldo Hill","Dodge City C.C. (Dodge City, KS)","CB","6-1","185",4,"0.9000","Florida"
12,"Chauncey Clark","City College of San Francisco (San Francisco, CA)","ILB","6-3","225",4,"0.9000","Texas Tech"
13,"Phillip Goodman","Sacramento City College (Sacramento, CA)","WR","6-3","213",4,"0.9000","Temple"
14,"Mike Montgomery","Navarro College (Corsicana, TX)","SDE","6-6","275",4,"0.9000","Texas A&M"
15,"Paris Hamilton","Tyler J.C.  (Tyler, TX)","WR","6-1","200",4,"0.9000","Minnesota"
16,"Robert Jones","Northeastern Oklahoma A&M (Miami, OK)","CB","6-0","190",4,"0.9000","Oklahoma State"
17,"Marcus Lawrence","Butler C.C. (El Dorado, KS)","ILB","6-3","240",4,"0.9000","South Carolina"
18,"Anthony Guerrero","Cerritos College (Norwalk, CA)","OG","6-3","305",4,"0.9000","Florida"
19,"Marvin Simmons","Compton C.C. (Compton, CA)","ILB","6-0","225",4,"0.9000","Kansas State"
20,"Cedrick Williams","Garden City C.C.  (Garden City, KS)","CB","5-9","175",4,"0.9000","Kansas State"
21,"James Griffin","Pasadena City College (Pasadena, CA)","S","6-2","195",4,"0.9000","Virginia Tech"
22,"Damien Nash","Coffeyville C.C. (Coffeyville, KS)","APB","5-11","205",4,"0.9000","Missouri"
23,"Corey Reddick","Garden City C.C.  (Garden City, KS)","CB","5-9","160",4,"0.9000","Kansas State"
24,"Le-Undo Adams","Independence C.C. (Independence, KS)","ILB","6-2","220",4,"0.9000","Arkansas State"
25,"John Lyon","Saddleback College (Mission Viejo, CA)","TE","6-5","250",4,"0.9000","Washington"
26,"Dan Christian","City College of San Francisco (San Francisco, CA)","OT","6-6","330",4,"0.9000","Texas Tech"
27,"Darrell Shropshire","Coffeyville C.C. (Coffeyville, KS)","DT","6-4","285",4,"0.9000","South Carolina"
28,"Will Poole","Ventura College (Ventura, CA)","CB","6-0","190",4,"0.9000","USC"
29,"Gabe Toomey","Iowa Central C.C. (Fort Dodge, IA)","ILB","6-4","230",3,"0.8667","Kansas"
30,"Patrick Afif","Orange Coast College (Costa Mesa, CA)","OT","6-8","320",3,"0.8667","Washington State"
31,"Chico Mackey","West Los Angeles College (Culver City, CA)","WR","6-0","185",3,"0.8667","Fresno State"
32,"John Poe","Coffeyville C.C. (Coffeyville, KS)","ILB","5-11","240",3,"0.8667","Tennessee"
33,"DeAdrian Coley","Georgia Military College (Milledgeville, GA)","ILB","6-3","225",3,"0.8667","South Carolina"
34,"Travis Triplett","Dodge City C.C. (Dodge City, KS)","OT","6-5","320",3,"0.8667","Kansas State"
35,"Doug Langenfeld","Reedley College (Reedley, CA)","SDE","6-3","245",3,"0.8667","Auburn"
36,"Mike Mapu","Mesa C.C. (Mesa, AZ)","SDE","6-4","255",3,"0.8667","Washington"
37,"Aaron Rodgers","Butte College (Oroville, CA)","PRO","6-2","195",3,"0.8667","California"
38,"David Kenner","Lackawanna C.C. (Scranton, PA)","TE","6-4","255",3,"0.8667","Florida"
39,"Bobby Robison","Northwest Mississippi C.C. (Senatobia, MS)","PRO","6-3","205",3,"0.8667","Memphis"
40,"Gerard Jackson","Dodge City C.C. (Dodge City, KS)","RB","5-10","230",3,"0.8667","Illinois"
41,"Keola Loo","Orange Coast College (Costa Mesa, CA)","OG","6-1","295",3,"0.8667","Washington State"
42,"John Andrews","Compton C.C. (Compton, CA)","ILB","6-0","225",3,"0.8667","UNLV"
43,"Chris McKenzie","Glendale C.C. (Glendale, AZ)","S","5-10","185",3,"0.8667","Arizona State"
44,"Tony McClain","Coffeyville C.C. (Coffeyville, KS)","WDE","6-2","262",3,"0.8667","Auburn"
45,"Paul Francis","Northeastern Oklahoma A&M (Miami, OK)","CB","6-2","190",3,"0.8667","Oklahoma State"
46,"Gabe Reininger","Moorpark College (Moorpark, CA)","DT","6-2","275",3,"0.8667","Arizona State"
47,"Richard Estrella","Cerritos College (Norwalk, CA)","OG","6-4","285",3,"0.8667","Kansas"
48,"Walter Washington","Dodge City C.C. (Dodge City, KS)","DUAL","6-2","237",3,"0.8667","Temple"
49,"Eric Fuller","Independence C.C. (Independence, KS)","CB","6-2","195",3,"0.8667","Mississippi State"
50,"Willie Roberts","Northeastern Oklahoma A&M (Miami, OK)","TE","6-7","240",3,"0.8667","Oklahoma"
51,"John Guydon","Fullerton College (Fullerton, CA)","DT","6-2","295",3,"0.8667","Colorado"
52,"Garrett Cross","Butte College (Oroville, CA)","TE","6-5","220",3,"0.8667","California"
53,"Ray Gurley","Independence C.C. (Independence, KS)","TE","6-5","256",3,"0.8667","Arizona"
54,"Freddie Saint-Preux","Dodge City C.C. (Dodge City, KS)","DT","6-5","300",3,"0.8667","South Carolina"
55,"Ben Henderson","Joliet J.C. (Joliet, IL)","OLB","6-2","220",3,"0.8667","Kansas State"
56,"Michael Pruitt","Northeastern Oklahoma A&M (Miami, OK)","DT","6-2","280",3,"0.8667","North Texas"
57,"Iroko Ayodele","Mississippi Gulf Coast C.C. (Perkinston, MS)","S","6-2","207",3,"0.8667","Ole Miss"
58,"Joe Sykes","Holmes C.C. (Goodman, MS)","SDE","6-4","235",3,"0.8667","West Virginia"
59,"Ryan Riddle","El Camino College (Torrance, CA)","WDE","6-4","235",3,"0.8667","California"
60,"Charles Silas","Georgia Military College (Milledgeville, GA)","SDE","6-5","235",3,"0.8667","South Carolina"
61,"Kayjay Harris","Garden City C.C.  (Garden City, KS)","RB","6-0","240",3,"0.8667","West Virginia"
62,"Lionell Green","Reedley College (Reedley, CA)","CB","6-1","185",3,"0.8333","North Carolina"
63,"Monroe Weekly","Arizona Western College (Yuma, AZ)","SDE","6-3","260",3,"0.8333","Kansas"
64,"McKenzie Tilmon","Northeastern Oklahoma A&M (Miami, OK)","DT","6-3","305",3,"0.8333","Colorado"
65,"Charles DuPree","Northeastern Oklahoma A&M (Miami, OK)","WDE","6-3","212",3,"0.8333","North Texas"
66,"Antwain Spann","Mississippi Gulf Coast C.C. (Perkinston, MS)","CB","5-11","185",3,"0.8333","Louisiana-Lafayette"
67,"Clint Dato","Cerritos College (Norwalk, CA)","OT","6-5","332",3,"0.8333","Rutgers"
68,"Carl Marshall","Glendale C.C. (Glendale, AZ)","CB","6-0","185",3,"0.8333","Temple"
69,"Keith Lipka","North Dakota State College of Science (Wahpeton, ND)","SDE","6-4","280",3,"0.8333","Minnesota"
70,"Jeremy Hartsfield","Pasadena City College (Pasadena, CA)","WR","5-11","185",3,"0.8333","Temple"
71,"Ricky Thomas","Butler C.C. (El Dorado, KS)","CB","6-0","190",3,"0.8333","Louisiana-Lafayette"
72,"Donnie Diaz","Itasca C.c. (Grand Rapids, MN)","WR","6-6","200",3,"0.8333","Rutgers"
73,"Tavarus Washington","Mississippi Delta C.C. (Moorhead, MS)","OT","6-4","290",3,"0.8333","Florida"
74,"Devin Pitts","Los Angeles Harbor College (Wilmington, CA)","WR","6-4","210",3,"0.8333","San Diego State"
75,"Aaron Austin","Fresno City College (Fresno, CA)","TE","6-5","255",3,"0.8333","Arizona State"
76,"Brent Pollock","El Camino College (Torrance, CA)","DT","6-1","310",3,"0.8333","Utah State"
77,"Anthony Martinez","Hudson Valley C.c. (Troy, NY)","TE","6-5","265",3,"0.8333","Temple"
78,"Donald DeFrand","Dodge City C.C. (Dodge City, KS)","CB","6-1","175",3,"0.8333","Nebraska"
79,"Efe Mowarian","Northeastern Oklahoma A&M (Miami, OK)","DT","6-5","300",3,"0.8333","Oklahoma State"
80,"Jamie Thompson","Butler C.C. (El Dorado, KS)","S","6-0","185",3,"0.8333","Oklahoma State"
81,"Wali Muhammad","Coffeyville C.C. (Coffeyville, KS)","WDE","6-1","235",3,"0.8333","Nebraska"
82,"Woodly Telfort","Dodge City C.C. (Dodge City, KS)","OT","6-7","290",3,"0.8333","South Carolina"
83,"Antonio Huffman","Garden City C.C.  (Garden City, KS)","CB","6-0","175",3,"0.8333","Texas Tech"
84,"Johnny Urrutia","Mt. San Antonio College (Walnut, CA)","OG","6-4","315",3,"0.8333","Kansas"
85,"Darren DeLone","Mt. San Antonio College (Walnut, CA)","OT","6-5","320",3,"0.8333","Nebraska"
