"ranking","name","highSchool","position","height","weight","stars","rating","college"
1,"Brent Schaeffer","College of the Sequoias (Visalia, CA)","DUAL","6-2","190",4,"0.9667","Ole Miss"
2,"Andre Jones","Fresno City College (Fresno, CA)","CB","6-0","195",4,"0.9333","Nebraska"
3,"Walter Fisher","Coffeyville C.C. (Coffeyville, KS)","SDE","6-2","265",4,"0.9333","uncommitted"
4,"Greg Smith","Northeast Mississippi C.C. (Booneville, MS)","DT","6-1","315",4,"0.9333","Auburn"
5,"Ervin Baldwin","Reedley College (Reedley, CA)","SDE","6-3","260",4,"0.9333","Michigan State"
6,"Gabe Long","Fullerton College (Fullerton, CA)","DT","6-4","280",4,"0.9333","Arizona"
7,"Maurice Purify","City College of San Francisco (San Francisco, CA)","WR","6-4","210",4,"0.9333","Nebraska"
8,"Louis Holmes","Scottsdale C.C. (Scottsdale, AZ)","SDE","6-5","280",4,"0.9194","Arizona"
9,"Carl Nicks","Hartnell College (Salinas, CA)","OT","6-6","320",4,"0.9000","Nebraska"
10,"James Johnson","Blinn College (Brenham, TX)","RB","5-11","200",4,"0.9000","Kansas State"
11,"Paul Griffin","Butler C.C. (El Dorado, KS)","DT","6-1","287",4,"0.9000","Florida State"
12,"Marcel Reece","El Camino College (Torrance, CA)","WR","6-3","240",4,"0.9000","Washington"
13,"Fenuki Tupou","Sierra College (Rocklin, CA)","OT","6-6","330",4,"0.9000","Oregon"
14,"Shannon Boatman","Tyler J.C.  (Tyler, TX)","OT","6-8","325",4,"0.9000","Florida State"
15,"Mike Gibson","Solano C.C. (Fairfield, CA)","OG","6-5","290",4,"0.9000","California"
16,"Brandon Walker","Coffeyville C.C. (Coffeyville, KS)","OG","6-3","315",4,"0.9000","Oklahoma"
17,"Angelo Richardson","Santa Rosa J.C. (Santa Rosa, CA)","WR","6-2","195",4,"0.9000","Arizona State"
18,"Sherrone Moore","Butler C.C. (El Dorado, KS)","OT","6-5","300",4,"0.9000","Oklahoma"
19,"Kenny Wilson","Butler C.C. (El Dorado, KS)","RB","6-0","220",4,"0.9000","Nebraska"
20,"Dantrell Savage","Mississippi Gulf Coast C.C. (Perkinston, MS)","APB","5-11","195",3,"0.8667","Oklahoma State"
21,"Chris Bradwell","Northeast Mississippi C.C. (Booneville, MS)","SDE","6-4","265",3,"0.8667","Troy"
22,"Devin Thomas","Coffeyville C.C. (Coffeyville, KS)","WR","6-2","215",3,"0.8667","Michigan State"
23,"Toddrick Verdell","Butler C.C. (El Dorado, KS)","S","6-3","215",3,"0.8667","Florida State"
24,"Joey La Rocque","College of the Canyons (Valencia, CA)","OLB","6-1","230",3,"0.8667","Oregon State"
25,"Rulon Davis","Mt. San Antonio College (Walnut, CA)","SDE","6-6","275",3,"0.8667","California"
26,"Allan Patrick","Independence C.C. (Independence, KS)","S","6-2","210",3,"0.8667","Oklahoma"
27,"Nate Ness","El Camino College (Torrance, CA)","S","6-1","180",3,"0.8667","Arizona"
28,"Frank Harry","Pearl River C.C. (Poplarville, MS)","DT","6-3","285",3,"0.8667","USF"
29,"Steve Allen","Fresno City College (Fresno, CA)","OLB","6-2","230",3,"0.8667","Nebraska"
30,"Dorian Smith","College of the Desert (Palm Desert, CA)","SDE","6-3","250",3,"0.8667","Oregon State"
31,"Gerald Washington","Chaffey College (Rancho Cucamonga, CA)","TE","6-6","253",3,"0.8667","USC"
32,"Terry Mayo","Reedley College (Reedley, CA)","PRO","6-4","240",3,"0.8667","UCF"
33,"Charles Dillon","Ventura College (Ventura, CA)","WR","6-1","195",3,"0.8667","Washington State"
34,"Justin Garrett","Pasadena City College (Pasadena, CA)","S","6-2","195",3,"0.8667","Tennessee"
35,"Omar Haugabook","Dodge City C.C. (Dodge City, KS)","DUAL","6-2","225",3,"0.8528","Troy"
36,"Ryan Torain","Butler C.C. (El Dorado, KS)","RB","6-0","195",3,"0.8472","Arizona State"
37,"Mathew Harper","City College of San Francisco (San Francisco, CA)","S","6-0","180",3,"0.8333","Oregon"
38,"Dustin Hensel","Golden West College (Huntington Beach, CA)","OT","6-7","325",3,"0.8333","Utah"
39,"Marcus Cross","Garden City C.C.  (Garden City, KS)","RB","5-11","210",3,"0.8333","Utah State"
40,"Korey Raymond","East Mississippi C.C. (Scooba, MS)","DT","6-4","280",3,"0.8333","Louisiana-Lafayette"
41,"Dexter Manley II","Santa Monica College (Santa Monica, CA)","SDE","6-4","260",3,"0.8333","Oregon"
42,"Dan Hathaway","Grossmont College (El Cajon, CA)","OT","6-7","295",3,"0.8333","San Diego State"
43,"Stanley Lykes","Northeast Mississippi C.C. (Booneville, MS)","OLB","6-2","205",3,"0.8333","UAB"
44,"Nehemiah Warrick","Hutchinson C.C. (Hutchinson, KS)","S","6-2","206",3,"0.8333","Michigan State"
45,"Brandon Johnson","Compton C.C. (Compton, CA)","DT","6-3","312",3,"0.8333","Nebraska"
46,"Joey Halzle","Golden West College (Huntington Beach, CA)","DUAL","6-4","215",3,"0.8333","Oklahoma"
47,"Thomas Perez","Compton C.C. (Compton, CA)","RB","6-1","220",3,"0.8333","Colorado"
48,"Scott Broughton","Georgia Military College (Milledgeville, GA)","CB","6-1","185",3,"0.8333","Oklahoma State"
49,"Ryan Sefton","Pearl River C.C. (Poplarville, MS)","OG","6-4","290",3,"0.8333","TCU"
50,"Finas Rabb","Santa Ana College (Santa Ana, CA)","WR","6-6","205",3,"0.8333","Washington State"
51,"Chris Baloney","College of the Sequoias (Visalia, CA)","CB","6-1","185",3,"0.8333","Arizona State"
52,"Tony Burks","Mississippi Gulf Coast C.C. (Perkinston, MS)","WR","6-4","205",3,"0.8333","Mississippi State"
53,"Nick Ekbatani","Los Angeles Harbor College (Wilmington, CA)","OT","6-5","285",3,"0.8333","UCLA"
54,"Jeremy Gibbs","Northeastern Oklahoma A&M (Miami, OK)","DT","6-3","285",3,"0.8333","Oregon"
55,"Justin Roland","Northeastern Oklahoma A&M (Miami, OK)","OLB","6-2","240",3,"0.8333","Kansas State"
56,"Willie Williams","Georgia Military College (Milledgeville, GA)","DT","6-4","325",3,"0.8333","Louisville"
57,"Castine Bridges","Diablo Valley College (Pleasant Hill, CA)","CB","6-2","195",3,"0.8333","Missouri"
58,"Martin Tevaseu","Santa Rosa J.C. (Santa Rosa, CA)","DT","6-2","330",3,"0.8333","Arizona State"
59,"Tremane Vaughns","Pasadena City College (Pasadena, CA)","CB","5-9","180",3,"0.8333","Missouri"
60,"Marvin Arnold","El Camino College (Torrance, CA)","OG","6-3","280",3,"0.8333","Colorado State"
61,"Derrell Hutsona","Grossmont College (El Cajon, CA)","APB","5-10","185",3,"0.8333","Washington State"
62,"Chris Wade","Northeastern Oklahoma A&M (Miami, OK)","SDE","6-6","238",3,"0.8333","Arkansas"
63,"Moses Manu","El Camino College (Torrance, CA)","WDE","6-3","250",3,"0.8333","Kansas State"
64,"Dario Camacho","Citrus College (Glendora, CA)","APB","5-11","205",3,"0.8333","Purdue"
65,"Tim Johnson","Northeastern Oklahoma A&M (Miami, OK)","SDE","6-5","265",3,"0.8333","Oklahoma"
66,"Victory Haines","Snow College (Ephraim, UT)","OT","6-7","285",3,"0.8333","Nebraska"
67,"Antonio Steele","Long Beach City College (Long Beach, CA)","OLB","6-2","215",3,"0.8333","Illinois"
68,"Jameel Dowling","Butte College (Oroville, CA)","S","6-4","195",3,"0.8333","Oregon"
69,"Danzel Issac","Eastern Arizona College (Thatcher, AZ)","OLB","6-3","218",3,"0.8333","Oregon State"
70,"Rameses Arceo","Cerritos College (Norwalk, CA)","OT","6-4","310",3,"0.8333","Kansas"
71,"Joel Reaves","Georgia Military College (Milledgeville, GA)","DT","6-3","270",3,"0.8333","South Carolina"
72,"Marc Jones","Kilgore J.C. (Kilgore, TX)","TE","6-4","240",3,"0.8333","Kansas"
73,"Garrett Judah","Butte College (Oroville, CA)","ILB","6-4","235",3,"0.8333","Arizona State"
74,"James Tretheway","College of San Mateo (San Mateo, CA)","OT","6-6","295",3,"0.8333","Arizona"
75,"Micah Howeth","Northeastern Oklahoma A&M (Miami, OK)","WDE","6-2","250",3,"0.8333","Oregon"
76,"Ahtyba Rubin","Trinity Valley C.C. (Athens, TX)","OG","6-3","285",3,"0.8333","Iowa State"
77,"Sir Aaron Mason","Santa Monica College (Santa Monica, CA)","OT","6-6","270",3,"0.8333","Washington"
78,"Ryan Mason","Mississippi Delta C.C. (Moorhead, MS)","WR","6-5","215",3,"0.8333","Mississippi State"
79,"Alex Fa'agai","Foothill College (Los Altos, CA)","DT","6-4","285",3,"0.8333","Arizona State"
