"ranking","name","highSchool","position","height","weight","stars","rating","college"
1,"K.J. Williams","Milford Academy (Bethlehem, PA)","WR","6-2","190",4,"0.9000","uncommitted"
2,"Yosuah Nijman","Fork Union Military Academy (Maplewood, NJ)","DT","6-6","265",4,"0.8992","Virginia Tech"
3,"Jae'lon Oglesby","Fork Union Military Academy (Central, SC)","APB","6-0","175",4,"0.8950","Memphis"
4,"Dexter Wideman","Camden Military Academy (Saluda, SC)","SDE","6-4","260",3,"0.8833","South Carolina"
5,"Xavier Burke","Fork Union Military Academy (Lawrenceville, VA)","TE","6-4","250",3,"0.8818","Virginia Tech"
6,"Markel Smith","Milford Academy (Saint Louis, MO)","RB","5-11","220",3,"0.8778","uncommitted"
7,"Demetrius Johnson","Atlanta Sports Academy (Annapolis, MD)","S","6-2","210",3,"0.8739","uncommitted"
8,"Myles Autry","Georgia Prep Sports Academy (Norcross, GA)","ATH","5-10","175",3,"0.8678","uncommitted"
9,"Sidney Gopre","Milford Academy (Newark, NJ)","OLB","6-0","210",3,"0.8660","Rutgers"
10,"Delvon Randall","East Coast Prep (Monroeville, PA)","S","6-0","185",3,"0.8467","Temple"
11,"Tabyus Taylor","Atlanta Sports Academy (Hopewell, VA)","ATH","6-1","220",3,"0.8467","uncommitted"
12,"Devon Brewer","Milford Academy (Fresno, CA)","CB","5-10","170",3,"0.8432","Arizona"
13,"Gilbert Johnson","Georgia Prep Sports Academy (Miami, FL)","WR","6-2","190",3,"0.8427","Texas"
14,"Darrell Cloy","Milford Academy (Santa Fe Springs, CA)","TE","6-3","245",3,"0.8417","Arizona"
15,"Kenny Randall","Milford Academy (Linwood, NJ)","DT","6-4","350",3,"0.8333","University of Charleston"
16,"Kahzin Daniels","Milford Academy (Newark, NJ)","WDE","6-3","225",3,"0.8333","uncommitted"
17,"Kyle Baum","Fork Union Military Academy (Irwin, PA)","WR","6-1","175",3,"0.8333","uncommitted"
18,"Santoni Graham","Fork Union Military Academy (Arlington, VA)","ILB","6-0","230",3,"0.8333","uncommitted"
19,"Khalil Smith","Atlanta Sports Academy (Dawsonville, GA)","DT","6-5","295",3,"0.8333","uncommitted"
20,"Nick Bucciarelli","Georgia Prep Sports Academy (Atlanta, GA)","OT","6-6","345",3,"0.8333","uncommitted"
21,"Blessuan Austin","Milford Academy (Queens Village, NY)","CB","6-2","195",3,"0.8306","Rutgers"
22,"Jaron Locke","Atlanta Sports Academy (Dawsonville, GA)","WR","6-3","188",3,"0.8256","uncommitted"
23,"Bryan Wright","Jireh Prep (Matthews, NC)","WDE","6-4","235",3,"0.8228","Cincinnati"
24,"Franklin Labady","Milford Academy (Miami, FL)","WR","5-7","165",3,"0.8217","Cincinnati"
25,"Marquis Young","Milford Academy (Fairport, NY)","RB","6-0","200",3,"0.8217","Massachusetts"
26,"Jason Williams","Milford Academy (Hialeah, FL)","CB","6-3","185",2,"0.7967","Akron"
27,"Raylen Elzy","Atlanta Sports Academy (Dawsonville, GA)","WR","6-4","200",2,"0.7913","Marshall"
28,"Jeremy Cox","Fork Union Military Academy (Hope Mills, NC)","RB","5-11","195",2,"0.7834","Old Dominion"
29,"Christian Gonzalez","Milford Academy (New Berlin, NY)","DT","6-3","290",2,"0.7817","Buffalo"
30,"Tony Barnett","Fork Union Military Academy (Fork Union, VA)","OT","6-4","295",2,"0.7800","Old Dominion"
31,"Jordan Mittie","Naval Academy Prep (Aledo, TX)","ILB","6-2","225",2,"0.7756","Texas State"
32,"Khayri Denny","Fork Union Military Academy (Reston, VA)","CB","5-11","175",2,"0.7667","Rhode Island"
33,"Harrison Elam","Fork Union Military Academy (Fork Union, VA)","OT","6-6","285",2,"0.7667","St. Francis (PA)"
34,"Reese Wooten","Milford Academy (Cairo, GA)","CB","6-1","170",2,"0.7200","Marshall"
