"ranking","name","highSchool","position","height","weight","stars","rating","college"
1,"Shaq Lawson","Hargrave Military Academy (Central, SC)","SDE","6-4","265",4,"0.9222","Clemson"
2,"Angelo Jean-Louis","Fork Union Military Academy (West Palm Beach, FL)","WR","6-0","180",4,"0.9213","Marshall"
3,"Avery Peterson","Hargrave Military Academy (Chatham, VA)","WR","6-2","180",4,"0.9200","LSU"
4,"JaQuay Savage","Fork Union Military Academy (Tyrone, GA)","WR","6-4","204",4,"0.9181","Texas A&M"
5,"Leonard Floyd","Hargrave Military Academy (Eastman, GA)","OLB","6-5","240",4,"0.9167","Georgia"
6,"Drew Harris","Fork Union Military Academy (Exton, PA)","RB","6-2","215",4,"0.9059","Virginia Tech"
7,"Deon-Tay McManus","Atlanta Sports Academy (Baltimore, MD)","WR","6-2","215",4,"0.8950","Marshall"
8,"Brian Nance","Hargrave Military Academy (Euless, TX)","OLB","6-3","245",4,"0.8917","Baylor"
9,"Cordrea Tankersley","Hargrave Military Academy (Aiken, SC)","CB","6-2","185",3,"0.8889","Clemson"
10,"John Atkins","Hargrave Military Academy (Thomson, GA)","DT","6-4","300",3,"0.8804","Georgia"
11,"Aris Scott","Milford Academy (New Berlin, NY)","ATH","6-3","210",3,"0.8700","uncommitted"
12,"Tyrell Chavis","Fork Union Military Academy (Richmond, VA)","DT","6-3","290",3,"0.8653","Virginia"
13,"James Summers","Hargrave Military Academy (Greensboro, NC)","DUAL","6-3","205",3,"0.8645","uncommitted"
14,"Brandon Hill","Hargrave Military Academy (Collierville, TN)","OT","6-6.5","390",3,"0.8637","Alabama"
15,"Tyrique Jarrett","Milford Academy (Pittsburgh, PA)","DT","6-4","310",3,"0.8617","Pittsburgh"
16,"Myles Hilliard","Milford Academy (Bedford, OH)","SDE","6-5","250",3,"0.8528","uncommitted"
17,"Sam Lebbie","Atlanta Sports Academy (Hyattsville, MD)","ILB","6-2","240",3,"0.8528","Troy"
18,"Desmond Owino","Hargrave Military Academy (Raleigh, NC)","SDE","6-4","260",3,"0.8528","uncommitted"
19,"Stefan Houston","Fork Union Military Academy (Clarksburg, MD)","OLB","6-3","200",3,"0.8500","Marshall"
20,"Sunny Odogwu","Hargrave Military Academy (Baltimore, MD)","OT","6-8","307",3,"0.8500","Miami"
21,"Jerome Wright","Fork Union Military Academy (Highland Springs, VA)","RB","6-2","220",3,"0.8500","Virginia Tech"
22,"Christian Cumberlander","Jireh Prep (Lagrange, GA)","WR","6-3","190",3,"0.8400","San Diego State"
23,"Jonathan McLaughlin","Fork Union Military Academy (Mauldin, SC)","OT","6-4","288",3,"0.8400","Virginia Tech"
24,"Lester Liston","Hargrave Military Academy (Grand Blanc, MI)","ILB","6-1","220",3,"0.8330","Rutgers"
25,"Kivon Coman","Hargrave Military Academy (Florence, AL)","S","6-1","200",3,"0.8317","Mississippi State"
26,"Brandon Peoples","Milford Academy (Warminster, PA)","APB","5-10","180",3,"0.8306","Wagner"
27,"Max Valles","Fork Union Military Academy (Hammonton, NJ)","TE","6-5","208",3,"0.8291","Virginia"
28,"Delon Stephenson","Milford Academy (Parlin, NJ)","CB","5-11","180",3,"0.8222","Rutgers"
29,"Shakur Nesmith","Milford Academy (Philadelphia, PA)","WR","6-4","192",3,"0.8206","Massachusetts"
30,"Xavier Griffin","Fork Union Military Academy (Newark, DE)","WR","6-2","180",3,"0.8184","uncommitted"
31,"Kalief Joyner","Cheshire Academy (Prep) (Middle Village, NY)","TE","6-5","240",3,"0.8156","uncommitted"
32,"Alex Figueroa","Fork Union Military Academy (Stafford, VA)","WDE","6-4","215",3,"0.8084","Miami"
33,"Keith Byars II","Milford Academy (Boca Raton, FL)","RB","5-10","194",3,"0.8000","Purdue"
34,"Josh McPhearson","Fork Union Military Academy (Upper Marlboro, MD)","ATH","5-10","180",3,"0.8000","uncommitted"
35,"Jalen Gee","Milford Academy (Frederick, MD)","WR","6-1","177",3,"0.8000","uncommitted"
36,"Jacob Southerland","Fork Union Military Academy (Mableton, GA)","OG","6-4","270",3,"0.8000","uncommitted"
37,"Alonzo Brock","Atlanta Sports Academy (Dawsonville, GA)","ATH","6-0","220",3,"0.8000","uncommitted"
38,"Ra'Zahn Howard","Atlanta Sports Academy (Asbury Park, NJ)","DT","6-4","305",3,"0.8000","Purdue"
