"ranking","name","highSchool","position","height","weight","stars","rating","college"
1,"Holland Fisher","Fork Union Military Academy (Midlothian, VA)","S","6-1","200",4,"0.9461","Virginia Tech"
2,"Derwin Gray","Fork Union Military Academy (Washington, DC)","OT","6-4","291",4,"0.9250","Maryland"
3,"Kyrin Priester","Fork Union Military Academy (Snellville, GA)","WR","6-3","185",4,"0.8914","Clemson"
4,"Corwin Cutler","Fork Union Military Academy (Virginia Beach, VA)","PRO","6-4","200",3,"0.8889","Virginia"
5,"Marquis Haynes","Fork Union Military Academy (Jacksonville, FL)","WDE","6-3","225",3,"0.8800","Ole Miss"
6,"Rico Johnson","Georgia Prep Sports Academy (Swainsboro, GA)","WR","5-10","170",3,"0.8800","Georgia"
7,"Jacob Fieler","Fork Union Military Academy (Fork Union, VA)","OG","6-4","314",3,"0.8800","Virginia"
8,"A.J. Addison","Fork Union Military Academy (Fredericksburg, VA)","OT","6-7","290",3,"0.8700","Marshall"
9,"Cequan Jefferson","Fork Union Military Academy (Richmond, VA)","CB","5-11","175",3,"0.8678","Temple"
10,"Corey Cooper","Jireh Prep (Raleigh, NC)","WR","6-0","190",3,"0.8529","Syracuse"
11,"Ryheem Lockley","Fork Union Military Academy (Saluda, VA)","TE","6-4","220",3,"0.8522","uncommitted"
12,"D.J. Reid","Fork Union Military Academy (Chester, VA)","RB","6-1","195",3,"0.8408","Virginia Tech"
13,"Jordan Fuchs","Milford Academy (Middle Village, NY)","TE","6-6","235",3,"0.8248","Indiana"
14,"Chasz Wright","Milford Academy (Woodbridge, VA)","OT","6-6","321",3,"0.8234","Penn State"
15,"Eric Mayes","Milford Academy (Sarasota, FL)","SDE","6-4","240",3,"0.8217","USF"
16,"Eric Wiafe","Milford Academy (Egg Harbor Township, NJ)","DT","6-4","240",3,"0.8208","Rutgers"
17,"Jay Harris","East Coast Prep (Exton, PA)","WR","5-11","175",3,"0.8172","Western Michigan"
18,"Linden Stephens","Fork Union Military Academy (Euclid, OH)","CB","6-0","185",3,"0.8014","Cincinnati"
19,"Timothy Gardner","Milford Academy (Indianapolis, IN)","OT","6-5","310",3,"0.8000","Indiana"
20,"Jamar Summers","Milford Academy (Orange, NJ)","WR","6-0","180",3,"0.7981","Connecticut"
21,"Noah Robinson","Atlanta Sports Academy (Rutland, MA)","ILB","6-4","220",2,"0.7882","Memphis"
22,"Travis Johnson","East Coast Prep (Kingsland, GA)","SDE","6-3","230",2,"0.7778","uncommitted"
23,"Oge Udeogu","East Coast Prep (Arlington Heights, IL)","OT","-","-",2,"0.7778","uncommitted"
24,"Malik Thompson","Fork Union Military Academy (Orlando, FL)","SDE","6-6","250",2,"0.7778","Marshall"
25,"Peter Cvijanovic","East Coast Prep (Great Barrington, MA)","OT","6-5","285",2,"0.7741","Illinois"
26,"K.J. McMillian","Atlanta Sports Academy (Dawsonville, GA)","WR","6-3","181",2,"0.7700","uncommitted"
27,"Derrek Thomas","Milford Academy (Albany, NY)","WR","6-4","180",2,"0.7685","Temple"
28,"Roger Lewis","Jireh Prep (Pickerington, OH)","WR","6-3","205",2,"0.7667","Bowling Green"
29,"Tony Lashley","Milford Academy (Kansas City, MO)","OLB","-","-",2,"0.7667","uncommitted"
30,"Akheem Barton","Milford Academy (Miami, FL)","SDE","6-3","250",2,"0.7667","uncommitted"
31,"Kyle Buss","Milford Academy (New Berlin, NY)","WR","5-11","194",2,"0.7667","Robert Morris"
32,"Jason Smith","East Coast Prep (Hackensack, NJ)","DT","6-3","270",2,"0.7593","Marshall"
33,"Juwan Jackson","Milford Academy (Ramsey, NJ)","S","6-4","200",2,"0.7489","Buffalo"
34,"Matthew Santer","Fork Union Military Academy (Parkersburg, WV)","WR","6-2","205",2,"0.7334","uncommitted"
35,"Conner White","Fork Union Military Academy (Watkinsville, GA)","PRO","6-5","195",2,"0.7334","Texas State"
36,"James Lartey","Fork Union Military Academy (Nokesville, VA)","ILB","-","-",2,"0.7000","uncommitted"
37,"Conor Sweeney","Fork Union Military Academy (Indianapolis, IN)","TE","-","-",2,"0.7000","uncommitted"
38,"Jacob August","Fork Union Military Academy (Fork Union, VA)","TE","6-6","245",2,"0.7000","South Carolina"
39,"John Linkosky","Jireh Prep (Matthews, NC)","OT","6-2","220",2,"0.7000","uncommitted"
40,"Daniel  Reid","Fork Union Military Academy (Chester, VA)","RB","-","-",2,"0.7000","uncommitted"
41,"Randy Knightner","Fork Union Military Academy (Georgetown, TX)","WR","-","-",2,"0.7000","uncommitted"
42,"Marcellus Edwards","Jireh Prep (Indianapolis, IN)","SDE","6-3","240",2,"0.7000","uncommitted"
43,"Malik Fuller","Fork Union Military Academy (Nokesville, VA)","RB","5-7","165",2,"0.7000","uncommitted"
44,"Michael Badgley","Fork Union Military Academy (Summit, NJ)","K","5-10","170",2,"0.7000","uncommitted"
45,"Walter Vance","Gray Military Academy (West Columbia, SC)","WR","6-4","190",2,"0.7000","uncommitted"
46,"Marcus Milton","Jireh Prep (Matthews, NC)","CB","6-1","185",2,"0.7000","Bowling Green"
47,"Jared Jackson","Fork Union Military Academy (Baltimore, MD)","OLB","-","-",2,"0.7000","uncommitted"
48,"Jacob  Breen","Fork Union Military Academy (Monroe, OH)","OC","-","-",2,"0.7000","uncommitted"
49,"Audrex Harris","Fork Union Military Academy (Virginia Beach, VA)","ATH","5-11","180",2,"0.7000","uncommitted"
50,"Desi Bigby Jr.","Atlanta Sports Academy (Scottdale, GA)","DT","6-3","295",2,"0.7000","uncommitted"
51,"Shavar Holliday","Georgia Prep Sports Academy (Lanett, AL)","DUAL","6-2","185",2,"0.7000","uncommitted"
52,"Will Mendoza","Fork Union Military Academy (Las Vegas, NV)","OT","-","-",2,"0.7000","uncommitted"
