"ranking","name","highSchool","position","height","weight","stars","rating","college"
1,"Vince Young","Madison (Houston, TX)","DUAL","6-5","200",5,"1.0000","Texas"
2,"Lorenzo Booker","St. Bonaventure (Ventura, CA)","APB","5-10","180",5,"0.9992","Florida State"
3,"Ryan Moore","Dr. Phillips (Orlando, FL)","WR","6-3","185",5,"0.9986","Miami"
4,"Chris Davis","St. Petersburg (Saint Petersburg, FL)","ATH","5-10","170",5,"0.9980","Florida State"
5,"Ben Olson","Hillcrest Christian School (Thousand Oaks, CA)","PRO","6-4","205",5,"0.9980","Brigham Young"
6,"Gerald Riggs Jr.","Red Bank (Chattanooga, TN)","RB","6-0","220",5,"0.9970","Tennessee"
7,"Rodrique Wright","Alief Hastings (Houston, TX)","DT","6-5","330",5,"0.9970","Texas"
8,"Ciatrick Fason","Duncan U. Fletcher (Neptune Beach, FL)","RB","6-0","210",5,"0.9970","Florida"
9,"Reggie McNeal","Lufkin (Lufkin, TX)","ATH","6-1","210",5,"0.9970","Texas A&M"
10,"Haloti Ngata","Highland (Salt Lake City, UT)","DT","6-5","310",5,"0.9962","Oregon"
11,"Leon Washington","Andrew Jackson (Jacksonville, FL)","CB","5-8","180",5,"0.9946","Florida State"
12,"Michael Johnson","Heritage (Newport News, VA)","RB","5-10","180",5,"0.9942","Virginia"
13,"Nathan Rhodes","East Bakersfield (Bakersfield, CA)","OT","6-7","305",5,"0.9938","Washington"
14,"Brandon Jefferies","Crest (Shelby, NC)","OG","6-5","265",5,"0.9934","Tennessee"
15,"Pat Watkins","Lincoln (Tallahassee, FL)","S","6-3","190",5,"0.9926","Florida State"
16,"Mike D'Andrea","Avon Lake (Avon Lake, OH)","ILB","6-3","230",5,"0.9926","Ohio State"
17,"Ricardo Hurley","Greenwood (Greenwood, SC)","ILB","6-1","235",5,"0.9924","South Carolina"
18,"DiShon Platt","Charlotte (Punta Gorda, FL)","WR","6-0","170",5,"0.9922","Florida State"
19,"Justin Blalock","Plano East (Plano, TX)","OG","6-4","325",5,"0.9922","Texas"
20,"Ahmad Brooks","C. D. Hylton (Woodbridge, VA)","OLB","6-3","230",5,"0.9914","Virginia"
21,"Derek Morris","North Mecklenburg (Huntersville, NC)","OT","6-6","350",5,"0.9912","Ohio State"
22,"Marcus Vick","Warwick (Newport News, VA)","DUAL","6-0","185",5,"0.9910","Virginia Tech"
23,"Jerious Norwood","Brandon (Brandon, MS)","RB","6-0","200",5,"0.9906","Mississippi State"
24,"Marquis Johnson","Centennial (Champaign, IL)","WR","6-3","190",5,"0.9902","uncommitted"
25,"Trent Edwards","Los Gatos (Los Gatos, CA)","PRO","6-4","190",5,"0.9894","Stanford"
26,"Darren Williams","Clarksdale (Clarksdale, MS)","S","6-3","205",5,"0.9892","Mississippi State"
27,"Devin Hester","Suncoast (West Palm Beach, FL)","ATH","5-11","180",5,"0.9884","Miami"
28,"Bryan Pickryl","Jenks (Jenks, OK)","WDE","6-5","230",5,"0.9880","Texas"
29,"James Banks","Ben Davis (Indianapolis, IN)","DUAL","6-3","195",5,"0.9878","Tennessee"
30,"Julian Jenkins","Woodward Academy (Atlanta, GA)","WDE","6-5","230",5,"0.9859","Stanford"
31,"Ben Obomanu","Selma Sch (Selma, AL)","WR","6-2","185",5,"0.9855","Auburn"
32,"Winston Justice","Long Beach Poly (Long Beach, CA)","OT","6-6","295",5,"0.9849","USC"
33,"Kedric Golston","Sandy Creek (Tyrone, GA)","DT","6-4","285",5,"0.9845","Georgia"
34,"Justin Zwick","Washington (Massillon, OH)","PRO","6-4","205",5,"0.9843","Ohio State"
35,"Maurice Clarett","Warren G Harding (Warren, OH)","RB","6-0","230",5,"0.9841","Ohio State"
36,"Gabe Watson","Southfield (Southfield, MI)","DT","6-4","330",5,"0.9839","Michigan"
