"ranking","name","highSchool","position","height","weight","stars","rating","college"
1,"Bruce Irvin","Mt. San Antonio College (ATLANTA, GA)","WDE","6-3","235",4,"0.9448","West Virginia"
2,"Wayne Dorsey","Mississippi Gulf Coast C.C. (Perkinston, MS)","SDE","6-8","255",4,"0.9444","Ole Miss"
3,"Cam Newton","Blinn College (Atlanta, GA)","DUAL","6-6","250",4,"0.9333","Auburn"
4,"John Cullen","Fullerton College (Fullerton, CA)","OT","6-6","280",4,"0.9222","Utah"
5,"Jakar Hamilton","Georgia Military College (Johnston, SC)","S","6-2","196",4,"0.9222","Georgia"
6,"DeQuan Menzie","Copiah-Lincoln C.C. (Columbus, GA)","CB","5-11","190",4,"0.9111","Alabama"
7,"Kenbrell Thompkins","El Camino College (Miami, FL)","WR","6-1","190",4,"0.9111","Cincinnati"
8,"Jermarcus Hardrick","Fort Scott C.C. (Fort Scott, KS)","OT","6-7","315",4,"0.9111","Nebraska"
9,"Randall Mackey","East Mississippi C.C. (Scooba, MS)","DUAL","6-0","190",4,"0.9111","Ole Miss"
10,"Brice Schwab","Palomar College (San Marcos, CA)","OT","6-8","320",4,"0.9111","Arizona State"
11,"Roszell Gayden","College of the Sequoias (Visalia, CA)","OT","6-6","315",4,"0.9111","Auburn"
12,"Ryan Clanton","City College of San Francisco (San Francisco, CA)","OG","6-5","305",4,"0.9000","Oregon"
13,"John Brown","Northeast Mississippi C.C. (Lakeland, FL)","DT","6-2","285",4,"0.9000","Tennessee"
14,"George Bell","Southwestern College (Chula Vista, CA)","WR","6-3","195",4,"0.9000","Arizona State"
15,"Glen Stanley","Eastern Arizona College (Thatcher, AZ)","OLB","6-3","245",4,"0.9000","USC"
16,"Lawrence Rumph","Navarro College (Corsicana, TX)","DT","6-4","270",3,"0.8889","Texas Tech"
17,"Lavonte David","Fort Scott C.C. (Fort Scott, KS)","OLB","6-1","214",3,"0.8778","Nebraska"
18,"James Carmon","Mississippi Gulf Coast C.C. (Perkinston, MS)","DT","6-7","370",3,"0.8778","Mississippi State"
19,"Debrale Smiley","Itawamba C.C. (Thomasville, GA)","FB","6-0","237",3,"0.8778","Florida State"
20,"Eddie Elder","College of San Mateo (San Mateo, CA)","S","6-0","190",3,"0.8778","Arizona State"
21,"Tyrone Crawford","Bakersfield College (Bakersfield, CA)","SDE","6-5","258",3,"0.8667","Boise State"
22,"Toquavius Gilchrist","Butler C.C. (El Dorado, KS)","ILB","6-2","230",3,"0.8667","South Carolina"
23,"Chris Young","Trinity Valley C.C. (Athens, TX)","WR","5-11","185",3,"0.8667","Iowa State"
24,"Mike Harris","El Camino College (Miami, FL)","CB","5-11","186",3,"0.8667","Florida State"
25,"Matangi Tonga","College of San Mateo (San Mateo, CA)","DT","6-2","290",3,"0.8667","Houston"
26,"Damien Jackson","Mississippi Gulf Coast C.C. (Perkinston, MS)","S","6-3","195",3,"0.8667","Ole Miss"
27,"Joel Bonomolo","Fullerton College (Fullerton, CA)","SDE","6-3","245",3,"0.8667","Auburn"
28,"Brandon Mosley","Coffeyville C.C. (Coffeyville, KS)","OT","6-6","299",3,"0.8667","Auburn"
29,"Robert Griffin","Navarro College (Corsicana, TX)","OT","6-6","355",3,"0.8667","Baylor"
30,"Perry Jackson","Sierra College (Rocklin, CA)","SDE","6-2","250",3,"0.8667","San Diego State"
31,"Lamar Holmes","Itawamba C.C. (Fulton, MS)","OT","6-6","335",3,"0.8667","Southern Miss"
32,"Anthony Young","Palomar College (San Marcos, CA)","CB","5-9","162",3,"0.8667","Iowa State"
33,"Dexter Ransom","Blinn College (Brenham, TX)","WR","6-4","217",3,"0.8639","Arizona"
34,"Dave Clark","Independence C.C. (Independence, KS)","S","6-2","190",3,"0.8611","Tennessee"
35,"Brandon Joiner","Navarro College (Killeen, TX)","WDE","6-3","235",3,"0.8556","Arkansas State"
36,"Donald Langley","Copiah-Lincoln C.C. (Wesson, MS)","DT","6-2","290",3,"0.8556","Texas Tech"
37,"Vick Ballard","Mississippi Gulf Coast C.C. (Perkinston, MS)","RB","5-11","210",3,"0.8556","Mississippi State"
38,"Aundre McGaskey","Blinn College (La Marque, TX)","OT","6-6","304",3,"0.8556","New Mexico State"
39,"Wade Jacobson","Gavilan College (Gilroy, CA)","OT","6-6","300",3,"0.8556","Washington State"
40,"Ken Adams","Copiah-Lincoln C.C. (Wesson, MS)","TE","6-5","240",3,"0.8556","LSU"
41,"Kelvin Bolden","Mississippi Gulf Coast C.C. (Perkinston, MS)","WR","6-0","160",3,"0.8556","Southern Miss"
42,"David Mahoney","Los Angeles Pierce College (Woodland Hills, CA)","DT","6-2","285",3,"0.8556","New Mexico State"
43,"Star Lotulelei","Snow College (Ephraim, UT)","DT","6-4","300",3,"0.8556","Utah"
44,"Tobias Palmer","Georgia Military College (Milledgeville, GA)","ATH","5-11","175",3,"0.8556","N.C. State"
45,"Martavious Lee","Palomar College (San Marcos, CA)","WR","6-2","180",3,"0.8556","Utah"
46,"Mike Hayes","Blinn College (Brenham, TX)","RB","5-9","192",3,"0.8556","USF"
47,"Tobais Palmer","Georgia Military College (Milledgeville, GA)","ATH","5-11","166",3,"0.8556","N.C. State"
48,"Aderious Simmons","El Camino College (Torrance, CA)","OT","6-7","310",3,"0.8556","Arizona State"
49,"Brandon Lewis","East Mississippi C.C. (Pleasant Grove, AL)","DT","6-3","280",3,"0.8556","Alabama"
50,"Juan Bolanos","Grossmont College (El Cajon, CA)","OT","6-7","340",3,"0.8556","San Diego State"
51,"Dominique Vinson","Saddleback College (Mission Viejo, CA)","CB","6-0","175",3,"0.8556","Colorado State"
52,"Ben Swartz","Arizona Western College (Yuma, AZ)","DT","6-2","285",3,"0.8556","Idaho"
53,"Randy Salmon","Hutchinson C.C. (Hutchinson, KS)","DT","6-1","295",3,"0.8556","Louisville"
54,"Eric Russell","Cerritos College (Norwalk, CA)","S","5-11","190",3,"0.8556","Middle Tennessee State"
55,"Justin Williams","Navarro College (Corsicana, TX)","DT","6-0","290",3,"0.8556","Kansas State"
56,"Scott Smith","Butler C.C. (El Dorado, KS)","SDE","6-7","275",3,"0.8505","Texas Tech"
57,"Michael Willie","Cerritos College (Norwalk, CA)","WR","6-3","215",3,"0.8444","Arizona State"
58,"Isaac Remington","Phoenix College (Queen Creek, AZ)","SDE","6-6","265",3,"0.8444","Oregon"
59,"Brandon Williams","Joliet J.C. (Joliet, IL)","TE","6-4","240",3,"0.8444","Oregon"
60,"Matthew Pearson","Hutchinson C.C. (Hutchinson, KS)","S","6-0","189",3,"0.8444","Kansas State"
61,"Sammy Brown","Mississippi Gulf Coast C.C. (Perkinston, MS)","OLB","6-3","240",3,"0.8444","Houston"
62,"Coleman Edmond","Los Angeles Pierce College (Woodland Hills, CA)","WR","6-0","200",3,"0.8444","California"
63,"Jason Weaver","Arizona Western College (Yuma, AZ)","OT","6-5","320",3,"0.8444","Southern Miss"
64,"Jonathan Mathis","Blinn College (Brenham, TX)","DT","6-3","292",3,"0.8333","Texas A&M"
65,"Kenny Turner","Fullerton College (Fullerton, CA)","RB","5-10","205",3,"0.8333","New Mexico State"
66,"Tiree Eure","Lackawanna C.C. (Scranton, PA)","TE","6-6","250",3,"0.8333","Minnesota"
67,"Rishard Matthews","Bakersfield College (Bakersfield, CA)","WR","6-1","205",3,"0.8333","Nevada"
68,"Matt Simms","El Camino College (Ramsey, NJ)","PRO","6-3","210",3,"0.8333","Tennessee"
69,"Jeff Howie","Itawamba C.C. (Fulton, MS)","OG","6-4","330",3,"0.8333","Mississippi State"
70,"Tyrunn Walker","Jones County J.C. (Ellisville, MS)","SDE","6-3","265",3,"0.8333","Tulsa"
71,"Mychal Rivera","College of the Canyons (Valencia, CA)","TE","6-4","250",3,"0.8333","Tennessee"
72,"Blake Chavis","Navarro College (Corsicana, TX)","SDE","6-6","235",3,"0.8333","Arkansas State"
73,"Ryan Williams","Copiah-Lincoln C.C. (Wesson, MS)","CB","5-11","185",3,"0.8333","Louisiana Tech"
74,"Reggie Hunt","Copiah-Lincoln C.C. (Wesson, MS)","ATH","5-9","175",3,"0.8333","Southern Miss"
75,"D'Angelo McCray","Coffeyville C.C. (Jacksonville, FL)","DT","6-4","325",3,"0.8333","Memphis"
76,"Sam Tupua","Palomar College (San Marcos, CA)","OC","6-3","315",3,"0.8333","Idaho"
77,"Anthony McCloud","Itawamba C.C. (Thomasville, GA)","DT","6-2","300",3,"0.8333","Florida State"
78,"Chris De Armas","El Camino College (Torrance, CA)","OT","6-4","295",3,"0.8333","Arizona State"
79,"Ahkeem McKinney","Pasadena City College (Pasadena, CA)","SDE","-","-",3,"0.8333","San Jose State"
80,"Ben Swarts","Arizona Western College (Yuma, AZ)","DT","-","-",3,"0.8333","Idaho"
81,"Kenronte Walker","City College of San Francisco (San Francisco, CA)","CB","6-1","205",3,"0.8222","Missouri"
82,"Milton Howell","Navarro College (Corsicana, TX)","CB","6-0","180",3,"0.8222","Tulsa"
83,"Javonta Boyd","Butler C.C. (El Dorado, KS)","DT","6-4","302",3,"0.8222","Kansas State"
