"ranking","name","highSchool","position","height","weight","stars","rating","college"
1,"Jerrell Powe","Hargrave Military Academy (Waynesboro, MS)","DT","6-3","350",4,"0.9731","uncommitted"
2,"Mike Ford","Hargrave Military Academy (Chatham, VA)","RB","6-2","210",4,"0.9333","Alabama"
3,"Darius Dewberry","Hargrave Military Academy (Fort Valley, GA)","ILB","6-3","215",4,"0.9255","Georgia"
4,"Justin Mincey","Hargrave Military Academy (Chatham, VA)","SDE","6-5","275",4,"0.9233","Florida State"
5,"Rahkeem Smith","Hargrave Military Academy (Chatham, VA)","OLB","6-1","220",4,"0.9110","Illinois"
6,"John Jerry","Hargrave Military Academy (Chatham, VA)","OT","6-6","340",4,"0.9000","Ole Miss"
7,"Brandon Cabel","Fork Union Military Academy (Fork Union, VA)","WR","6-1","194",3,"0.8843","Oklahoma"
8,"Ryan Brinson","Hargrave Military Academy (Chatham, VA)","CB","5-9","170",3,"0.8767","West Virginia"
9,"Darrius Massenburg","Hargrave Military Academy (Chatham, VA)","SDE","6-4","255",3,"0.8667","North Carolina"
10,"Darius Myers","Hargrave Military Academy (Chatham, VA)","OG","6-4","320",3,"0.8333","Tennessee"
11,"Ken Tinney","Milford Academy (New Berlin, NY)","CB","6-0","185",3,"0.8333","Michigan State"
12,"Ernest Hodge","Hargrave Military Academy (Chatham, VA)","DT","6-2","250",3,"0.8333","Ohio"
13,"Franchot Allen","Milford Academy (New Berlin, NY)","S","6-2","200",3,"0.8333","West Virginia"
14,"Matt Hardrick","Hargrave Military Academy (Orlando, FL)","OT","6-5","340",2,"0.7667","Florida State"
15,"Jacoby Ford","Fork Union Military Academy (Fork Union, VA)","WR","5-9","175",2,"0.7667","Clemson"
16,"Morgan Green","Hargrave Military Academy (Chatham, VA)","RB","6-0","210",2,"0.7667","Maryland"
17,"Adam Rosner","Milford Academy (New Berlin, NY)","OT","6-6","310",2,"0.7667","Syracuse"
18,"Todd Nolen","Fork Union Military Academy (Fork Union, VA)","WR","6-3","185",2,"0.7667","Virginia Tech"
19,"Jason Diehl","Milford Academy (New Berlin, NY)","OT","6-4","290",2,"0.7667","Michigan State"
20,"Thomas Drewes","Milford Academy (New Berlin, NY)","OLB","6-2","235",2,"0.7667","Buffalo"
21,"Jamal Schulters","Fork Union Military Academy (Fork Union, VA)","APB","5-8","177",2,"0.7549","Kansas State"
22,"Zaire Kitchen","Hargrave Military Academy (Chatham, VA)","S","6-1","193",2,"0.7333","Rutgers"
23,"Andrew Farr","Hargrave Military Academy (Chatham, VA)","OG","6-4","295",2,"0.7333","East Carolina"
24,"Cody Slate","Hargrave Military Academy (Chatham, VA)","TE","6-4","225",2,"0.7333","Marshall"
25,"Anthony Johnson","Hargrave Military Academy (Chatham, VA)","ATH","5-10","195",2,"0.7333","Mississippi State"
26,"Mario Harvey","Hargrave Military Academy (Chatham, VA)","OLB","6-0","220",2,"0.7333","Marshall"
27,"Brian Kelly","Hargrave Military Academy (Chatham, VA)","OT","6-6","300",2,"0.7333","Buffalo"
28,"Chris Clinton","Fork Union Military Academy (Fork Union, VA)","OLB","6-3","235",2,"0.7333","Maryland"
29,"Jonathan Meldrum","Hargrave Military Academy (Chatham, VA)","OG","6-5","300",2,"0.7333","Syracuse"
30,"T.J. Williams","Fork Union Military Academy (Fork Union, VA)","WR","6-2","182",2,"0.7333","Michigan State"
31,"Julian Smith","Milford Academy (New Berlin, NY)","OLB","6-4","220",2,"0.7333","Iowa"
32,"Horace Hubbard","Hargrave Military Academy (Chatham, VA)","ILB","6-5","240",2,"0.7333","Ohio"
33,"Brent Trice","Fork Union Military Academy (Fork Union, VA)","S","6-4","212",2,"0.7000","Vanderbilt"
34,"Markus James","Fork Union Military Academy (Fork Union, VA)","WDE","6-3","235",2,"0.7000","Tulane"
35,"Jeremiah Pitt","Hargrave Military Academy (Chatham, VA)","S","6-1","200",2,"0.7000","Temple"
36,"Troy Wilson","Fork Union Military Academy (Fork Union, VA)","ILB","6-3","235",2,"0.7000","Tulane"
37,"Jason Harper","Fork Union Military Academy (Fork Union, VA)","RB","5-11","192",2,"0.7000","Temple"
38,"Anthony Perkins","Milford Academy (New Berlin, NY)","DT","6-4","275",2,"0.7000","Syracuse"
39,"Derrick Levy","Milford Academy (New Berlin, NY)","WR","6-2","175",1,"0.6667","Wyoming"
40,"Andrew Krevis","Milford Academy (New Berlin, NY)","WDE","6-5","235",1,"0.6667","Eastern Michigan"
