"ranking","name","highSchool","position","height","weight","stars","rating","college"
1,"Desmond Bishop","City College of San Francisco (San Francisco, CA)","ILB","6-2","240",4,"0.9333","California"
2,"Ruben Jackson","City College of San Francisco (San Francisco, CA)","WR","5-11","190",4,"0.9333","Oregon State"
3,"Ismail Abdunafi","Bakersfield College (Bakersfield, CA)","DT","6-4","285",4,"0.9333","Illinois"
4,"Zack Bowman","New Mexico Military Institute (Roswell, NM)","CB","6-2","200",4,"0.9000","Nebraska"
5,"Ryan McBean","Hinds C.C. (Raymond, MS)","SDE","6-5","275",4,"0.9000","Oklahoma State"
6,"C.J. Ah You","Snow College (Ephraim, UT)","SDE","6-4","262",4,"0.9000","Oklahoma"
7,"Michael Johnson","Tyler J.C.  (Tyler, TX)","S","6-3","195",4,"0.9000","Arizona"
8,"James Finley","Compton C.C. (Compton, CA)","WR","6-3","200",4,"0.9000","Oregon"
9,"Dallas Mauga","Grossmont College (El Cajon, CA)","DT","6-1","285",4,"0.9000","San Diego State"
10,"Nate Harris","Dodge City C.C. (Miami, FL)","OLB","6-0","225",4,"0.9000","Louisville"
11,"Zach Anderson","East Mississippi C.C. (Scooba, MS)","SDE","6-4","265",4,"0.9000","Louisville"
12,"Willie Williams","Hutchinson C.C. (Hutchinson, KS)","DT","6-4","303",4,"0.9000","Kansas State"
13,"Marvin White","Kilgore J.C. (Kilgore, TX)","S","6-3","210",4,"0.9000","TCU"
14,"Rickey Parker","Cerritos College (Norwalk, CA)","DT","6-4","280",4,"0.9000","Arizona"
15,"Joseph Ayoob","City College of San Francisco (San Francisco, CA)","PRO","6-3","200",4,"0.9000","California"
16,"Tyrell Smith","College of the Canyons (Valencia, CA)","WR","5-11","170",4,"0.9000","San Diego State"
17,"James Paulk","College of the Canyons (Valencia, CA)","OT","6-5","305",4,"0.9000","Fresno State"
18,"Kerry Reed","Coffeyville C.C. (Coffeyville, KS)","WR","6-2","195",4,"0.9000","Michigan State"
19,"Willie Williams","West Los Angeles College (Opa Locka, FL)","ILB","6-3","232",3,"0.8889","uncommitted"
20,"Steve Octavien","Harper College (Palatine, IL)","ILB","6-0","230",3,"0.8667","Nebraska"
21,"Prechae Rodriguez","Coffeyville C.C. (Coffeyville, KS)","WR","6-4","192",3,"0.8667","Auburn"
22,"Garrett Kline","Lackawanna C.C. (Scranton, PA)","OT","6-7","315",3,"0.8667","N.C. State"
23,"Justin Tomerlin","Butler C.C. (El Dorado, KS)","SDE","6-6","265",3,"0.8667","Nebraska"
24,"Frantz Hardy","Butler C.C. (El Dorado, KS)","WR","6-0","170",3,"0.8667","Nebraska"
25,"Steve Burch","Dodge City C.C. (Dodge City, KS)","DT","6-2","275",3,"0.8667","Kansas State"
26,"Darnell Terrell","Coffeyville C.C. (Coffeyville, KS)","S","6-3","210",3,"0.8667","Missouri"
27,"Bobby Jones","North Dakota State College of Science (Wahpeton, ND)","SDE","6-4","287",3,"0.8667","Michigan State"
28,"Chad Green","Hinds C.C. (Raymond, MS)","WDE","6-5","240",3,"0.8667","N.C. State"
29,"Jason Turner","West Los Angeles College (Culver City, CA)","ILB","6-2","230",3,"0.8667","Oregon"
30,"Jason Vandiver","Fullerton College (Fullerton, CA)","TE","6-4","265",3,"0.8667","Oregon State"
31,"David Stanton","College of the Canyons (Valencia, CA)","DT","6-3","273",3,"0.8667","Michigan State"
32,"Thomas Patton","City College of San Francisco (San Francisco, CA)","SDE","6-4","280",3,"0.8667","Iowa State"
33,"Zac Taylor","Butler C.C. (El Dorado, KS)","PRO","6-2","210",3,"0.8667","Nebraska"
34,"Anthony Kelly","Jones County J.C. (Ellisville, MS)","ILB","6-3","230",3,"0.8667","Florida State"
35,"Jerard Rabb","Saddleback College (Mission Viejo, CA)","WR","6-3","195",3,"0.8667","Boise State"
36,"Palauni Ma Sun","Fresno City College (Fresno, CA)","OG","6-6","335",3,"0.8667","Oregon"
37,"Mickey Pimentel","Pima C.C. (Tucson, AZ)","OLB","6-2","220",3,"0.8667","California"
38,"Alain Karatepeyan","Los Angeles Pierce College (Woodland Hills, CA)","OLB","6-2","245",3,"0.8667","Tulsa"
39,"Zach Catanese","Shasta College (Redding, CA)","S","6-3","215",3,"0.8667","Arizona State"
40,"Matt Lott","Pearl River C.C. (Poplarville, MS)","OT","6-5","300",3,"0.8667","Baylor"
41,"Bryan Tarkington","Moorpark College (Moorpark, CA)","ATH","6-5","280",3,"0.8667","Washington State"
42,"Nu'u Tafisi","Mt. San Antonio College (Walnut, CA)","SDE","6-2","260",3,"0.8667","California"
43,"J.K. Sabb","Georgia Military College (Milledgeville, GA)","ILB","5-11","225",3,"0.8444","Middle Tennessee State"
44,"Chris Felder","Butler C.C. (El Dorado, KS)","CB","5-10","185",3,"0.8333","UAB"
45,"Ola Dagunduro","Compton C.C. (Compton, CA)","DT","6-2","300",3,"0.8333","Nebraska"
46,"Rodney Allen","Garden City C.C.  (Garden City, KS)","SDE","6-3","265",3,"0.8333","Kansas"
47,"Marquis Carpenter","Coffeyville C.C. (Coffeyville, KS)","CB","5-11","180",3,"0.8333","Texas A&M"
48,"Jeremy Pittman","Southwest Mississippi C.C. (Summit, MS)","WDE","6-4","240",3,"0.8333","Southern Miss"
49,"Henry Smith","East Central C.C. (Decatur, MS)","DT","6-3","310",3,"0.8333","Texas A&M"
50,"Steve Craver","Kilgore J.C. (Kilgore, TX)","OLB","6-2","215",3,"0.8333","Tulsa"
51,"Jarrod Jackson","Grossmont College (El Cajon, CA)","PRO","6-1","210",3,"0.8333","UNLV"
52,"Clavens Charles","El Camino College (Torrance, CA)","CB","5-9","200",3,"0.8333","Kansas"
53,"Justin Robinson","Independence C.C. (Independence, KS)","CB","5-10","170",3,"0.8333","Brigham Young"
54,"Willie Ransom","Coffeyville C.C. (Coffeyville, KS)","SDE","6-2","255",3,"0.8333","North Texas"
55,"Ryan Bugg","Allan Hancock College (Santa Maria, CA)","WR","6-0","194",3,"0.8333","Tulsa"
56,"Martelle Narcisse","Coffeyville C.C. (Coffeyville, KS)","WDE","6-0","255",3,"0.8333","Tulsa"
57,"Rick Watson","Northwest Mississippi C.C. (Senatobia, MS)","TE","6-5","280",3,"0.8333","USF"
58,"Derek Hunter","Fullerton College (Fullerton, CA)","OG","6-4","285",3,"0.8333","Washington State"
59,"Bryon Smith","Kilgore J.C. (Kilgore, TX)","DT","6-2","295",3,"0.8333","Arizona"
60,"Clayton Cox","Garden City C.C.  (Garden City, KS)","ILB","6-3","225",3,"0.8333","SMU"
61,"Eric Shyne","Reedley College (Reedley, CA)","CB","6-0","185",3,"0.8333","Utah"
62,"Brit Framel","Northeastern Oklahoma A&M (Miami, OK)","K","6-0","170",3,"0.8333","Louisiana-Lafayette"
63,"John Radford","Northeastern Oklahoma A&M (Miami, OK)","OLB","6-1","230",3,"0.8333","Colorado State"
64,"Orlandus King","Northeast Mississippi C.C. (Booneville, MS)","ILB","6-3","220",3,"0.8333","UAB"
65,"Tevin Williams","Northeastern Oklahoma A&M (Miami, OK)","WR","6-3","215",3,"0.8333","Oklahoma State"
66,"Alan Leon","Mississippi Gulf Coast C.C. (Perkinston, MS)","OT","6-4","325",3,"0.8333","UAB"
67,"Adrian Haywood","Tyler J.C.  (Tyler, TX)","DT","6-3","295",3,"0.8333","SMU"
68,"Tolifili Liufau","Fresno City College (Fresno, CA)","DT","6-3","300",3,"0.8333","Utah"
69,"Jess McDonald","Northwest Mississippi C.C. (Senatobia, MS)","OG","6-3","294",3,"0.8333","Arkansas State"
70,"Jr. Tagovailoa","Coffeyville C.C. (Coffeyville, KS)","SDE","6-2","255",3,"0.8333","Troy"
71,"Aleem Harris","Chaffey College (Rancho Cucamonga, CA)","S","6-4","220",3,"0.8333","New Mexico"
72,"DaVell Lauder","Merced College (Merced, CA)","WDE","6-2","235",3,"0.8333","Houston"
73,"Brandyn McCall","Golden West College (Huntington Beach, CA)","TE","6-5","250",3,"0.8333","Arizona"
74,"Bryce MacMartin","City College of San Francisco (San Francisco, CA)","OG","6-2","285",3,"0.8333","Colorado"
75,"Josh Gomez","Palomar College (San Marcos, CA)","S","6-0","205",3,"0.8333","San Diego State"
76,"Keno Walter-White","San Diego Mesa College (San Diego, CA)","CB","6-1","175",3,"0.8333","Arizona State"
77,"Antonio Johnson","Mississippi Delta C.C. (Moorhead, MS)","DT","6-3","300",3,"0.8333","Mississippi State"
78,"Ricky Miller","Orange Coast College (Costa Mesa, CA)","SDE","6-3","255",3,"0.8333","Kansas State"
79,"Louis Pintola","Pasadena City College (Pasadena, CA)","OT","6-5","310",3,"0.8333","Missouri"
80,"Barry Cryer","Dodge City C.C. (Dodge City, KS)","DT","6-2","270",3,"0.8333","Nebraska"
81,"Tomi Halai","College of the Canyons (Valencia, CA)","WDE","6-5","240",3,"0.8333","Hawaii"
82,"Brian Murph","Butler C.C. (El Dorado, KS)","WR","6-2","190",3,"0.8333","Kansas"
83,"Shannon Jones","Sierra College (Rocklin, CA)","DT","6-4","295",3,"0.8333","Arizona State"
84,"DeMarcus Scott","Mississippi Delta C.C. (Moorhead, MS)","SDE","6-2","270",3,"0.8333","Missouri"
85,"Wayne Wilder","Garden City C.C.  (Garden City, KS)","DT","6-3","295",3,"0.8333","Kansas"
86,"Alvin Bowen","Garden City C.C.  (Garden City, KS)","OLB","6-2","220",3,"0.8333","Iowa State"
87,"Jason Peters","Butte College (Oroville, CA)","RB","6-2","230",3,"0.8333","UCF"
88,"Soli Lefiti","Palomar College (San Marcos, CA)","SDE","6-5","260",3,"0.8333","Utah"
89,"Chris Todd","Northeastern Oklahoma A&M (Miami, OK)","DT","6-2","280",3,"0.8333","Colorado"
90,"Nick Davila","Chaffey College (Rancho Cucamonga, CA)","PRO","6-3","190",3,"0.8333","Cincinnati"
91,"Lorenzo Bursey","West Los Angeles College (Culver City, CA)","RB","5-9","180",3,"0.8333","Washington State"
92,"Marlon Wood","Pasadena City College (Pasadena, CA)","CB","5-11","180",3,"0.8333","Washington"
93,"Dwayne Patterson","Chaffey College (Rancho Cucamonga, CA)","CB","6-2","195",3,"0.8333","Washington State"
94,"Justin McKinney","Garden City C.C.  (Garden City, KS)","CB","5-10","180",3,"0.8333","Kansas State"
95,"Littleton Wright","Lackawanna C.C. (Scranton, PA)","SDE","6-6","245",3,"0.8333","N.C. State"
96,"Matt Russell","Solano C.C. (Fairfield, CA)","OT","6-5","310",3,"0.8333","Missouri"
97,"Marcus Anderson","City College of San Francisco (San Francisco, CA)","OT","6-3","285",3,"0.8333","Kansas"
98,"Tyrell Spain","San Diego Mesa College (San Diego, CA)","ATH","6-3","190",3,"0.8333","Nebraska"
99,"Steve Schmidt","Butte College (Oroville, CA)","TE","6-5","240",3,"0.8333","San Diego State"
100,"Kenny Shane","Pima C.C. (Tucson, AZ)","OT","6-5","283",3,"0.8333","Michigan State"
101,"Kenny Atkins","Bakersfield College (Bakersfield, CA)","ILB","6-2","225",3,"0.8333","Houston"
102,"Emory Jones","Northeast Mississippi C.C. (Booneville, MS)","WR","6-3","204",3,"0.8333","Michigan State"
103,"Ramsey Fiapai","Cerritos College (Norwalk, CA)","OT","6-4","295",3,"0.8333","San Diego State"
104,"Dennis Ellis","College of the Canyons (Valencia, CA)","SDE","6-3","270",3,"0.8333","Boise State"
105,"Terry Washington","Garden City C.C.  (Garden City, KS)","CB","5-11","190",3,"0.8000","Colorado"
106,"Dontrell Moore","Coffeyville C.C. (Coffeyville, KS)","OLB","6-2","225",3,"0.8000","Nebraska"
107,"Jake Cox","Iowa Central C.C. (Fort Dodge, IA)","OT","6-5","295",3,"0.8000","Kansas"
