ranking,name,highSchool,position,height,weight,stars,rating,college
1,Christian Darrisaw,Fork Union Military Academy (Upper Marlboro, MD),OT,6-5,300,3,0.8588,Virginia Tech
2,Emmanuel White,Georgia Prep Sports Academy (Atlanta, GA),SDE,6-7,235,3,0.8200,Charlotte
3,Sterling Palmer,Fork Union Military Academy (Richmond, VA),TE,6-6,220,3,0.8000,FIU
4,Brendan Easley,Palmetto Prep (Prep School) (Columbia, SC),WR,6-5,205,2,0.7895,Morgan State
5,Damon Weldon,Fork Union Military Academy (Fork Union, VA),SDE,6-5,235,2,0.7800,Charlotte
6,Kenny Terry,Palmetto Prep (Prep School) (Columbia, SC),SDE,6-4,230,2,0.7600,Eastern Kentucky
