"ranking","name","highSchool","position","height","weight","stars","rating","college"
1,"James Aiono","Snow College (Ephraim, UT)","DT","6-4","305",4,"0.9667","Utah"
2,"Jason Pierre-Paul","Fort Scott C.C. (Fort Scott, KS)","SDE","6-6","265",4,"0.9556","USF"
3,"Hebron Fangupo","Mt. San Antonio College (Walnut, CA)","DT","6-2","330",4,"0.9444","USC"
4,"Hayo Carpenter","College of the Canyons (Valencia, CA)","WR","5-11","185",4,"0.9444","Minnesota"
5,"Justin Thompson","El Camino College (Torrance, CA)","DT","6-5","280",4,"0.9333","Memphis"
6,"Anthony Morgan","Navarro College (Corsicana, TX)","OG","6-4","325",4,"0.9222","Oklahoma State"
7,"Pernell McPhee","Itawamba C.C. (Fulton, MS)","SDE","6-4","270",4,"0.9222","Mississippi State"
8,"Joshua Tatum","City College of San Francisco (Oakland, CA)","ILB","6-1","230",4,"0.9222","Missouri"
9,"Tyrece Gaines","Butler C.C. (El Dorado, KS)","WR","6-2","225",4,"0.9111","Oregon"
10,"Cameron Kenney","Garden City C.C.  (Garden City, KS)","WR","6-2","195",4,"0.9111","Oklahoma"
11,"DeQuin Evans","Los Angeles Harbor College (Wilmington, CA)","WDE","6-3","256",4,"0.9111","Kentucky"
12,"Eltoro Freeman","Mississippi Gulf Coast C.C. (Perkinston, MS)","OLB","5-11","221",4,"0.9111","Auburn"
13,"Demond Washington","Mississippi Gulf Coast C.C. (Perkinston, MS)","CB","5-9","182",4,"0.9111","Auburn"
14,"Malcolm Williams","Trinity Valley C.C. (Athens, TX)","S","5-11","205",4,"0.9000","TCU"
15,"Jamar Howard","College of the Sequoias (Visalia, CA)","WR","6-4","210",4,"0.9000","Cincinnati"
16,"James Carpenter","Coffeyville C.C. (Coffeyville, KS)","OT","6-5","300",4,"0.9000","Alabama"
17,"Edwin Herbert","City College of San Francisco (San Francisco, CA)","DT","6-3","295",4,"0.9000","Florida"
18,"Anthony Leon","College of the Sequoias (Visalia, CA)","S","6-3","230",4,"0.9000","Arkansas"
19,"Coryell Judie","Fort Scott C.C. (Fort Scott, KS)","CB","-","-",4,"0.9000","uncommitted"
20,"Jarred Price","Blinn College (Brenham, TX)","OLB","5-11","218",4,"0.9000","California"
21,"Akiem Hicks","Sacramento City College (Sacramento, CA)","DT","6-6","300",4,"0.9000","LSU"
22,"Tevita Finau","Phoenix College (Phoenix, AZ)","SDE","6-5","275",4,"0.9000","West Virginia"
23,"Bryson Littlejohn","Sierra College (Rocklin, CA)","ILB","6-0","235",4,"0.9000","Oregon"
24,"Joe Evinger","College of the Canyons (Valencia, CA)","OT","6-7","340",4,"0.9000","Louisville"
25,"Ryan Clark","Navarro College (Corsicana, TX)","S","6-1","195",4,"0.9000","SMU"
26,"Eugene Kinlaw","Hutchinson C.C. (Hutchinson, KS)","DT","6-2","295",3,"0.8889","Troy"
27,"Chris White","Mississippi Gulf Coast C.C. (Perkinston, MS)","ILB","6-4","238",3,"0.8889","Mississippi State"
28,"Tony Straughter","Georgia Military College (Milledgeville, GA)","OLB","6-0","201",3,"0.8778","South Carolina"
29,"Rudell Crim","Butler C.C. (El Dorado, KS)","CB","6-0","190",3,"0.8778","Arkansas"
30,"Chris Matthews","Los Angeles Harbor College (Wilmington, CA)","WR","6-5","210",3,"0.8778","Kentucky"
31,"Nick Fairley","Copiah-Lincoln C.C. (Wesson, MS)","DT","6-5","300",3,"0.8778","Auburn"
32,"Leslie Stirrups","East Mississippi C.C. (Scooba, MS)","SDE","6-3","275",3,"0.8778","USF"
33,"Reggie Dunn","Compton C.C. (Los Angeles, CA)","WR","5-10","165",3,"0.8778","Oregon State"
34,"Joseph Townsend","Foothill College (Los Altos, CA)","DT","6-4","295",3,"0.8778","Louisville"
35,"Jacquian Williams","Fort Scott C.C. (Fort Scott, KS)","OLB","6-4","220",3,"0.8667","USF"
36,"Roy Watts","Navarro College (Corsicana, TX)","OT","6-6","300",3,"0.8667","Houston"
37,"Josh Dickerson","Georgia Military College (Milledgeville, GA)","ILB","6-1","225",3,"0.8667","South Carolina"
38,"Jamar Hornsby","East Mississippi C.C. (Jacksonville, FL)","S","6-3","200",3,"0.8667","Ole Miss"
39,"Andre Simmons","Independence C.C. (Independence, KS)","WR","6-3","201",3,"0.8667","Colorado"
40,"Myles Wade","Arizona Western College (Portland, OR)","DT","6-2","311",3,"0.8667","Texas Tech"
41,"Justin Jordan","Blinn College (Brenham, TX)","WR","5-11","190",3,"0.8667","Southern Miss"
42,"Taikwon Paige","Georgia Military College (Milledgeville, GA)","CB","5-10","175",3,"0.8667","Auburn"
43,"David Batts","El Camino College (Torrance, CA)","S","6-2","200",3,"0.8667","Washington"
44,"Maurice Langston","East Central C.C. (Decatur, MS)","CB","5-11","195",3,"0.8667","Mississippi State"
45,"B.J. Bell","Santa Ana College (Santa Ana, CA)","WDE","6-4","245",3,"0.8556","UNLV"
46,"Jasper Simmons","Hutchinson C.C. (Hutchinson, KS)","S","6-1","210",3,"0.8556","Missouri"
47,"Taikwon Paige","Georgia Military College (Milledgeville, GA)","CB","5-11","175",3,"0.8556","Toledo"
48,"Mark Crawford","Coffeyville C.C. (Coffeyville, KS)","DT","6-1","305",3,"0.8556","Kentucky"
49,"Edgard Theliar","Butler C.C. (El Dorado, KS)","WR","6-3","190",3,"0.8556","FIU"
50,"Aaron Brown","Saddleback College (Mission Viejo, CA)","S","6-1","210",3,"0.8556","Hawaii"
51,"Andrew Iupati","Golden West College (Huntington Beach, CA)","DT","6-1","295",3,"0.8556","Oregon"
52,"Andrew Tiller","Nassau C.C. (Garden City, NY)","OT","6-6","320",3,"0.8556","Syracuse"
53,"Jeff Vinson","Lackawanna C.C. (Scranton, PA)","OT","6-6","350",3,"0.8556","Oklahoma"
54,"Riley Flowers","Jones County J.C. (Ellisville, MS)","DT","6-1","280",3,"0.8556","Troy"
55,"Dean DeLeone","Orange Coast College (Costa Mesa, CA)","WDE","6-2","245",3,"0.8444","Arizona State"
56,"Rae Sykes","Coffeyville C.C. (Coffeyville, KS)","SDE","6-4","240",3,"0.8444","Tennessee"
57,"Hendrick Leverette","Pearl River C.C. (Poplarville, MS)","ILB","6-1","225",3,"0.8444","Southern Miss"
58,"Daniel Mafoe","El Camino College (Torrance, CA)","OT","6-4","320",3,"0.8444","Washington"
59,"Johnny Tivao","Cerritos College (Norwalk, CA)","DT","6-0","330",3,"0.8444","Washington"
