ranking,name,highSchool,position,height,weight,stars,rating,college
272,Jordan Hendy,College of San Mateo (San Mateo, CA),CB,6-1,185,3,0.8000,Toledo
273,Misiona Aiolupotea-Pei,Riverside C.C. (Riverside, CA),SDE,6-3,260,3,0.8000,Washington State
274,Jalil Lecky,College of San Mateo (San Mateo, CA),SDE,6-5,220,3,0.8000,San Diego State
275,Kingston Davis,Independence C.C. (Prattville, AL),RB,6-1,245,3,0.8000,UAB
276,Jan-Phillip Bombek,Feather River College (Plumas Ntl Forest, CA),SDE,6-3,255,2,0.7967,Colorado State
277,Cordale Grundy,Northeastern Oklahoma A&M (Tulsa, OK),DUAL,6-1,190,2,0.7967,UTSA
278,Jake Hudson,Saddleback College (Rancho Santa Margarita, CA),WDE,6-4,235,2,0.7956,Toledo
279,Meiko Dotson,Garden City C.C.  (Daytona Beach, FL),CB,5-10.5,188,2,0.7956,Florida Atlantic
280,John Hines,Southwest Mississippi C.C. (Montgomery, AL),WDE,6-4,230,2,0.7956,Troy
281,Jovon Burriss Jr,Fullerton College (Germantown, MD),S,6-2,185,2,0.7956,McNeese State
282,Drew Bronson,Garden City C.C.  (Garden City, KS),OC,6-3,270,2,0.7956,uncommitted
283,DeMario Burnett,Butler C.C. (El Dorado, KS),WDE,6-7,255,2,0.7956,uncommitted
284,Avery Jones,Golden West College (Huntington Beach, CA),ILB,6-1,235,2,0.7956,Middle Tennessee State
285,Mason Mata'afa,Orange Coast College (Costa Mesa, CA),SDE,6-5,235,2,0.7956,Hawaii
286,Will Gilchrist,Blinn College (Deer Park, TX),OC,6-3,290,2,0.7945,Middle Tennessee State
287,Mike Witherspoon,Hutchinson C.C. (Lawrenceville, GA),S,6-1,195,2,0.7944,East Carolina
288,Brandon Floyd,Trinity Valley C.C. (Denton, TX),OLB,6-3,215,2,0.7944,Louisiana Tech
289,Hunter Raquet,Monterey Peninsula College (Hollister, CA),DUAL,6-4,200,2,0.7933,Fresno State
290,Matt Martin,Trinity Valley C.C. (Deer Park, TX),OC,6-2,285,2,0.7933,Middle Tennessee State
291,Tyler Ringwood,Erie C.C. (Buffalo, NY),WR,6-3,221,2,0.7933,Charlotte
292,Thomas Toki,College of San Mateo (Mountain View, CA),DT,6-0,305,2,0.7917,Arkansas State
293,Diondre Champaigne,Jones County J.C. (North Charleston, SC),WR,6-3,194,2,0.7906,Georgia State
294,Peytton Pickett,Trinity Valley C.C. (Arlington, TX),RB,5-8,183,2,0.7906,Liberty
295,Ross Painter,Northeast Mississippi C.C. (Hernando, MS),TE,6-4,225,2,0.7906,Arkansas State
296,Moss Saccomanno,Dodge City C.C. (Dodge City, KS),TE,6-5,235,2,0.7905,Charlotte
297,Adrien Cross,Hutchinson C.C. (Brunswick, GA),S,5-10,185,2,0.7905,Texas Tech
298,Dior Johnson,Independence C.C. (Southfield, MI),S,6-2,195,2,0.7905,Murray State
299,James Alston,Coffeyville C.C. (Hackensack, NJ),OT,6-7,305,2,0.7905,uncommitted
300,Derek Thomas,Cerritos College (Norwalk, CA),SDE,6-3,215,2,0.7900,Hawaii
301,Erskine Francis,Fort Scott C.C. (Fort Scott, KS),CB,6-1,180,2,0.7900,Austin Peay
302,Lorenzo McCaskill,Holmes C.C. (Southfield, MI),OLB,6-2,210,2,0.7900,Louisiana
303,Landon Forman,Northeastern Oklahoma A&M (Miami, OK),OT,6-5,280,2,0.7900,Akron
304,Michael Thompson,Modesto J.C. (Modesto, CA),WR,6-4,189,2,0.7900,Eastern Michigan
305,Keith Williams,Independence C.C. (Baltimore, MD),OT,6-7,280,2,0.7900,Colorado State
306,Ernest Moore,City College of San Francisco (San Francisco, CA),OT,-,-,2,0.7900,Hawaii
307,Gene Pryor,College of the Sequoias (Visalia, CA),OG,6-3,312,2,0.7900,Hawaii
308,Jordan Johnson,Garden City C.C.  (Lansdowne, PA),OG,6-4,311,2,0.7900,East Carolina
309,Johnny Lumpkin,Hutchinson C.C. (Atlanta, GA),TE,6-6,230,2,0.7900,Louisiana
310,Cameron Solomon,Tyler J.C.  (Ashdown, AR),CB,5-11,180,2,0.7900,Louisiana
311,Jalyn Galmore,Itawamba C.C. (Batesville, MS),OG,6-5,290,2,0.7894,UTSA
312,Mario Dungy,Highland C.C. (Eight Mile, AL),DT,6-3,285,2,0.7894,Georgia State
313,Hassan Belton,Butler C.C. (Blythewood, SC),OLB,6-0,215,2,0.7894,Bowling Green
314,Jo-El Shaw,Lackawanna C.C. (Pittsburgh, PA),RB,6-1,235,2,0.7894,Kent State
315,Walter Harris,Mt. San Antonio College (Walnut, CA),OG,6-3,285,2,0.7889,uncommitted
316,Chris Evagues,Saddleback College (Mission Viejo, CA),WDE,6-1,225,2,0.7889,uncommitted
317,Devontae Seay,College of the Canyons (Albany, GA),WR,5-11,165,2,0.7889,uncommitted
318,Deanjelo Anderson,Ellsworth C.C. (Iowa Falls, IA),OLB,6-3,230,2,0.7889,uncommitted
319,Jack Luavasa,Snow College (Ephraim, UT),TE,6-4,240,2,0.7889,Kansas
320,Babak Ghadaksaz,Saddleback College (Irvine, CA),OG,6-4,285,2,0.7889,Portland State
321,Sonnie Richardson,Mesa C.C. (Mesa, AZ),WR,5-9,185,2,0.7889,uncommitted
322,De'Abrie Smith,College of the Desert (Palatka, FL),PRO,6-1,200,2,0.7889,uncommitted
323,Cal Kee,East Central C.C. (Hampton, VA),S,6-1,205,2,0.7883,Louisiana-Monroe
324,Darrian McMillan,Butler C.C. (Mobile, AL),WDE,6-3,255,2,0.7855,North Texas
325,Judge Hartin,Northeastern Oklahoma A&M (Madill, OK),OG,6-4,285,2,0.7855,Tulsa
326,Quin Jones,East Mississippi C.C. (Oxford, MS),ILB,6-1,225,2,0.7855,Stephen F. Austin
327,Cole Baker,East Mississippi C.C. (Scooba, MS),DT,6-3,275,2,0.7855,Ohio
328,Luca Vartic,Arizona Western College (Kealakekua, HI),CB,6-2,200,2,0.7855,UNLV
329,Kendricks Gladney,ASA College (New York) (Brooklyn, NY),S,6-0,195,2,0.7855,Middle Tennessee State
330,Wallace Cowins,Georgia Military College (Milledgeville, GA),SDE,6-4,240,2,0.7855,Coastal Carolina
331,Tre Bland,Riverside C.C. (Riverside, CA),OG,6-2,288,2,0.7844,New Mexico
332,Thomas Odukoya,Garden City C.C.  (Garden City, KS),TE,6-6,265,2,0.7844,Eastern Michigan
333,Shawn Simeon,Coffeyville C.C. (Coffeyville, KS),SDE,6-6,240,2,0.7844,Eastern Michigan
334,Jeffrey Keene,Fort Scott C.C. (Fort Scott, KS),WDE,6-4,215,2,0.7844,Hawaii
335,Justin Prince,Long Beach City College (Harbor City, CA),S,5-11,195,2,0.7844,UTEP
336,Tyler Glass,Copiah-Lincoln C.C. (Greenwood, MS),S,6-1,200,2,0.7844,Louisiana-Monroe
337,Jalen Nelson,Southwestern College (Chula Vista, CA),CB,6-2,180,2,0.7833,San Jose State
338,Ky'el Hemby,Iowa Western C.C. (Council Bluffs, IA),CB,6-1,205,2,0.7833,Southern Miss
339,Jarvis Hayes,Itawamba C.C. (Slocomb, AL),WDE,6-4,215,2,0.7805,Troy
340,Tukua Ahoia,College of San Mateo (San Mateo, CA),DT,6-0,310,2,0.7805,Arkansas State
341,David Zavala,Cerritos College (Norwalk, CA),OT,6-2,307,2,0.7805,New Mexico
342,Jonathan Timmons,Coffeyville C.C. (Memphis, TN),OG,6-5,320,2,0.7800,Charlotte
343,O'Shea Jackson,Trinity Valley C.C. (Arlington, TX),DT,6-1,300,2,0.7800,uncommitted
344,Jacob Whitmer,Chaffey College (Rancho Cucamonga, CA),TE,6-6,245,2,0.7800,uncommitted
345,Tyler Orsini,Ventura College (Ventura, CA),OG,6-3,300,2,0.7800,uncommitted
346,Arthur Jackson III,American River C.C. (Sacramento, CA),WR,6-0,185,2,0.7800,Eastern Michigan
347,Breon Hayward,Navarro College (Corsicana, TX),OLB,6-2,225,2,0.7800,Marshall
348,Caleb Mills,Dodge City C.C. (Gastonia, NC),WR,6-3.5,172,2,0.7800,New Mexico State
349,Presley Motes,Eastern Arizona College (Thatcher, AZ),TE,6-4,235,2,0.7800,Bowling Green
350,Shannon Hall,College of DuPage (Indianapolis, IN),SDE,6-3,255,2,0.7800,Ball State
351,Dominion Ezinwa,Chaffey College (Rancho Cucamonga, CA),DT,6-4,300,2,0.7800,UNLV
352,Carlos Thompson,Independence C.C. (Manvel, TX),WR,5-9,185,2,0.7800,uncommitted
353,Gavin Sharp,Blinn College (Brenham, TX),TE,6-5,240,2,0.7800,UTSA
354,Travis Bird,College of the Canyons (Stevenson Ranch, CA),OG,6-5,295,2,0.7800,South Alabama
355,Cade Baumann,Northeastern Oklahoma A&M (Miami, OK),WDE,6-4,215,2,0.7794,Tulsa
356,Gerald Bell,Pearl River C.C. (Bessemer, AL),OG,6-5,255,2,0.7794,Troy
357,Tres Barboza,Tyler J.C.  (Castroville, TX),OT,6-5,295,2,0.7794,UTEP
358,Josh Caldwell,Cerritos College (La Mirada, CA),CB,6-1,180,2,0.7794,UTEP
359,Vada King,Holmes C.C. (Smiths Station, AL),WDE,6-1,230,2,0.7755,uncommitted
360,Treyvion Shannon,Mississippi Gulf Coast C.C. (Clarksdale, MS),OT,6-5,305,2,0.7744,UTSA
361,Austin Watkins,Dodge City C.C. (Dodge City, KS),WR,6-3,200,2,0.7744,UAB
362,Nick Dennis,Navarro College (Midland, TX),OG,6-4,315,2,0.7744,SMU
363,Myles Plummer,Coffeyville C.C. (Chester, VA),S,6-1,185,2,0.7744,UNLV
364,Teddy Gallagher,Glendale C.c. (Glendale, CA),ILB,6-2,235,2,0.7744,Coastal Carolina
365,Jarred Sylvester,Dodge City C.C. (Dodge City, KS),OT,6-4,300,2,0.7744,New Mexico
366,A.J. Greeley,College of the Sequoias (Fresno, CA),CB,5-10,170,2,0.7744,New Mexico
367,Travis Sailo,Itawamba C.C. (Buhl, AL),DT,6-2,230,2,0.7744,Troy
368,Bruce Burns,Laney College (Oakland, CA),OT,6-3,345,2,0.7744,Idaho
369,Aaron Boatright,East Mississippi C.C. (Scooba, MS),SDE,6-5,241,2,0.7744,Idaho
370,Tyrone Neal,Fort Scott C.C. (Fort Scott, KS),ILB,6-0,225,2,0.7733,Eastern Michigan
371,Bobby Brown,College of the Canyons (Valencia, CA),CB,6-1,170,2,0.7733,San Jose State
372,Kendall Parham,Jones County J.C. (Ellisville, MS),WR,5-10,179,2,0.7733,UAB
373,Ray Buford,Independence C.C. (Southfield, MI),CB,6-2,190,2,0.7733,New Mexico State
374,Patrick Peek,Trinity Valley C.C. (Aledo, TX),S,5-11,200,2,0.7733,New Mexico
375,Tavis Malakius,Fort Scott C.C. (Macon, GA),DT,6-3,297,2,0.7733,UNLV
376,Shane Johnson,Snow College (Houston, TX),DUAL,6-2,220,2,0.7700,Texas A&M
377,Atunaisa Vainikolo,Mt. San Antonio College (Walnut, CA),DT,6-2,280,2,0.7700,Buffalo
378,Devon Jackson,Santa Ana College (Santa Ana, CA),WR,6-2,190,2,0.7700,Middle Tennessee State
379,Thomas Preston III,Scottsdale C.C. (Mesa, AZ),OT,6-4,290,2,0.7700,North Texas
380,Damien Crumitie,Dodge City C.C. (Tallahassee, FL),S,5-11,174,2,0.7700,Grambling State
381,Lautoa Nomura,Santa Ana College (Santa Ana, CA),S,6-1,195,2,0.7700,New Mexico State
382,Bryce Petersen,Riverside C.C. (Mckinleyville, CA),OG,6-3,280,2,0.7700,Akron
383,Zack Bennett,Arizona Western College (Meridian, ID),OC,6-3,280,2,0.7700,Florida Atlantic
384,Alexander Vainikolo,Mt. San Antonio College (Walnut, CA),ILB,6-0,235,2,0.7700,New Mexico
385,Alvin Pacheco,Ventura College (Ventura, CA),S,6-0,185,2,0.7700,Texas State
386,Tuni Ropati,City College of San Francisco (San Francisco, CA),DT,6-2,290,2,0.7700,Ball State
387,Travis Reed,Jones County J.C. (Ellisville, MS),CB,6-2,175,2,0.7694,South Alabama
388,Alex Bridges,Cisco College (Tyler, TX),OT,6-6,320,2,0.7694,Central Arkansas
389,Cooper Lee,Coffeyville C.C. (De Soto, KS),P,6-1,195,2,0.7694,Bowling Green
390,A.J. Beach,Georgia Military College (Milledgeville, GA),CB,5-10,185,2,0.7683,Appalachian State
391,Ahmari Davis,Laney College (Oakland, CA),RB,5-11,190,2,0.7683,New Mexico
392,Aires Gardner,Navarro College (Houston, TX),OG,6-3,290,2,0.7667,Lamar
393,Jordan Beaton,Jones County J.C. (Gulfport, MS),DT,6-2,285,2,0.7644,South Alabama
394,Cullen Wick,Blinn College (Hallettsville, TX),SDE,6-2,250,2,0.7644,Tulsa
395,Josh Sa'afi,Mt. San Antonio College (Euless, TX),WDE,6-3,272,2,0.7644,North Texas
396,Daymon Anderson,Lackawanna C.C. (Scranton, PA),CB,6-1,195,2,0.7633,Charlotte
397,Cameron Townsend,Moorpark College (Westlake Village, CA),DT,6-1,265,2,0.7633,Idaho
398,Turan Rush,Antelope Valley College (Lancaster, CA),DT,6-1,260,2,0.7633,Eastern Michigan
399,Kaleb Meder,American River C.C. (Wheatland, CA),SDE,6-3,250,2,0.7633,Nevada
400,Kobie Beltram,City College of San Francisco (Antioch, CA),ILB,6-1,230,2,0.7633,Eastern Michigan
401,Trent Sellers,Coffeyville C.C. (Tyrone, GA),SDE,6-5,265,2,0.7633,New Mexico
402,Barry Howard,Copiah-Lincoln C.C. (Wesson, MS),SDE,6-2,230,2,0.7633,Louisiana-Monroe
403,Cedric Byrd,Long Beach City College (Harbor City, CA),WR,5-9,170,2,0.7633,Hawaii
404,Erin Austin,Laney College (Oakland, CA),WDE,6-3,270,2,0.7633,New Mexico
405,Ariyon Huff,Yuba College (Marysville, CA),WR,5-8,191,2,0.7633,Idaho
406,Jason Thomas,Golden West College (Downey, CA),CB,5-11,170,2,0.7600,uncommitted
407,Moses Landis,American River C.C. (Sacramento, CA),OT,6-4,295,2,0.7600,Nevada
408,Diego Cervantes,American River C.C. (Sacramento, CA),OC,6-2,270,2,0.7600,Old Dominion
409,Eric Pulliam,Fullerton College (Fullerton, CA),OG,6-5,305,2,0.7600,New Mexico State
410,Joey Banks,City College of San Francisco (Elk Grove, CA),S,5-10,180,2,0.7600,Buffalo
411,Tyrrel Eddington,Bakersfield College (Bakersfield, CA),DT,6-3,305,2,0.7600,Eastern Michigan
412,Dominic Taylor,Hutchinson C.C. (Snellville, GA),OT,6-5,275,2,0.7600,Charlotte
413,Luqman Barcoo,Grossmont College (El Cajon, CA),CB,6-1,170,2,0.7600,San Diego State
414,DeJohn Rogers,Monroe College (Matawan, NJ),CB,6-0,175,2,0.7600,New Mexico
415,Cooper Garcia,Ventura College (Ojai, CA),K,5-10,200,2,0.7583,Massachusetts
416,Carter Wood,Mississippi Gulf Coast C.C. (Starkville, MS),OT,6-5,275,2,0.7583,UAB
417,DeShondrick Foxworth,Jones County J.C. (Ellisville, MS),DT,6-2,314,2,0.7583,Buffalo
418,LaRance Shaw,Cisco College (Fort Worth, TX),DT,5-11,250,2,0.7583,Louisiana-Monroe
419,Edwin Grande,Monterey Peninsula College (Monterey, CA),OT,6-5,291,2,0.7583,Idaho
420,Jawaski Webb,Holmes C.C. (Goodman, MS),OG,6-2,280,2,0.7533,Georgia Southern
421,Brian Robinson,Laney College (Oakland, CA),OG,6-4,346,2,0.7533,Idaho
422,Chris Estrella,Mt. San Jacinto College (San Jacinto, CA),OT,6-5,285,2,0.7500,New Mexico
423,Nate Needham,Erie C.C. (Buffalo, NY),K,6-1,185,2,0.7500,uncommitted
424,Steavenson Fernand,ASA College (Miami) (Fort Lauderdale, FL),WR,6-3,190,2,0.7500,Idaho
425,Justin Rohrwasser,Erie C.C. (Buffalo, NY),K,6-3,209,2,0.7500,Marshall
426,Adam Valiga,College of DuPage (Glen Ellyn, IL),TE,6-5,245,2,0.7500,Eastern Kentucky
427,Tyson Dyer,Palomar College (San Marcos, CA),P,6-2,198,2,0.7500,New Mexico
428,Bryce Wempa,Tyler J.C.  (Royse City, TX),TE,6-5,248,2,0.7400,Stephen F. Austin
429,Patrick LeCorre,Eastern Arizona College (Thatcher, AZ),K,6-1,200,2,0.7400,Ball State
430,Marquise Griffin,East Mississippi C.C. (Scooba, MS),DT,6-3,320,2,0.7400,Austin Peay
431,Oscar Draguicevich,Temple College (Hutto, TX),P,5-11,185,2,0.7300,UTEP
432,Xavier Santiago,ASA College (Miami) (Fort Myers, FL),OT,6-5,290,2,0.7000,Wagner
