ranking,name,highSchool,position,height,weight,stars,rating,college
62,Vonte Davis,Blinn College (Rosenberg, TX),CB,6-1,180,3,0.8643,Utah
63,Kai Locksley,Iowa Western C.C. (Baltimore, MD),DUAL,6-4,205,3,0.8643,UTEP
64,Hal Northern,Northwest Mississippi C.C. (Senatobia, MS),DT,6-3,293,3,0.8641,Ole Miss
65,Thomas Lopez,ASA College (New York) (Middletown, NJ),OT,6-5,300,3,0.8635,Ball State
66,Joe Babros,Saddleback College (Mission Viejo, CA),SDE,6-5,250,3,0.8623,N.C. State
67,DuWayne Johnson,Arizona Western College (Washington, DC),CB,6-2,172,3,0.8622,Syracuse
68,Najee Stevens-McKenzie,ASA College (New York) (Bedford, OH),WDE,6-4,215,3,0.8609,Kansas
69,Keith Washington,Copiah-Lincoln C.C. (Prattville, AL),CB,6-2,170,3,0.8602,West Virginia
70,Deven Boston,Santa Ana College (Buena Park, CA),RB,6-0,225,3,0.8600,UTSA
71,Chase Brown,Lackawanna C.C. (Ashburn, VA),OT,6-5,315,3,0.8597,Pittsburgh
72,Pro Wells,Northwest Mississippi C.C. (Saint Petersburg, FL),TE,6-4,235,3,0.8590,TCU
73,Woody Barrett,Copiah-Lincoln C.C. (Orlando, FL),DUAL,6-2,225,3,0.8589,Kent State
74,Greg Eisworth,Trinity Valley C.C. (Grand Prairie, TX),S,6-0,195,3,0.8582,Iowa State
75,Willie Allen,Tyler J.C.  (New Orleans, LA),OT,6-7.5,300,3,0.8582,Louisiana Tech
76,Cassius Peat,Scottsdale C.C. (Scottsdale, AZ),SDE,6-4,280,3,0.8578,Virginia
77,Isaiah Johnson,Northeastern Oklahoma A&M (Warner Robins, GA),DT,6-5,300,3,0.8570,Southern Miss
78,Lone Toailoa,Mt. San Antonio College (Walnut, CA),WDE,6-3,260,3,0.8569,California
79,Chris Stamps,Northwest Mississippi C.C. (Vicksburg, MS),CB,6-1,180,3,0.8556,Middle Tennessee State
80,Daeqwan Bailey,Pasadena City College (Raleigh, NC),DT,6-3,310,3,0.8556,uncommitted
81,Terence Williams,Iowa Western C.C. (Riverview, FL),CB,6-1,185,3,0.8556,uncommitted
82,Antonio Gibson,East Central C.C. (Mcdonough, GA),WR,6-2,220,3,0.8552,Memphis
83,Bryce Perkins,Arizona Western College (Chandler, AZ),DUAL,6-2,215,3,0.8550,Virginia
84,Haki Woods,Pima C.C. (Tucson, AZ),CB,6-3,192,3,0.8549,Oregon
85,Darrion Jones,Los Angeles Harbor College (Wilmington, CA),TE,6-6,245,3,0.8548,Colorado
86,Delrick Abrams Jr.,Independence C.C. (Angie, LA),CB,6-3,180,3,0.8536,Colorado
87,Azur Kamara,Arizona Western College (Phoenix, AZ),WDE,6-6,230,3,0.8535,Kansas
88,Aaron Maddox,Pima C.C. (North Augusta, SC),S,6-1,192,3,0.8535,Colorado
89,Luke Sowa,Butler County (KS) (El Dorado, KS),FB,6-3,245,3,0.8528,Kansas State
90,Rahsaan York,American River C.C. (Sacramento, CA),OLB,6-0,210,3,0.8520,Kansas State
91,Nick Dawson,Northeastern Oklahoma A&M (McDonough, GA),OLB,6-2,215,3,0.8517,Southern Miss
92,Kenny Turnier,Ventura College (Miami, FL),SDE,6-4,265,3,0.8517,UCF
93,Sione Vea Kava,East Los Angeles College (Monterey Park, CA),DT,6-6,270,3,0.8514,Oregon
94,Jeremiah Jordan,Mt. San Jacinto College (Stone Mountain, GA),WDE,6-6,250,3,0.8506,Utah
95,Stephon Robinson,El Camino College (Torrance, CA),WR,5-10,165,3,0.8502,Kansas
96,Tra Minter,Garden City C.C.  (Ellaville, GA),RB,5-8.5,190,3,0.8500,uncommitted
97,Ramero Rock,Georgia Military College (Milledgeville, GA),WDE,6-1,235,3,0.8500,Charleston Southern
98,Tevita Musika,College of San Mateo (Milpitas, CA),DT,6-1,300,3,0.8500,Alabama
99,Je'Vari Anderson,Laney College (Concord, CA),S,6-0,220,3,0.8499,UCLA
100,Malik Dixon,Eastern Arizona College (Thatcher, AZ),S,6-3,215,3,0.8499,Rutgers
101,Charles Cameron,Copiah-Lincoln C.C. (Morton, MS),DT,6-2,290,3,0.8496,Florida Atlantic
102,Randon Haynes,Tyler J.C.  (Waxahachie, TX),OT,6-4,330,3,0.8495,uncommitted
103,Chauncey Manac,Garden City C.C.  (Homerville, GA),OLB,6-3,243,3,0.8489,Louisiana
104,Colt Doughty,College of San Mateo (San Mateo, CA),ILB,6-2,235,3,0.8481,California
105,Elijah Jones,Ellsworth C.C. (Iowa Falls, IA),CB,6-2,180,3,0.8481,Kansas
106,Lakiem Williams,Butte College (Spanaway, WA),OLB,6-2,240,3,0.8479,Syracuse
107,Val Martin,Iowa Western C.C. (Marietta, GA),DT,6-2,305,3,0.8475,N.C. State
108,Mike Williams,East Mississippi C.C. (Lake City, FL),WR,5-10,182,3,0.8474,Nebraska
109,Tariqious Tisdale,Northwest Mississippi C.C. (Lexington, TN),SDE,6-5,280,3,0.8467,Ole Miss
110,Rakeem Boyd,Independence C.C. (Houston, TX),RB,5-11,200,3,0.8467,Arkansas
111,Ahmad McCullough,Hutchinson C.C. (Baltimore, MD),OLB,6-3,210,3,0.8467,Maryland
112,Jonathan Lolohea,Copiah-Lincoln C.C. (Lahaina, HI),DT,6-3,310,3,0.8461,Washington State
113,Harry Ballard,Jones County J.C. (Florissant, MO),WR,6-2,180,3,0.8444,Missouri
114,Terin Adams,City College of San Francisco (Kirkland, WA),CB,6-0,190,3,0.8440,Arizona State
115,Amadou Fofana,Highland C.C. (Memphis, TN),SDE,6-5,270,3,0.8439,Oklahoma State
116,Keith Brigham,Pima C.C. (Normal, IL),SDE,6-3,270,3,0.8428,Memphis
117,Antonio Nelson,Coahoma C.C. (Montgomery, AL),CB,6-2,175,3,0.8428,uncommitted
118,Evander Craft,College of DuPage (Glen Ellyn, IL),OLB,6-3,215,3,0.8425,Toledo
119,Quen Head,Hutchinson C.C. (Forsyth, GA),OLB,6-2,215,3,0.8424,Louisville
120,Kishawn Miller,Georgia Military College (Milledgeville, GA),CB,5-10,170,3,0.8415,N.C. State
121,Steven Bailey,Glendale C.C. (Peoria, AZ),OG,6-3,290,3,0.8411,Arizona
122,Charlie Benton,Butler C.C. (Opelika, AL),S,6-4,215,3,0.8407,West Virginia
123,Darreyl Patterson,Northeastern Oklahoma A&M (Lawton, OK),CB,6-1,185,3,0.8405,Kansas State
124,Ricky Town,Ventura College (Ventura, CA),PRO,6-3,209,3,0.8401,Pittsburgh
125,Deon White,College of San Mateo (San Mateo, CA),S,6-3,210,3,0.8400,California
126,Lamar Dawson,Mt. San Antonio College (Walnut, CA),CB,6-0,204,3,0.8400,Utah State
127,Dominic Stampley,Coffeyville C.C. (Coffeyville, KS),WR,5-10,180,3,0.8400,Illinois
128,Jack Colletto,Arizona Western College (Camas, WA),DUAL,6-3,220,3,0.8400,Oregon State
129,Tyree Thompson,Los Angeles Valley College (Mission Hills, CA),ILB,6-3,235,3,0.8399,UCLA
130,Jeromy Reichner,Los Angeles Valley College (Van Nuys, CA),DT,6-2,285,3,0.8399,Oregon State
131,Jake Ross,Northeastern Oklahoma A&M (Miami, OK),TE,6-7,243,3,0.8398,Oklahoma State
132,Kendrick Catis,Highland C.C. (Highland, KS),ILB,6-1,228,3,0.8394,Washington State
133,Malik Besseck,ASA College (New York) (Brooklyn, NY),OT,6-5,280,3,0.8382,uncommitted
134,Sheriron Jones,Mt. San Jacinto College (Moreno Valley, CA),DUAL,6-2,208,3,0.8367,New Mexico
135,Joe Brown,Eastern Arizona College (Paramount, CA),OG,6-4,320,3,0.8367,West Virginia
136,Kevin Scott,Arizona Western College (Los Angeles, CA),DT,6-5,315,3,0.8367,Nevada
137,Brandon Aiyuk,Sierra College (Rocklin, CA),WR,6-1,195,3,0.8366,Arizona State
138,Mustafa Johnson,Modesto J.C. (Modesto, CA),DT,6-2,285,3,0.8365,Colorado
139,D'Antne Demery,Hutchinson C.C. (Brunswick, GA),OT,6-5.5,319,3,0.8356,FIU
140,Domonique Williams,Highland C.C. (Knoxville, TN),CB,5-10,190,3,0.8349,Kentucky
141,Keenan Forbes,Coffeyville C.C. (Hollywood, FL),OG,6-4,335,3,0.8345,Washington State
142,Isaiah Floyd,City College of San Francisco (Pleasanton, CA),RB,5-7,185,3,0.8340,Arizona State
143,Mike Brown,Eastern Arizona College (Paramount, CA),OG,6-4,310,3,0.8336,West Virginia
144,Jerrion Nelson,Iowa Western C.C. (Columbia, MO),DT,6-2,265,3,0.8333,uncommitted
145,David Viena-Falo,Riverside C.C. (San Diego, CA),DT,6-2,290,3,0.8333,uncommitted
146,JoJo Henderson,Snow College (Salt Lake City, UT),S,6-1,190,3,0.8333,uncommitted
147,Kendric Mallory,Ventura College (Dayton, OH),WR,6-2,205,3,0.8333,uncommitted
148,Brandon Artis,Blinn College (Port Arthur, TX),DT,6-5,300,3,0.8333,uncommitted
149,Jimmie Stoudemire,Riverside C.C. (Prattville, AL),WR,6-4,200,3,0.8333,Arkansas
150,Kevon Abrams,Butler C.C. (Pensacola, FL),RB,5-11,185,3,0.8333,uncommitted
151,Henry Yoboue,ASA College (New York) (Brooklyn, NY),OT,6-8,310,3,0.8333,Youngstown State
152,Mar'Quess Daniels,Arizona Western College (Yuma, AZ),WDE,6-3,245,3,0.8328,uncommitted
153,Emanuel Bridges,East Mississippi C.C. (Newnan, GA),OLB,6-2,215,3,0.8328,uncommitted
154,Steven Mason,Southwestern College (Encinitas, CA),SDE,6-8,250,3,0.8326,UCLA
155,Roy Yancey,Arizona Western College (Opelika, AL),OLB,6-2,215,3,0.8317,South Alabama
156,John Hightower,Hinds C.C. (Raymond, MS),WR,6-3,175,3,0.8317,Boise State
157,Johnathon Edwards,Northeast Mississippi C.C. (Philadelphia, MS),S,6-3,185,3,0.8317,Austin Peay
158,Korey Mariboho,Saddleback College (Mission Viejo, CA),OT,6-4,285,3,0.8300,San Jose State
159,Terry Williams,Itawamba C.C. (Fulton, MS),WR,5-8,175,3,0.8300,uncommitted
160,Jaylon Henderson,Trinity Valley C.C. (Humble, TX),DUAL,6-1,210,3,0.8300,Boise State
161,Blaze Alldredge,Moorpark College (Kissimmee, FL),ILB,6-2,210,3,0.8300,Rice
162,David Swaby,Navarro College (Los Angeles, CA),OT,6-9,315,3,0.8300,Oklahoma
163,Zach Burks,Coffeyville C.C. (Olathe, KS),DT,6-3,280,3,0.8299,Ohio
164,Nickolos Madourie,Dakota College at Bottineau (Fort Lauderdale, FL),SDE,6-6,230,3,0.8291,Temple
165,Elmore Hempstead,Fort Scott C.C. (Smackover, AR),CB,6-0,190,3,0.8286,Kansas
166,Tyquilo Moore,Butler County (KS) (El Dorado, KS),DT,6-4,295,3,0.8278,Kansas State
167,Tyrell Thompson,Trinity Valley C.C. (Athens, TX),DT,6-3,300,3,0.8267,uncommitted
168,Myron Mitchell,Butler C.C. (Jasper, AL),WR,6-0,170,3,0.8267,UAB
169,Neil McLaurin,Southwest Mississippi C.C. (Summit, MS),DUAL,6-3,200,3,0.8267,Southern Miss
170,Connor Taylor,Snow College (Kaysville, UT),ILB,6-1,228,3,0.8267,Louisiana Tech
171,B.J. Emmons,Hutchinson C.C. (Morganton, NC),RB,6-0,230,3,0.8267,Florida Atlantic
172,Markevion Quinn,Pearl River C.C. (Ruleville, MS),DUAL,6-3,195,3,0.8267,Memphis
173,Brett Bell,Hutchinson C.C. (Wichita, KS),TE,6-6,247,3,0.8256,UCF
174,D.J. Williams,Independence C.C. (Smyrna, TN),CB,5-9,185,3,0.8256,Utah State
175,Emari Demercado,Saddleback College (Mission Viejo, CA),RB,5-11,200,3,0.8256,TCU
176,Trey Baldwin,Trinity Valley C.C. (Houston, TX),OLB,6-2,235,3,0.8245,Louisiana Tech
177,Damion Dickens,Copiah-Lincoln C.C. (Lexington, MS),WDE,6-2,250,3,0.8244,Colorado State
178,Nick Walker,Cisco College (Saint Louis, MO),CB,5-10,185,3,0.8244,Illinois
179,Kevion McGee,Northeastern Oklahoma A&M (Miami, OK),S,5-10,185,3,0.8244,Kansas State
180,Jeremiah McCullough,Hartnell College (Salinas, CA),S,6-0,200,3,0.8244,Kansas
181,Jack Abraham,Northwest Mississippi C.C. (Oxford, MS),PRO,6-0,198,3,0.8237,Southern Miss
182,Foster Dixson,West Los Angeles College (Los Angeles, CA),SDE,6-5,250,3,0.8236,Kansas
183,Max Gilliam,Saddleback College (Thousand Oaks, CA),PRO,6-2,200,3,0.8231,UNLV
184,Jermaine Ledbetter,Coffeyville C.C. (Coffeyville, KS),OG,6-5,325,3,0.8228,Nevada
185,PJ Johnson,City College of San Francisco (Sacramento, CA),DT,6-5,315,3,0.8217,Arizona
186,Lorenzo Dantzler,East Mississippi C.C. (Starkville, MS),WDE,6-2,233,3,0.8217,UTSA
187,Cody Fletcher,Tyler J.C.  (Henrietta, TX),ILB,6-1,220,3,0.8217,Kansas State
188,Kary Kutsch,Butte College (Oroville, CA),OT,6-5,300,3,0.8217,Colorado
189,Melvin Johnson,Riverside C.C. (North Las Vegas, NV),DT,6-5,285,3,0.8210,Toledo
190,Calvin Jackson,Independence C.C. (Pompano Beach, FL),WR,5-9,160,3,0.8208,Washington State
191,Ben Sutton,Blinn College (League City, TX),CB,5-10,170,3,0.8206,Tulsa
192,Darwin Thompson,Northeastern Oklahoma A&M (Jenks, OK),APB,5-9,195,3,0.8206,Utah State
193,Desean Holmes,College of the Canyons (Pasadena, CA),WR,5-10,175,3,0.8200,Florida Atlantic
194,Malik Williams,Northland College (Thief River Falls, MN),WR,5-8,165,3,0.8200,uncommitted
195,Troy Burnett,Kilgore J.C. (Missouri City, TX),ILB,5-11,215,3,0.8200,uncommitted
196,Duane Tuitasi,Golden West College (Huntington Beach, CA),DT,6-1,295,3,0.8200,San Jose State
197,Justus Tavai,El Camino College (Torrance, CA),SDE,6-3,290,3,0.8200,Hawaii
198,Manase Time,Golden West College (Huntington Beach, CA),S,6-0,205,3,0.8200,Hawaii
199,Dallas Martin,Santa Barbara City College (Santa Barbara, CA),OLB,6-2,220,3,0.8200,Marshall
