height_inches,dash_seconds,bmi,position
76,4.93,37.73026316,OL
76,4.58,30.91447368,DE
76,5.2,36.39144737,OL
76.125,4.36,25.23271885,WR
76.125,4.72,26.68845263,DB
76.125,5.21,37.24252253,OL
76.125,5.4,40.03267895,DT
76.125,4.78,30.32778708,TE
76.125,5.19,36.87858909,OL
76.125,4.26,24.86878541,DB
76.125,5.03,30.69172052,LB
76.25,5.19,37.24142972,OL
76.25,5.12,34.2185864,DT
76.25,5.66,41.83615157,DT
76.25,4.94,36.75777479,OL
76.25,5.02,34.09767267,DT
76.375,4.7,31.09371292,DE
76.375,4.92,39.16843681,DT
76.5,4.83,29.4305609,TE
76.5,4.96,35.31667307,DT
76.625,4.36,29.45435094,DE
76.625,4.58,30.41221602,LB
76.625,5.25,38.43433599,OL
76.625,5.02,38.79353539,OL
76.625,5.22,37.59620405,OL
76.75,5.24,37.11581025,RB
76.75,4.95,36.63843648,LB
76.75,4.83,29.71651689,LB
76.875,5.03,36.51938396,OL
76.875,4.63,30.09577897,TE
76.875,4.72,30.09577897,DE
76.875,4.7,31.64220239,DE
76.875,4.77,29.73891202,TE
76.875,5.3,37.82789609,OL
76.875,5.44,39.01745257,OL
76.875,4.96,36.63833961,OL
77,5.06,38.06088716,OL
77,4.68,24.89964581,WR
77,5.32,36.63805026,OL
77,4.51,32.25096981,DE
77.125,5.3,37.93761312,DT
77.125,5.49,39.35584165,DT
77.125,5.14,37.34668456,OL
77.25,4.97,36.51909804,OL
77.25,5.01,33.22059886,DE
77.25,4.85,30.98233156,DE
77.25,4.67,26.85920759,DE
77.25,5.38,37.69713346,OL
77.375,5.31,37.81027819,OL
77.375,5.3,36.16635305,DT
77.5,5.12,35.81569199,OL
77.75,4.94,29.7710735,TE
77.75,5.33,38.14418792,OL
78,5.31,36.74457594,OL
78,4.79,29.00279421,TE
78.125,5.05,34.89939456,OL
78.125,5.27,36.2815488,OL
78.125,5.32,36.39672832,DT
78.125,4.88,32.59580416,DT
78.125,5.13,36.39672832,OL
78.25,5.1,35.3620431,OL
78.25,5.3,35.24723127,OL
78.375,4.92,36.05045672,OL
78.375,4.78,39.02604997,DT
78.5,4.62,28.74859021,WR
78.5,4.76,28.40634508,TE
78.5,5.31,38.78778044,OL
78.5,5.29,36.620228,OL
78.625,4.74,29.56700645,DE
78.75,4.88,32.87397329,OL
79.125,4.61,28.40850635,TE
79.125,4.89,33.79826249,OL
79.125,4.89,36.49314057,OL
79.625,4.83,28.0528478,TE
79.625,5.03,34.59481626,OL
79.75,4.85,28.40711078,TE
80,5.6,42.18,OL
80,5.28,35.04015625,OL
