"ranking","name","highSchool","position","height","weight","stars","rating","college"
1,"Rashan Gary","Paramus Catholic (Paramus, NJ)","DT","6-5","293",5,"1.0000","Michigan"
2,"Dexter Lawrence","Wake Forest (Wake Forest, NC)","DT","6-4","327",5,"0.9991","Clemson"
3,"Greg Little","Allen (Allen, TX)","OT","6-5.5","305",5,"0.9991","Ole Miss"
4,"Shea Patterson","IMG Academy (Bradenton, FL)","PRO","6-1.5","192",5,"0.9979","Ole Miss"
5,"Jacob Eason","Lake Stevens Sr (Lake Stevens, WA)","PRO","6-5.5","208",5,"0.9973","Georgia"
6,"Ed Oliver","Westfield (Houston, TX)","DT","6-2","277",5,"0.9968","Houston"
7,"Levonta Taylor","Ocean Lakes (Virginia Beach, VA)","CB","5-11","182",5,"0.9966","Florida State"
8,"Nick Bosa","St. Thomas Aquinas (Fort Lauderdale, FL)","SDE","6-4","265",5,"0.9965","Ohio State"
9,"Derrick Brown","Lanier (Buford, GA)","DT","6-3.75","317",5,"0.9963","Auburn"
10,"Ben Davis","Gordo Sch (Gordo, AL)","ILB","6-3","240",5,"0.9951","Alabama"
11,"Mique Juarez","North High School (Torrance, CA)","OLB","6-1.5","231",5,"0.9919","UCLA"
12,"Isaac Nauta","IMG Academy (Buford, GA)","TE","6-3.25","244",5,"0.9903","Georgia"
13,"Mecole Hardman Jr.","Elbert County (Elberton, GA)","ATH","5-10","169",5,"0.9902","Georgia"
14,"Demetris Robertson","Savannah Christian Prep (Savannah, GA)","WR","5-11.75","175",5,"0.9895","California"
15,"Mack Wilson","Carver  (Montgomery, AL)","OLB","6-2","220",5,"0.9879","Alabama"
16,"Oluwole Betiku","Junipero Serra (Gardena, CA)","WDE","6-3.5","240",5,"0.9875","USC"
17,"Jonah Williams","Folsom (Folsom, CA)","OT","6-5","296",5,"0.9873","Alabama"
18,"McTelvin Agim","Hope (Hope, AR)","SDE","6-2.5","268",5,"0.9868","Arkansas"
19,"Jeffery Simmons","Noxubee County (Macon, MS)","SDE","6-3.5","277",5,"0.9862","Mississippi State"
20,"Miles Sanders","Woodland Hills (Pittsburgh, PA)","RB","5-11","199",5,"0.9858","Penn State"
21,"Kristian Fulton","Archbishop Rummel (Metairie, LA)","CB","6-0","177",5,"0.9857","LSU"
22,"Jack Jones","Long Beach Poly (Long Beach, CA)","CB","5-11","164",5,"0.9856","USC"
23,"Rashard Lawrence","Neville (Monroe, LA)","DT","6-3","305",5,"0.9846","LSU"
24,"Benito Jones","Wayne County (Waynesboro, MS)","DT","6-2","285",5,"0.9842","Ole Miss"
25,"Caleb Kelly","Clovis West (Fresno, CA)","OLB","6-3.25","215",5,"0.9836","Oklahoma"
26,"Antonneous Clayton","Dooly County (Vienna, GA)","WDE","6-3","218",4,"0.9821","Florida"
27,"Tommy Kraemer","Elder (Cincinnati, OH)","OT","6-5.5","309",4,"0.9819","Notre Dame"
28,"Michal Menet","Exeter Township (Reading, PA)","OG","6-5","283",4,"0.9808","Penn State"
29,"Tavien Feaster","Spartanburg (Spartanburg, SC)","APB","5-11","196",4,"0.9807","Clemson"
30,"Marlon Davidson","Greenville (Montgomery, AL)","SDE","6-4","260",4,"0.9807","Auburn"
31,"Landon Dickerson","South Caldwell (Hudson, NC)","OT","6-5","300",4,"0.9803","Florida State"
32,"Jonathon Cooper","Gahanna Lincoln (Columbus, OH)","WDE","6-2.25","234",4,"0.9801","Ohio State"
33,"Tyrie Cleveland","Westfield (Houston, TX)","WR","6-2.5","189",4,"0.9801","Florida"
34,"Tyler Vaughns","Bishop Amat (La Puente, CA)","WR","6-1.5","177",4,"0.9800","USC"
35,"B.J. Emmons","Freedom (Morganton, NC)","RB","5-10","232",4,"0.9799","Alabama"
36,"Devin Duvernay","Sachse (Sachse, TX)","WR","5-11","195",4,"0.9796","Texas"
37,"Kaden Smith","Marcus (Flower Mound, TX)","TE","6-5.5","235",4,"0.9794","Stanford"
38,"A.J. Brown","Starkville (Starkville, MS)","WR","6-1","220",4,"0.9792","Ole Miss"
39,"Ben Bredeson","Arrowhead (Hartland, WI)","OT","6-5","307",4,"0.9790","Michigan"
40,"Brandon Jones","Nacogdoches (Nacogdoches, TX)","S","5-11.5","193",4,"0.9786","Texas"
41,"Shane Simmons","DeMatha Catholic (Hyattsville, MD)","WDE","6-4","221",4,"0.9781","Penn State"
42,"Baveon Johnson","Lake Gibson (Lakeland, FL)","OC","6-3","310",4,"0.9769","Florida State"
43,"Demario McCall","North Ridgeville (North Ridgeville, OH)","APB","5-9.5","171",4,"0.9761","Ohio State"
44,"Nate Craig-Myers","Tampa Catholic (Tampa, FL)","WR","6-2","205",4,"0.9761","Auburn"
45,"Chauncey Gardner","Cocoa (Cocoa, FL)","CB","6-0","194",4,"0.9760","Florida"
46,"KJ Costello","Santa Margarita Catholic (Rancho Santa Margarita, CA)","PRO","6-4","213",4,"0.9746","Stanford"
47,"Malik Henry","Long Beach Poly (Long Beach, CA)","PRO","6-3","185",4,"0.9744","Florida State"
48,"Saivion Smith","IMG Academy (Bradenton, FL)","CB","6-1","175",4,"0.9744","LSU"
49,"Antwuan Jackson Jr.","Cedar Grove (Ellenwood, GA)","DT","6-2.25","305",4,"0.9736","Auburn"
50,"Patrick Hudson","Silsbee (Silsbee, TX)","OG","6-5.5","325",4,"0.9735","Texas"
51,"Brian Burns","American Heritage (Fort Lauderdale, FL)","WDE","6-4.5","209",4,"0.9734","Florida State"
52,"Deontay Anderson","Manvel (Manvel, TX)","S","6-1","192",4,"0.9732","Ole Miss"
53,"N'Keal Harry","Chandler (Chandler, AZ)","WR","6-4","210",4,"0.9732","Arizona State"
54,"Feleipe Franks","Wakulla (Crawfordville, FL)","PRO","6-5.5","210",4,"0.9721","Florida"
55,"Eric Monroe","North Shore (Houston, TX)","S","6-0","180",4,"0.9715","LSU"
56,"Justin Madubuike","McKinney North (Mckinney, TX)","SDE","6-2.5","250",4,"0.9714","Texas A&M"
57,"Tre Lamar","Roswell (Roswell, GA)","ILB","6-4","240",4,"0.9698","Clemson"
58,"Nigel Warrior","Peachtree Ridge (Suwanee, GA)","S","6-0","186",4,"0.9690","Tennessee"
59,"Jeffrey McCulloch","Aldine Davis (Houston, TX)","OLB","6-2.5","230",4,"0.9678","Texas"
60,"Trayvon Mullen","Coconut Creek (Pompano Beach, FL)","CB","6-1","168",4,"0.9676","Clemson"
61,"Brandon Peters","Avon (Avon, IN)","PRO","6-4.5","209",4,"0.9674","Michigan"
62,"Nigel Knott","Germantown (Madison, MS)","CB","5-11","175",4,"0.9669","Alabama"
63,"Michael Divinity","John Ehret (Marrero, LA)","OLB","6-2","218",4,"0.9667","LSU"
64,"Terrell Hall","St. John's College HS (Washington, DC)","WDE","6-5","250",4,"0.9663","Alabama"
65,"David Long","Loyola (Los Angeles, CA)","CB","6-0","175",4,"0.9658","Michigan"
66,"Edwin Alexander","St. Thomas Aquinas (Hammond, LA)","DT","6-2","310",4,"0.9653","LSU"
67,"Shavar Manuel","IMG Academy (Bradenton, FL)","DT","6-4","290",4,"0.9651","Florida State"
68,"Julian Rochester","McEachern (Powder Springs, GA)","DT","6-5","321",4,"0.9648","Georgia"
69,"Michael Pittman Jr.","Oaks Christian (Thousand Oaks, CA)","WR","6-4","209",4,"0.9645","USC"
70,"Curtis Robinson","Mater Dei (Santa Ana, CA)","OLB","6-2.75","210",4,"0.9644","Stanford"
71,"Shyheim Carter","Kentwood (Kentwood, LA)","CB","6-0","190",4,"0.9644","Alabama"
72,"Kyle Davis","Archer (Lawrenceville, GA)","WR","6-1.5","218",4,"0.9632","Auburn"
73,"Terrance Davis","DeMatha Catholic (Hyattsville, MD)","OG","6-4","305",4,"0.9628","Maryland"
74,"Erick Fowler","Manor (Manor, TX)","OLB","6-1","226",4,"0.9627","Texas"
75,"Devin Asiasi","De La Salle (Concord, CA)","TE","6-3","270",4,"0.9626","Michigan"
76,"Austin Mack","Bishop Luers (Fort Wayne, IN)","WR","6-2","205",4,"0.9614","Ohio State"
77,"Jarrett Guarantano","Bergen Catholic (Oradell, NJ)","DUAL","6-4","201",4,"0.9612","Tennessee"
78,"Shaq Smith","IMG Academy (Bradenton, FL)","ILB","6-3","239",4,"0.9610","Clemson"
79,"Landon Young","Lafayette (Lexington, KY)","OT","6-7","270",4,"0.9609","Kentucky"
80,"Liam Eichenberg","St. Ignatius (Cleveland, OH)","OT","6-6","290",4,"0.9603","Notre Dame"
81,"Lamar Jackson","Franklin (Elk Grove, CA)","S","6-3","205",4,"0.9582","Nebraska"
82,"Sam Bruce","St. Thomas Aquinas (Fort Lauderdale, FL)","WR","5-8","180",4,"0.9571","Miami"
83,"Darvis Holmes","Long County (Lincolnton, GA)","OT","6-6","325",4,"0.9566","Missouri"
84,"Raekwon Davis","Meridian (Meridian, MS)","DT","6-6.5","327",4,"0.9562","Alabama"
85,"E.J. Price","Archer (Lawrenceville, GA)","OT","6-6","311",4,"0.9560","USC"
86,"Janarius Robinson","Bay (Panama City, FL)","WDE","6-4.75","236",4,"0.9554","Florida State"
87,"Tyler Byrd","Naples (Naples, FL)","CB","5-11.5","194",4,"0.9552","Tennessee"
88,"Dwayne Haskins","The Bullis School (Potomac, MD)","PRO","6-3","198",4,"0.9550","Ohio State"
89,"Michael Onwenu","Cass Technical (Detroit, MI)","OG","6-3","360",4,"0.9549","Michigan"
