"ranking","name","highSchool","position","height","weight","stars","rating","college"
1,"Kerry Murphy","Hargrave Military Academy (Hoover, AL)","DT","6-5","325",4,"0.9127","Alabama"
2,"Enrique Davis","Hargrave Military Academy (Lynn Haven, FL)","RB","5-11","220",4,"0.9097","Ole Miss"
3,"Ken Plue","Milford Academy (New Berlin, NY)","OT","6-8","340",4,"0.9023","Purdue"
4,"Zach Brown","Hargrave Military Academy (Chatham, VA)","OLB","6-1","210",4,"0.9012","North Carolina"
5,"Eric Baker","Fork Union Military Academy (Fork Union, VA)","RB","5-11","190",4,"0.8970","South Carolina"
6,"Quillie Odom","Hargrave Military Academy (Chatham, VA)","OLB","6-2","220",4,"0.8919","Virginia Tech"
7,"Keith Stroud","Fork Union Military Academy (Fork Union, VA)","WR","6-4","205",3,"0.8875","Rutgers"
8,"Sam Jones","Hargrave Military Academy (Chatham, VA)","OT","6-6","275",3,"0.8866","N.C. State"
9,"Vincent Hill","Milford Academy (New Berlin, NY)","WR","6-0","190",3,"0.8854","Minnesota"
10,"Akeem Auguste","Fork Union Military Academy (Fork Union, VA)","S","5-10","191",3,"0.8813","South Carolina"
11,"Andrew Harris","Hargrave Military Academy (Chatham, VA)","WR","6-4","195",3,"0.8778","Ole Miss"
12,"Leon Mackey","Hargrave Military Academy (Chatham, VA)","SDE","444-2","2",3,"0.8748","Virginia Tech"
13,"Josh Pleasant","Hargrave Military Academy (Chatham, VA)","CB","5-10","185",3,"0.8667","Kent State"
14,"Mikhail Marinovich","Milford Academy (New Berlin, NY)","WDE","6-6","210",3,"0.8667","Syracuse"
15,"J.T. Dixon","Hargrave Military Academy (Chatham, VA)","TE","6-4","220",3,"0.8556","Wake Forest"
16,"Muhammad Wilkerson","Hargrave Military Academy (Chatham, VA)","OG","6-5","255",3,"0.8556","Temple"
17,"Kendrick Pressley","Hargrave Military Academy (Chatham, VA)","ATH","5-10","175",3,"0.8556","Virginia Tech"
18,"Kyle Linney","Hargrave Military Academy (Chatham, VA)","DT","6-3","300",3,"0.8528","N.C. State"
19,"Tim Lamb","Hargrave Military Academy (Chatham, VA)","DT","6-0","315",3,"0.8461","Troy"
20,"D.J. Thomas","Hargrave Military Academy (Chatham, VA)","CB","5-9","175",3,"0.8444","West Virginia"
21,"Donte Savage","Fork Union Military Academy (Fork Union, VA)","SDE","6-3","255",3,"0.8333","New Mexico State"
22,"Eric Morrison","Fork Union Military Academy (Fork Union, VA)","CB","5-10","195",3,"0.8333","Eastern Michigan"
23,"Kyle Kozak","Hargrave Military Academy (Chatham, VA)","SDE","6-5","238",3,"0.8303","Indiana"
24,"Cannon Smith","Hargrave Military Academy (Chatham, VA)","PRO","5-11","200",3,"0.8264","Miami"
25,"Julian Whitehead","Hargrave Military Academy (Chatham, VA)","CB","5-10","180",3,"0.8222","Ole Miss"
26,"Dayon Arrington","Hargrave Military Academy (Chatham, VA)","WR","6-3","200",3,"0.8169","East Carolina"
27,"John Morookian","Milford Academy (New Berlin, NY)","OT","6-6","323",3,"0.8111","Toledo"
28,"Jared Mitchell","Hargrave Military Academy (Chatham, VA)","S","6-3","175",3,"0.8111","Ole Miss"
29,"Rudy Wilson","Hargrave Military Academy (Chatham, VA)","S","6-0","200",3,"0.8000","Ole Miss"
30,"Josh Richmond","Milford Academy (New Berlin, NY)","CB","6-0","181",3,"0.8000","Akron"
31,"Thomas Batchelder","Hargrave Military Academy (Chatham, VA)","ILB","6-2","240",2,"0.7889","Navy"
32,"A.J. Blue","Hargrave Military Academy (Chatham, VA)","DUAL","6-3","208",2,"0.7669","North Carolina"
33,"Anthony Rapley","Fork Union Military Academy (Fork Union, VA)","WR","6-3","210",2,"0.7556","Temple"
34,"Ronnie Lillard","Air Force Prep (U S A F Academy, CO)","OLB","6-3","215",2,"0.7444","Rice"
35,"Steve Brown","Fork Union Military Academy (Fork Union, VA)","OLB","6-0","210",2,"0.7333","Eastern Michigan"
36,"Austin Pasztor","Fork Union Military Academy (Fork Union, VA)","OG","6-7","315",2,"0.7000","Virginia"
