"ranking","name","highSchool","position","height","weight","stars","rating","college"
1,"Trey Metoyer","Hargrave Military Academy (Whitehouse, TX)","WR","6-2","200",5,"0.9860","Oklahoma"
2,"Kelcy Quarles","Fork Union Military Academy (Fork Union, VA)","DT","6-4","280",4,"0.9400","South Carolina"
3,"Corey Crawford","Hargrave Military Academy (Columbus, GA)","SDE","6-5","275",4,"0.9400","Clemson"
4,"Marquel Wade","Milford Academy (New Berlin, NY)","WR","5-11","180",4,"0.9000","Arkansas"
5,"Justin Taylor","Fork Union Military Academy (Fork Union, VA)","WDE","6-3","225",4,"0.9000","uncommitted"
6,"Martavis Bryant","Hargrave Military Academy (Anderson, SC)","WR","6-5","200",4,"0.9000","Clemson"
7,"Terrell Hartsfield","Hargrave Military Academy (Wesson, MS)","OLB","6-4","210",4,"0.8900","Texas Tech"
8,"Brandon Golson","Fork Union Military Academy (Fork Union, VA)","OLB","6-2","215",4,"0.8900","Louisville"
9,"Brison Williams","Fork Union Military Academy (Fork Union, VA)","CB","6-0","180",3,"0.8700","South Carolina"
10,"Eddie Johnson","Hargrave Military Academy (Chatham, VA)","WR","6-3","200",3,"0.8700","uncommitted"
11,"Tejay Johnson","Fork Union Military Academy (Fork Union, VA)","WR","6-2","190",3,"0.8570","Rutgers"
12,"Olsen Pierre","Fork Union Military Academy (Rahway, NJ)","SDE","6-3","260",3,"0.8556","Miami"
13,"Alonzo Russell","Milford Academy (New Berlin, NY)","WR","6-4","190",3,"0.8504","Toledo"
14,"Tyrek Cheeseboro","Fork Union Military Academy (Fork Union, VA)","WR","6-2","185",3,"0.8500","Maryland"
15,"Antonio Kinard","Hargrave Military Academy (Chatham, VA)","OLB","6-4","215",3,"0.8489","Miami"
16,"Kenneth Kirksey","Fork Union Military Academy (Fork Union, VA)","DT","6-1","290",3,"0.8470","Rutgers"
17,"Rodman Noel","Milford Academy (New Berlin, NY)","OLB","6-3","200",3,"0.8456","N.C. State"
18,"Jeremy Davis","Milford Academy (New Berlin, NY)","CB","6-0","188",3,"0.8437","UCF"
19,"Dyshawn Davis","Milford Academy (New Berlin, NY)","ATH","6-1","200",3,"0.8437","Syracuse"
20,"Kyrrel Latimer","Fork Union Military Academy (Fork Union, VA)","S","5-10","200",3,"0.8330","Virginia"
21,"Larry Mazyck","Fork Union Military Academy (Fork Union, VA)","OT","6-7","320",3,"0.8307","New Mexico"
22,"Antonio Belt","Fork Union Military Academy (Fork Union, VA)","WR","6-0","180",3,"0.8230","Temple"
23,"Derrick Milton","Hargrave Military Academy (Chatham, VA)","RB","5-11","200",3,"0.8200","Mississippi State"
24,"Kenton Adeyemi","Fork Union Military Academy (Fork Union, VA)","SDE","6-5","255",3,"0.8167","Connecticut"
25,"Nate Clarke","Fork Union Military Academy (Fork Union, VA)","OT","6-4","310",3,"0.8119","Maryland"
26,"Derrick Campbell","Milford Academy (New Berlin, NY)","OG","6-4","300",3,"0.8000","uncommitted"
27,"Jeremiah Kobena","Milford Academy (New Berlin, NY)","WR","6-0","185",2,"0.7907","Syracuse"
28,"Josh Campion","Fork Union Military Academy (Fergus Falls, MN)","OG","6-5","310",2,"0.7907","Minnesota"
29,"Hershey Walton","Fork Union Military Academy (Fork Union, VA)","DT","6-4","320",2,"0.7778","Temple"
30,"Nate Smith","Fork Union Military Academy (Fork Union, VA)","ILB","6-0","225",2,"0.7659","Temple"
31,"Christian Piazza","Fork Union Military Academy (Fork Union, VA)","OT","6-7","275",2,"0.7600","Bowling Green"
32,"Taylor Fallin","Hargrave Military Academy (Chatham, VA)","OT","6-6","320",2,"0.7593","Memphis"
33,"Jamaal Jackson","Hargrave Military Academy (Chatham, VA)","RB","5-9","190",2,"0.7500","uncommitted"
34,"Desmond Coble","Fork Union Military Academy (Fork Union, VA)","WR","5-10","175",2,"0.7400","uncommitted"
35,"Marcus McDade","Hargrave Military Academy (Chatham, VA)","DUAL","6-3","200",2,"0.7000","Fresno State"
36,"Patrick Clarke","Hargrave Military Academy (Chatham, VA)","K","6-3","190",2,"0.7000","Buffalo"
37,"Andre Parker","Fork Union Military Academy (Fork Union, VA)","OLB","6-1","215",2,"0.7000","Kent State"
