"ranking","name","highSchool","position","height","weight","stars","rating","college"
1,"Trey Metoyer","Hargrave Military Academy (Whitehouse, TX)","WR","6-2","200",5,"0.9860","Oklahoma"
2,"Gerod Holliman","Milford Academy (Miami, FL)","S","6-0","187",4,"0.9134","Louisville"
3,"Jerell Adams","Fork Union Military Academy (Summerton, SC)","TE","6-4","225",4,"0.9067","South Carolina"
4,"Robert Lockhart","Fork Union Military Academy (Boca Raton, FL)","WR","6-2","180",3,"0.8778","Miami"
5,"Kent Turene","Atlanta Sports Academy (Fort Lauderdale, FL)","ILB","6-3","230",3,"0.8772","Marshall"
6,"Cardale Jones","Fork Union Military Academy (Cleveland, OH)","PRO","6-5","220",3,"0.8704","Ohio State"
7,"Jamar Lewter","Fork Union Military Academy (Fork Union, VA)","OT","6-8","288",3,"0.8700","uncommitted"
8,"Michael Thomas","Fork Union Military Academy (Woodland Hills, CA)","WR","6-4","200",3,"0.8700","Ohio State"
9,"Isaiah Battle","Fork Union Military Academy (Fork Union, VA)","OT","6-7","260",3,"0.8650","Clemson"
10,"Montrell Dobbs","Milford Academy (New Berlin, NY)","RB","5-9","185",3,"0.8600","uncommitted"
11,"Desimon Green","Hargrave Military Academy (Clairton, PA)","OLB","6-5","220",3,"0.8595","uncommitted"
12,"Ashton Broyld","Milford Academy (New Berlin, NY)","ATH","6-3","235",3,"0.8545","Syracuse"
13,"Charles Davis","Fork Union Military Academy (Neptune, NJ)","CB","6-0","190",3,"0.8519","uncommitted"
14,"Taylor Gadbois","Fork Union Military Academy (Dallas, GA)","OT","6-8","290",3,"0.8504","Miami"
15,"Adrian Gamble","Fork Union Military Academy (Charlotte, NC)","WR","6-2","190",3,"0.8464","Virginia"
16,"Kevin Dodd","Hargrave Military Academy (Greer, SC)","DT","6-5","280",3,"0.8445","Clemson"
17,"Carlos Carvajal","Milford Academy (New Berlin, NY)","ATH","6-6","210",3,"0.8445","Purdue"
18,"Quincy McKinney","Fork Union Military Academy (Columbus, GA)","OG","6-4","300",3,"0.8397","N.C. State"
19,"Chris Hall","Fork Union Military Academy (Fork Union, VA)","TE","6-4","230",3,"0.8200","Marshall"
20,"Justin Senior","Hargrave Military Academy (Chatham, VA)","OT","6-6","305",3,"0.8130","Mississippi State"
21,"Darryl Waters","Hargrave Military Academy (Norfolk, VA)","SDE","6-4","220",3,"0.8111","Lamar"
22,"Tyree Smallwood","Milford Academy (New Berlin, NY)","RB","5-10","165",3,"0.8100","Bethune-Cookman"
23,"Levern Jacobs","Milford Academy (District Heights, MD)","WR","6-0","165",3,"0.8089","Maryland"
24,"Myles Davis","Hargrave Military Academy (Pittsburgh, PA)","FB","6-2","232",3,"0.8073","Syracuse"
25,"Christian Russell","Hargrave Military Academy (Fayetteville, NC)","ILB","6-0","240",3,"0.8000","uncommitted"
26,"Jordan Montgomery","Fork Union Military Academy (Groveland, FL)","OLB","6-0","217",3,"0.8000","uncommitted"
27,"Joe Williams","Fork Union Military Academy (Fork Union, VA)","RB","5-11","180",2,"0.7967","Connecticut"
28,"Raysean Richardson","Fork Union Military Academy (Chesapeake, VA)","OLB","6-0","210",2,"0.7895","uncommitted"
29,"Ryan Doull","Fork Union Military Academy (Fork Union, VA)","OG","6-3.5","305",2,"0.7852","Virginia"
30,"Corey Tindal","Atlanta Sports Academy (Fort Lauderdale, FL)","CB","5-10","175",2,"0.7700","Marshall"
31,"Jevonte Pitts","Milford Academy (Pittsburgh, PA)","S","5-11","180",2,"0.7685","uncommitted"
32,"Rakim Reed","Fork Union Military Academy (Canton, OH)","TE","6-4","215",2,"0.7600","Marshall"
33,"Chris Sherwin","Milford Academy (New Berlin, NY)","WDE","6-3","250",2,"0.7600","uncommitted"
34,"Osazuwamen Igbinosun","Fork Union Military Academy (Rahway, NJ)","WDE","6-2","245",2,"0.7500","Ball State"
35,"Scott Davis","Fork Union Military Academy (Fork Union, VA)","TE","6-5","240",2,"0.7484","Bowling Green"
36,"Tyler Matakevich","Milford Academy (New Berlin, NY)","OLB","6-1","213",2,"0.7384","Temple"
37,"Rodney Carroll","Hargrave Military Academy (Orange, VA)","OG","6-5","290",2,"0.7334","uncommitted"
38,"Curtis Williams","Milford Academy (Hialeah, FL)","OG","6-4","330",2,"0.7300","uncommitted"
39,"Markeith Minnick","Hargrave Military Academy (Chatham, VA)","OG","6-3","300",2,"0.7200","Memphis"
40,"Daryl Waters","Hargrave Military Academy (Chatham, VA)","OLB","6-4","215",2,"0.7200","uncommitted"
41,"De'Andre Scott","Hargrave Military Academy (Chatham, VA)","WR","5-11","190",2,"0.7100","uncommitted"
42,"James Whitfield","Hargrave Military Academy (Chatham, VA)","WR","5-10","180",2,"0.7000","Temple"
