ranking,name,highSchool,position,height,weight,stars,rating,college
975,Hassan Haskins,Eureka Sr. (Eureka, MO),RB,6-1,210,3,0.8539,Michigan
976,Maxwell Worship,Cardinal Gibbons (Fort Lauderdale, FL),S,6-1,198,3,0.8538,Vanderbilt
977,Maurice Robinson,Murphy (Mobile, AL),ATH,6-1,180,3,0.8538,Grambling State
978,Jacob Jefferson,St Pius X (Houston, TX),WR,5-10.5,170,3,0.8534,Northwestern
979,Sebastian Sainterling,Chaminade-Madonna Prep (Hollywood, FL),OG,6-2,356,3,0.8534,USF
980,Akeem Hayes,Chaminade-Madonna Prep (Hollywood, FL),ATH,5-10,175,3,0.8534,Kentucky
981,Eli Adams,South Pointe (Rock Hill, SC),WDE,5-11,230,3,0.8534,Virginia Tech
982,Thomas Marcus,Horizon (San Diego, CA),WR,6-4,185,3,0.8533,Arizona
983,Derius Davis,West Feliciana (Saint Francisville, LA),CB,5-9,160,3,0.8532,TCU
984,Lance Robinson,De La Salle (New Orleans, LA),S,5-10,181,3,0.8532,Kansas State
985,Wayne Jones,Owasso (Owasso, OK),S,6-0,193,3,0.8532,Kansas State
986,Frank Fillip,Clear Lake (Houston, TX),OT,6-7,280,3,0.8532,Colorado
987,Travis Dye,Norco (Norco, CA),RB,5-9,170,3,0.8532,Oregon
988,Randy Fields,St. Frances Academy (Elkton, MD),WR,6-3,185,3,0.8532,West Virginia
989,Roger McCreary,Williamson (Mobile, AL),CB,5-11,178,3,0.8532,Auburn
990,Kaymar Mimes,Long Branch (Long Branch, NJ),WDE,6-5,225,3,0.8532,Pittsburgh
991,Erick Hallett,Cy-Fair (Cypress, TX),CB,5-11,175,3,0.8531,Pittsburgh
992,Sterling Galban,Burnet (Burnet, TX),WR,5-10,180,3,0.8531,Texas Tech
993,Fa'Najae Gotay,North Fort Myers (North Fort Myers, FL),OLB,6-0,205,3,0.8530,Maryland
994,Donjae Logan,Desert Ridge (Mesa, AZ),CB,5-11,170,3,0.8530,Stanford
995,Trent Pennix,Sanderson (Raleigh, NC),RB,6-2,200,3,0.8530,N.C. State
996,Zach Williams,Johns Creek (Alpharetta, GA),WR,6-3,205,3,0.8530,Arizona
997,Javon Terry,Wake Forest (Wake Forest, NC),S,6-2,185,3,0.8530,North Carolina
998,Jerquavion Mahone,Manchester (Manchester, GA),DT,6-3,299,3,0.8530,Kentucky
999,Trenton Charles,Scotlandville Magnet (Baton Rouge, LA),RB,5-9,165,3,0.8527,Yale
1000,Nasir Peoples,Archbishop Wood (Warminster, PA),S,6-0,185,3,0.8527,Virginia Tech
NA,Isaiah Smalls,Dorsey (Los Angeles, CA),TE,6-4,220,3,0.8527,Oregon State
NA,Millard Bradford,O'Connor (Helotes, TX),S,5-10,180,3,0.8527,uncommitted
NA,Dallin Holker,Lehi (Lehi, UT),TE,6-5,222,3,0.8527,Brigham Young
NA,Marcus Caldwell,Parkland (Winston Salem, NC),RB,6-1,180,3,0.8527,uncommitted
NA,Kevin Brennan,Don Bosco Prep (Westfield, NJ),S,5-11,200,3,0.8527,Navy
NA,Jaquan Beaver,Booker T. Washington (Miami, FL),OLB,6-0,196,3,0.8527,uncommitted
NA,Sean Ryan,Erasmus Hall (Brooklyn, NY),WR,6-3,185,3,0.8527,Temple
NA,Hunter Anthony,Tuttle (Tuttle, OK),OT,6-7,320,3,0.8527,Oklahoma State
NA,Raiqwon O'Neal,Conway (Conway, SC),OT,6-5,270,3,0.8527,Rutgers
NA,Ugo Obasi,Milford Mill Academy (Gwynn Oak, MD),WR,6-1,170,3,0.8527,Virginia
NA,Khmari Thompson,Central Gwinnett (Lawrenceville, GA),WR,6-2,190,3,0.8527,Missouri
NA,Casey Rogers,Old Farms (Avon, CT),SDE,6-5,250,3,0.8526,Nebraska
NA,Kahric Belle,North Miami Beach Senior (Miami, FL),OT,6-6,292,3,0.8526,N.C. State
NA,Hugh Davis,Cathedral (Indianapolis, IN),OLB,6-1,215,3,0.8526,Boston College
NA,Devonte Gordon,Maret School (Washington, DC),OT,6-5,280,3,0.8526,Wake Forest
NA,Chase Wolf,St. Xavier (Cincinnati, OH),PRO,6-2,195,3,0.8526,Wisconsin
NA,EJ Turner,Cartersville (Cartersville, GA),WR,6-0,179,3,0.8526,Kansas State
NA,Willie Canty,Glades Central (Belle Glade, FL),OT,6-6,290,3,0.8526,Nebraska
NA,Terrell Perriman,Miami Central (Miami, FL),WR,5-10,176,3,0.8521,Utah
NA,Jorien Vallien,Alexandria (Alexandria, LA),WR,6-4,178,3,0.8520,Tulane
NA,Octavious Battle,Carver (Atlanta, GA),DUAL,6-3,180,3,0.8519,USF
NA,Brennan Jackson,Great Oak (Temecula, CA),WDE,6-4,238,3,0.8519,Washington State
NA,Mayan Ahanotu,Berkeley Prep (Tampa, FL),SDE,6-3,246,3,0.8519,Minnesota
NA,Jake Dukart,Lake Oswego Senior (Lake Oswego, OR),PRO,6-2,180,3,0.8519,Oregon State
NA,Connor Pay,Lone Peak (American Fork, UT),OT,6-5,270,3,0.8519,Brigham Young
NA,Charles McClelland,Clinch County (Homerville, GA),ATH,5-10.5,180,3,0.8519,Cincinnati
NA,Hassan Hall,Maynard Jackson  (Atlanta, GA),RB,5-11,190,3,0.8519,Louisville
NA,Donovan Laie,Oceanside (Oceanside, CA),OT,6-6,275,3,0.8518,Arizona
NA,Scale Igiehon,Del Valle (Del Valle, TX),DT,6-2,327,3,0.8518,Boise State
NA,Jermaine McMillian,Booker T. Washington (Miami, FL),S,6-2,185,3,0.8518,UCF
NA,Evan Stewart,St. Joseph Regional  (Montvale, NJ),S,6-1,205,3,0.8518,Boston College
NA,Jett Johnson,Tupelo (Tupelo, MS),ILB,6-3.5,215,3,0.8518,Mississippi State
NA,Nick Williams,Ritenour (Saint Louis, MO),OT,6-7,267,3,0.8518,Kansas
NA,Amir Abdur-Rahman,Mays (Atlanta, GA),WR,6-4,200,3,0.8518,Vanderbilt
NA,Tyric LeBeauf,Long Beach Poly (Long Beach, CA),CB,6-2,178,3,0.8516,Boise State
NA,Dan Land III,Westover (Albany, GA),CB,6-1,185,3,0.8516,uncommitted
NA,Re-al Mitchell,St. John Bosco (Bellflower, CA),DUAL,6-0,190,3,0.8514,Iowa State
NA,Malachi Carter,Mountain View (Lawrenceville, GA),WR,6-2,180,3,0.8514,Georgia Tech
NA,Joe Kane,Heritage (Wake Forest, NC),DT,6-3,280,3,0.8514,Virginia Tech
NA,Tyler Bentley,Lakota West (West Chester, OH),DT,6-3,295,3,0.8514,Pittsburgh
NA,Christian Duffie,Summer Creek (Humble, TX),OG,6-5,300,3,0.8513,Kansas State
NA,Kievan Myers,Bishop Dunne (Dallas, TX),OG,6-5,330,3,0.8513,Illinois
NA,Myjai Sanders,Raines (Jacksonville, FL),WDE,6-4,223,3,0.8513,Cincinnati
NA,Nick Marozas,Brother Rice (Oak Lawn, IL),OT,6-5,270,3,0.8513,Indiana
NA,Trad Beatty,Ben Lippen School (Columbia, SC),DUAL,6-5,220,3,0.8513,Temple
NA,Kirby Bennett,Lone Star (Frisco, TX),RB,5-10,212,3,0.8512,uncommitted
NA,Henry Geil,Preble (Green Bay, WI),RB,6-1,203,3,0.8511,Iowa
NA,Braelen Oliver,Douglas County (Douglasville, GA),OLB,6-1,218,3,0.8511,Minnesota
NA,Kaitori Leveston,Midway (Waco, TX),OT,6-5,290,3,0.8510,Kansas State
NA,Ja'Qurius Smith,Lakeland (Lakeland, FL),OLB,6-3,215,3,0.8510,Purdue
NA,Darius Rush,C E Murray Hi (Greeleyville, SC),WR,6-2,172,3,0.8506,South Carolina
NA,Tyrus Wheat,Amite (Amite, LA),OLB,6-2,217,3,0.8506,uncommitted
NA,Mosiah Nasili-Liu,Emerald Ridge (Puyallup, WA),WDE,6-2,281,3,0.8506,Washington
NA,Spencer Anderson,Bishop McNamara (District Heights, MD),OT,6-5,270,3,0.8506,Maryland
NA,Jacolby Hewitt,Cordova (Cordova, TN),WR,6-2,190,3,0.8506,Indiana
NA,Justin Birdsong,Stephenson (Stone Mountain, GA),CB,5-11,175,3,0.8506,Georgia Southern
NA,Mike Ruth,Coppell (Coppell, TX),OT,6-7,300,3,0.8505,Missouri
NA,Jack York,First Baptist Academy (Dallas, TX),OT,6-5,300,3,0.8505,Minnesota
NA,Daeshon Martin,Archbishop Hoban (Akron, OH),SDE,6-3,240,3,0.8505,Cincinnati
NA,James Gmiter,Bethel Park (Bethel Park, PA),DT,6-3,310,3,0.8505,West Virginia
NA,Gavin McCabe,Marist (Chicago, IL),SDE,6-3,250,3,0.8505,Indiana
NA,Aaron Casey,Alexander (Douglasville, GA),OLB,6-2,215,3,0.8505,Indiana
NA,Hamilton Hall,Chamblee Charter (Atlanta, GA),OT,6-5,315,3,0.8505,Ole Miss
NA,Vincent Davis,Robert E. Lee (Jacksonville, FL),CB,5-11,165,3,0.8502,USF
NA,Esteban Avila,South Grand Prairie (Grand Prairie, TX),OG,6-4,308,3,0.8502,TCU
NA,Jalen Patterson,Belleview (Belleview, FL),APB,5-10,170,3,0.8502,uncommitted
NA,Braden Cassity,Westlake (Austin, TX),WDE,6-2,240,3,0.8500,Oklahoma State
NA,Cameron Stage,Cardinal Gibbons (Fort Lauderdale, FL),OG,6-4,295,3,0.8499,Bowling Green
NA,Michael Washington,Monrovia (Monrovia, CA),WR,6-0,157,3,0.8499,Hawaii
NA,EJ Ane,Silver Valley (Yucaipa, CA),WDE,6-1,250,3,0.8499,San Jose State
NA,Justin Williams,Fort Dorchester (North Charleston, SC),ATH,6-1,190,3,0.8499,uncommitted
NA,Demontrez Brown,Bob Jones  (Madison, AL),WR,6-3,200,3,0.8499,Troy
NA,Keonta Nixon,Lake Park (Roselle, IL),WR,6-4,205,3,0.8499,Central Michigan
NA,Elija Godwin,Newton (Covington, GA),S,6-0,190,3,0.8499,uncommitted
NA,Landon Woodson,Stafford Sr. (Fredericksburg, VA),WDE,6-6,220,3,0.8499,UCF
NA,Deon Woods,Lyman (Longwood, FL),WDE,6-5,215,3,0.8499,Florida Atlantic
NA,Jahlil Taylor,Crisp County (Cordele, GA),DT,6-1,290,3,0.8498,North Carolina
NA,Payne He'Bert,Dawson (Pearland, TX),OT,6-4,273,3,0.8498,Northwestern
NA,Jaquon Griffin,Rome (Rome, GA),SDE,6-0,265,3,0.8498,Georgia Tech
NA,Justin McGriff,Jefferson (Tampa, FL),WR,6-5,210,3,0.8498,Nebraska
NA,Anthony Queeley,Lake Nona (Orlando, FL),WR,6-2,195,3,0.8498,Syracuse
NA,McKenzie Barnes,Edison (Fresno, CA),CB,6-0,170,3,0.8497,Arizona
NA,Issaiah Johnson,Los Alamitos (Los Alamitos, CA),ILB,6-3,220,3,0.8497,Arizona
NA,Kedron Williams,St. John Bosco (Bellflower, CA),OLB,6-1,190,3,0.8497,Washington State
NA,DaShon Bussell,Knoxville Catholic (Knoxville, TN),ATH,6-2,182,3,0.8497,Western Michigan
NA,Grahm Roberts,Concord (Wilmington, DE),RB,6-0,220,3,0.8496,uncommitted
NA,Jarrick Bernard,Evangel Christian Academy (Shreveport, LA),S,6-1,195,3,0.8493,Oklahoma State
NA,Joshka Gustav,Aquinas (San Bernardino, CA),OLB,6-3,220,3,0.8493,Colorado
NA,Bryce Oliver,Dillard (Fort Lauderdale, FL),WR,6-3,205,3,0.8493,Kentucky
NA,Teshaun Smith,Western (Fort Lauderdale, FL),CB,6-3,170,3,0.8493,N.C. State
NA,Wooby Theork-Youmans,Naples (Naples, FL),WR,5-10,163,3,0.8493,Virginia
NA,Rashawn Yates,Treasure Coast (Port Saint Lucie, FL),SDE,6-3,250,3,0.8493,USF
NA,Brian Cobbs,Hayfield (Quantico, VA),WR,6-2,200,3,0.8492,Maryland
NA,Kris Dike,Van HS (Van, TX),OT,6-6,290,3,0.8492,TCU
NA,Jayce Rogers,Valdosta (Valdosta, GA),CB,5-8,165,3,0.8492,West Virginia
NA,Katerian Legrone,Best Academy (Atlanta, GA),TE,6-3,230,3,0.8492,Nebraska
NA,Riley Smith,Bartram Trail (Jacksonville, FL),PRO,6-5,215,3,0.8491,Boise State
NA,Jordan Mosley,Haverford (Havertown, PA),OLB,6-1,214,3,0.8490,Maryland
NA,JaKorey Hawkins,Robert E. Lee (Montgomery, AL),CB,5-11,187,3,0.8490,Ole Miss
NA,Peyton Woulard,Collins Hill (Suwanee, GA),S,6-1,175,3,0.8490,Wake Forest
NA,Braxton Clark,Dr. Phillips (Orlando, FL),CB,6-3,180,3,0.8490,Nebraska
NA,Cory Trice,Christian County (Hopkinsville, KY),S,6-2,163,3,0.8489,Purdue
NA,Princeton Pines,Tara (Baton Rouge, LA),OG,6-5,327,3,0.8486,Baylor
NA,Ivan Thomas,Miami Palmetto (Miami, FL),WR,6-4,215,3,0.8485,FIU
NA,Ahmir Crowder,Crenshaw (Los Angeles, CA),DT,6-3,280,3,0.8485,Washington State
NA,Mykee Irving,Calabasas (West Hills, CA),DT,6-4.5,330,3,0.8485,Arizona
NA,Kahlef Hailassie,Cosumnes Oaks (Elk Grove, CA),CB,6-2,185,3,0.8485,Oregon
NA,Khris Banks,De Paul Catholic (Wayne, NJ),OG,6-1.5,290,3,0.8485,Temple
NA,Jacobi Lott,Tascosa (Amarillo, TX),OG,6-5,308,3,0.8485,Kansas
NA,Brad Cecil,Bartram Trail (Jacksonville, FL),OC,6-4,275,3,0.8485,USF
NA,Lancine Turay,Irvington (Irvington, NJ),SDE,6-6,240,3,0.8485,North Carolina
NA,Gabriel Gonzalez,Eastern Alamance (Mebane, NC),OT,6-4,275,3,0.8485,N.C. State
NA,JaVeon Marlow,Winter Haven Senior (Winter Haven, FL),RB,5-10,200,3,0.8485,Vanderbilt
NA,Nicholas Bolton,Lone Star (Frisco, TX),ILB,5-11,228,3,0.8484,Missouri
NA,Ja'Kori Morgan,Clear Lake (Houston, TX),WR,6-2,190,3,0.8484,Houston
NA,Matthew Cindric,Skyline (Sammamish, WA),OT,6-4,270,3,0.8484,California
NA,Noah Palmer,Thomas Jefferson (Clairton, PA),SDE,6-4,215,3,0.8484,Pittsburgh
NA,Trumane Bell,Lake Highlands (Dallas, TX),WDE,6-1,230,3,0.8481,UTSA
NA,Carson Schleker,Allen (Allen, TX),WR,5-9,175,3,0.8481,Iowa State
NA,Tijai Whatley,Darlington School (Rome, GA),ATH,6-2,195,3,0.8481,Georgia Tech
NA,Dekalen Goodson,John Tyler (Tyler, TX),OLB,6-2,205,3,0.8480,Houston
NA,Blake Barron,Rockwall (Rockwall, TX),ILB,6-0,225,3,0.8480,Oklahoma State
NA,Demetreius Mayes,Northwestern (Miami, FL),OLB,6-2,234,3,0.8478,UCF
NA,Ryan Smenda,Fleming Island (Orange Park, FL),ILB,6-1.5,210,3,0.8477,Wake Forest
NA,Patrick Nunn,Junipero Serra (San Mateo, CA),WR,6-3,206,3,0.8477,Washington State
NA,Ryan Montgomery,Franklin (Franklin, OH),RB,5-11,190,3,0.8477,Cincinnati
NA,Jacob Slade,Olentangy (Lewis Center, OH),SDE,6-4,255,3,0.8477,Michigan State
NA,Juan Wallace,IMG Academy (Bradenton, FL),ILB,6-2,215,3,0.8477,Syracuse
NA,Courtney McKinney,East Montgomery (Biscoe, NC),RB,6-2,200,3,0.8477,Wake Forest
NA,Jamar Johnson,Riverview (Sarasota, FL),CB,6-1,190,3,0.8477,Indiana
NA,Jake Andrews,Stanhope Elmore (Millbrook, AL),OT,6-3,286,3,0.8477,Troy
NA,K.J. Robertson,Thompson (Alabaster, AL),OLB,6-2,205,3,0.8477,Troy
NA,Sheldon Jones,Warren Easton (New Orleans, LA),WR,5-9,134,3,0.8477,UTSA
NA,Max Barth,St. Mary's (Stockton, CA),OT,6-6,285,3,0.8477,San Jose State
NA,Teyjohn Herrington,Edison (Fresno, CA),WR,6-2,185,3,0.8477,Nevada
NA,Keyondre White,Dillard (Hollywood, FL),RB,5-10,210,3,0.8477,Akron
NA,Lelan Wilhoite,Siegel (Murfreesboro, TN),RB,5-10,185,3,0.8477,uncommitted
NA,Xavier Johnson,Summit Country Day School (Cincinnati, OH),WR,6-1,215,3,0.8477,uncommitted
NA,Tahj Brown,Donaldsonville (Donaldsonville, LA),SDE,6-2.5,256,3,0.8476,Houston
NA,Jaelyn Nolan,Brownfield (Brownfield, TX),ATH,6-2,185,3,0.8475,uncommitted
NA,Joey Luchetti,Lawrence Academy (Groton, MA),TE,6-6,240,3,0.8474,Boston College
NA,Spencer Trussell,Martin (Arlington, TX),WDE,6-3,215,3,0.8473,Kansas State
NA,Jarek Broussard,Bishop Lynch (Dallas, TX),ATH,5-9,171,3,0.8473,Colorado
NA,Jasper Friis,Aquinas (San Bernardino, CA),OT,6-7,315,3,0.8473,California
NA,Niti Liu,Grant Union (Sacramento, CA),DT,6-3,275,3,0.8473,uncommitted
NA,Tavares Kelly,St. Thomas Aquinas (Fort Lauderdale, FL),WR,5-8,160,3,0.8473,Virginia
NA,Samson Reed,Kahuku (Kahuku, HI),WDE,6-3,252,3,0.8473,Virginia
NA,Jacob Smith,Rosemount Senior (Rosemount, MN),OT,6-6,319,3,0.8472,Brigham Young
NA,Kristian Pechac,Bloomington South (Bloomington, IN),RB,6-0,203,3,0.8471,Indiana
NA,Jason Swann,St. Thomas Aquinas (Pembroke Pines, FL),OT,6-3,270,3,0.8471,Tulane
NA,Miles Marshall,Parkview (Lilburn, GA),WR,6-4,210,3,0.8471,Indiana
NA,Jajuan Cherry,Okeechobee (Okeechobee, FL),ATH,5-8.5,166,3,0.8471,USF
NA,Julian Pearl,Danville (Danville, IL),OT,6-7,245,3,0.8470,Illinois
NA,Nick DeNucci,Pope John XXIII (Sparta, NJ),ILB,6-1,230,3,0.8469,Boston College
NA,Justin Oden,Spring Hill (Columbia, TN),WR,6-3,160,3,0.8468,uncommitted
NA,Christopher Rodriguez,Ola (McDonough, GA),RB,5-11.5,200,3,0.8468,Kentucky
NA,Ylijaah Hall,Bryan (Bryan, TX),OT,6-5,293,3,0.8467,Baylor
NA,Zadock Dinkelmann,Somerset (Somerset, TX),PRO,6-4.5,235,3,0.8467,uncommitted
NA,Blake Kuithe,Cinco Ranch (Katy, TX),SDE,6-2,230,3,0.8467,Utah
NA,Trenton Kennedy,Cy-Fair (Cypress, TX),RB,6-0,209,3,0.8466,uncommitted
NA,Cole Turner,Clackamas (Clackamas, OR),TE,6-6,193,3,0.8466,Nevada
NA,Deandre Fitz-Henley,Clearwater Central Catholic (Clearwater, FL),ILB,6-0,220,3,0.8466,Bowling Green
NA,Emeka Nwanze,Centennial (Roswell, GA),RB,5-11,205,3,0.8466,The Citadel
NA,Alec Pierce,Glenbard West (Glen Ellyn, IL),WR,6-3,196,3,0.8466,Cincinnati
NA,Terez Traynor,Doss Magnet Career Academy (Louisville, KY),ATH,6-3,167,3,0.8466,Western Kentucky
NA,Kurott Garland,Heritage (Conyers, GA),SDE,6-2,273,3,0.8466,Tennessee
NA,Andrew Faoliu,Mater Dei (Santa Ana, CA),WDE,6-3,255,3,0.8466,Oregon
NA,Arthur Brathwaite,Miami Central (Hollywood, FL),S,6-0,180,3,0.8466,Western Kentucky
NA,DeMarcus Townsend,Palmetto Ridge (Naples, FL),RB,5-10,192,3,0.8466,FIU
NA,Trent Ingalls,Menasha (Menasha, WI),S,6-1,175,3,0.8465,uncommitted
NA,Cameron O'Neil,Glenwood School (Phenix City, AL),WR,6-3,190,3,0.8465,Pittsburgh
NA,Avonta Crim,Vanguard (Ocala, FL),S,6-0,195,3,0.8465,Western Kentucky
NA,Grant Misch,Potomac Falls (Sterling, VA),OLB,6-4,232,3,0.8465,Virginia
NA,Izaih Filikitonga,Trinity (Euless, TX),OLB,6-2,270,3,0.8465,TCU
NA,Ryan Betro,Lawrence Academy (Walpole, MA),DT,6-4,280,3,0.8464,Boston College
NA,Chris Mills,Judson (Converse, TX),CB,6-0,185,3,0.8464,Missouri
NA,Tyler Steen,St. Thomas Aquinas (Fort Lauderdale, FL),OT,6-5,300,3,0.8464,Vanderbilt
NA,Anthony Torres,Penn (Mishawaka, IN),TE,6-6,235,3,0.8464,Western Michigan
NA,Joseph White,Landstown (Virginia Beach, VA),S,6-2,175,3,0.8464,Virginia
NA,Tyrone Collins,Braden River (Bradenton, FL),CB,5-10.5,164,3,0.8464,Missouri
NA,Paul Woods,Canisius (Buffalo, NY),WR,6-1,165,3,0.8464,Rutgers
NA,Maleak Bryant,Mays (Atlanta, GA),TE,6-6,225,3,0.8464,Miami (OH)
NA,Samuel Baker,Admiral Farragut Academy (Saint Petersburg, FL),OG,6-3,285,3,0.8464,Toledo
NA,Wyatt Smock,St. Xavier (Louisville, KY),OG,6-4,290,3,0.8464,Vanderbilt
NA,Matthew Thomas,Midwood (Brooklyn, NY),WDE,6-3,237,3,0.8464,Rutgers
NA,Derrick Eason,Norview (Norfolk, VA),SDE,6-4,240,3,0.8464,N.C. State
NA,Tyrese Ross,Westlake (Atlanta, GA),S,6-1,187,3,0.8464,Washington State
NA,Kelvin Stokes,Stanhope Elmore (Millbrook, AL),WDE,6-2,205,3,0.8463,Purdue
NA,Deshon Wilson,Stellar Prep (Hayward, CA),CB,6-1,180,3,0.8463,Oregon State
NA,JaQuez Jackson,Peach County (Fort Valley, GA),ILB,6-1,220,3,0.8463,Georgia Tech
NA,Jaylen Joyner,Jones (Orlando, FL),WDE,6-3,255,3,0.8463,Florida Atlantic
NA,JaCorey Johns,Cartersville (Cartersville, GA),ILB,6-4,221,3,0.8463,Wake Forest
NA,Terry Roberts,Cathedral Prep (Erie, PA),CB,5-10,170,3,0.8463,Iowa
NA,Zamari Walton,Melbourne Central Catholic (Melbourne, FL),CB,6-3,175,3,0.8460,Georgia Tech
NA,Jordan Redmond,Osceola (Kissimmee, FL),DT,6-0,292,3,0.8460,Virginia
NA,Vinny DePalma,De Paul Catholic (Wayne, NJ),ILB,6-1,215,3,0.8459,Boston College
NA,Jaylen Moody,Conway (Conway, SC),ILB,6-2,225,3,0.8457,Alabama
NA,Hidari Ceasar,Richwood (Monroe, LA),S,5-11,175,3,0.8456,TCU
NA,C'Bo Flemister,Pike County (Zebulon, GA),RB,5-11,197,3,0.8456,Notre Dame
NA,A.J. Hampton,Wharton (Tampa, FL),CB,5-11,167,3,0.8456,Northwestern
NA,Josh Marsh,Decatur (Decatur, AL),OLB,6-1.5,215,3,0.8456,Auburn
NA,Thomas Rush,Marysville (Marysville, OH),OLB,6-3,209,3,0.8456,Minnesota
NA,Victor Terry,Cathedral (Los Angeles, CA),OLB,6-2,200,3,0.8455,uncommitted
NA,Ryan Winkel,Christian Brothers (Memphis, TN),OT,6-6,286,3,0.8453,Arkansas
NA,Deneric Prince,Manvel (Manvel, TX),RB,6-1,196,3,0.8452,Texas A&M
NA,Kingston Harris,IMG Academy (Orlando, FL),DT,6-3,285,3,0.8452,Tennessee
NA,Elijiah Brown,Providence Day School (Charlotte, NC),DT,6-4,295,3,0.8452,Duke
NA,Sharrod Frazier,Brunswick (Brunswick, GA),OLB,6-0,192,3,0.8452,Marshall
NA,Austin Smith,Ola (McDonough, GA),DT,6-4,295,3,0.8452,Georgia Tech
NA,Jordan Bonner,Carrollton (Carrollton, GA),WR,6-2,185,3,0.8452,Purdue
NA,Jarett Garner,Hickory Ridge (Harrisburg, NC),WR,6-3,190,3,0.8452,Duke
NA,Tre Adams,Wakeland (Frisco, TX),WR,6-3,178,3,0.8451,Arizona
NA,Brant Kuithe,Cinco Ranch (Katy, TX),ATH,6-3,212,3,0.8451,Utah
NA,David Priebe,Midway (Waco, TX),TE,6-6,212,3,0.8451,UCLA
NA,Chaz Neal,Wesley Chapel (Zephyrhills, FL),WDE,6-7,253,3,0.8451,Florida State
NA,Zamari Ellis,Southern Vance (Henderson, NC),TE,6-4,240,3,0.8451,Duke
NA,John Langan,Bergen Catholic (Oradell, NJ),PRO,6-3,220,3,0.8451,Boston College
NA,Daniel Bolden,Colerain (Cincinnati, OH),ILB,6-1,218,3,0.8447,Toledo
NA,Corey Fulcher,Lake Highlands (Dallas, TX),WR,6-2,180,3,0.8446,Texas Tech
NA,Adonis Boone,Mainland (Daytona Beach, FL),OT,6-5,285,3,0.8446,Louisville
NA,Carlos Sandy,Cardinal Gibbons (Fort Lauderdale, FL),WR,5-8,153,3,0.8446,Illinois
NA,Gabe Horan,Charles W Baker (Baldwinsville, NY),OT,6-6,260,3,0.8445,Syracuse
NA,Samson Evans,Prairie Ridge (Crystal Lake, IL),ATH,5-11.5,200,3,0.8445,Iowa
NA,Zach Petersen,North Scott Senior (Eldridge, IA),SDE,6-4,225,3,0.8444,Iowa State
NA,German Green,DeSoto (DeSoto, TX),S,6-2,168,3,0.8444,Michigan
NA,Andy Koch,Eleanor Roosevelt (Corona, CA),SDE,6-6,251,3,0.8444,Utah State
NA,Mariano Sori-Marin,Providence Catholic (New Lenox, IL),ILB,6-2.5,223,3,0.8444,Minnesota
NA,Jack Sullivan,Plainfield East (Plainfield, IL),SDE,6-5,245,3,0.8444,Purdue
NA,Mike Maye,Hoover (Hoover, AL),OG,6-3,295,3,0.8444,Georgia Tech
NA,Reginald Sutton,Calvert Hall College (Towson, MD),OT,6-4,278,3,0.8444,Rutgers
NA,Brandon Hawkins,Georgetown (Georgetown, TX),OLB,6-3,210,3,0.8439,Boise State
NA,Xavier Benson,Pleasant Grove (Texarkana, TX),OLB,6-3,200,3,0.8439,Texas Tech
NA,Charlie Mangieri,Dunlap (Dunlap, IL),ATH,6-4,230,3,0.8439,Northwestern
NA,Trey Laing,Amos P. Godby (Tallahassee, FL),WDE,6-2,220,3,0.8439,USF
NA,Nathan Latu,Olympus (Salt Lake City, UT),OLB,6-4,230,3,0.8439,Brigham Young
NA,Jay Symonds Jr,Buckingham Browne & Nichols School (Melrose, MA),FB,6-4,257,3,0.8439,Stanford
NA,Quentin Bivens,Wayne County (Waynesboro, MS),DT,6-3,295,3,0.8439,Ole Miss
NA,RJ Roderick,Cane Bay (Summerville, SC),S,6-0,207,3,0.8438,South Carolina
NA,Chritauskie Dove,Ryan (Denton, TX),WR,6-2,200,3,0.8437,Missouri
NA,Marquise Conchola,College Station (College Station, TX),DT,6-1.5,278,3,0.8437,uncommitted
NA,Samuela Tuihalamaka,Mater Dei (Riverside, CA),DT,6-2,275,3,0.8437,Oklahoma State
NA,Martell Irby,Morse (San Diego, CA),RB,5-9,204,3,0.8436,UCLA
NA,Darien Butler,Narbonne (Harbor City, CA),OLB,5-11,215,3,0.8436,Arizona State
NA,Patrick Lupro,Belleville (Belleville, MI),CB,5-8.5,184,3,0.8434,Western Michigan
NA,Garland LaFrance,St. Augustine (New Orleans, LA),RB,5-9.5,169,3,0.8431,Western Kentucky
NA,Jordan Miller,Sandalwood (Jacksonville, FL),DT,6-4,330,3,0.8431,Miami
NA,Tava Finau,Luther Burbank (Sacramento, CA),WDE,6-4,245,3,0.8431,Colorado
NA,Dallas Taylor-Cortez,Chaminade (West Hills, CA),CB,6-2,170,3,0.8431,Iowa State
NA,Jake Levengood,Vacaville (Vacaville, CA),OG,6-4,260,3,0.8431,Oregon State
NA,Jack Cravaack,Madeira (Cincinnati, OH),TE,6-5,224,3,0.8431,Purdue
NA,Bobby Haskins,Hun School  (Princeton, NJ),TE,6-7,250,3,0.8431,Virginia
NA,Edward Warinner,Olentangy Liberty (Powell, OH),ILB,6-2,222,3,0.8431,Michigan State
NA,Grant Norton,Camdenton (Camdenton, MO),OT,6-8,255,3,0.8431,Minnesota
NA,D'Andre Ragin,St. Thomas Aquinas (Opa Locka, FL),OLB,6-3,218,3,0.8431,Toledo
NA,Jordan Domineck,George W. Jenkins Senior (Lakeland, FL),WDE,6-3,220,3,0.8431,Georgia Tech
NA,Jake Bobo,Belmont Hill School (Belmont, MA),WR,6-4,185,3,0.8431,Duke
