"ranking","name","highSchool","position","height","weight","stars","rating","college"
1,"Mike Arnold","Milford Academy (Winter Haven, FL)","OT","6-6","336",3,"0.8755","Florida State"
2,"Dontea Jones","Jireh Prep (Louisville, MS)","TE","6-4","260",3,"0.8641","Mississippi State"
3,"Myles Hartsfield","East Coast Prep (Parlin, NJ)","S","6-0","195",3,"0.8584","Ole Miss"
4,"Elorm Lumor","Milford Academy (Piscataway, NJ)","OLB","6-3","207",3,"0.8478","Rutgers"
5,"Sam Franklin","East Coast Prep (Crystal River, FL)","S","6-3","200",3,"0.8400","Temple"
6,"Artayvious Lynn","Milford Academy (Bossier City, LA)","TE","6-6","235",3,"0.8368","TCU"
7,"Tai'yon Devers","Georgia Prep Sports Academy (Pompano Beach, FL)","WDE","6-4","220",3,"0.8301","Minnesota"
8,"Holland Corbett","Fork Union Military Academy (Fork Union, VA)","K","6-0","170",3,"0.8191","Virginia"
9,"Trevor Brown","Jireh Prep (Upper Marlboro, MD)","SDE","6-6","285",2,"0.7895","Akron"
10,"James Reilly","Fork Union Military Academy (Norwell, MA)","OG","6-3.5","285",2,"0.7889","Massachusetts"
11,"DeUnte Chatman","Loomis Chaffee Prep School (Humble, TX)","ATH","6-0","220",2,"0.7800","New Hampshire"
12,"Brandon Council","Jireh Prep (Matthews, NC)","OT","6-5","300",2,"0.7726","Akron"
13,"Konnor Houston","U.S. Military Academy Prep (Buford, GA)","OLB","6-4","225",2,"0.7719","South Alabama"
14,"Brenndan Johnson","Naval Academy Prep (Waco, TX)","CB","5-11","175",2,"0.7584","Texas-San Antonio"
15,"Taiyir Wilson","Fork Union Military Academy (Collegeville, PA)","RB","6-2","220",2,"0.7000","Temple"
16,"Charlie Davidson","Naval Academy Prep (Murfreesboro, TN)","RB","5-10","200",2,"0.7000","Mercer"
17,"Daniel Evers","Fork Union Military Academy (Fort Lauderdale, FL)","OG","6-4","285",2,"0.7000","William & Mary"
