"ranking","name","highSchool","position","height","weight","stars","rating","college"
1,"Phillip Brown","Hargrave Military Academy (Hampton, VA)","CB","-","-",4,"0.9291","uncommitted"
2,"Brian Soi","Hargrave Military Academy (Chatham, VA)","DT","6-4","290",4,"0.9120","Utah State"
3,"Terry Hunter","Hargrave Military Academy (Chatham, VA)","SDE","6-4","255",3,"0.8849","North Carolina"
4,"Antonio Reynolds","Hargrave Military Academy (Chatham, VA)","WDE","6-3","225",3,"0.8667","Tennessee"
5,"Khalif Mitchell","Hargrave Military Academy (Chatham, VA)","SDE","6-6","280",3,"0.8574","North Carolina"
6,"Chris Anderson","Hargrave Military Academy (Jacksonville, FL)","DT","6-3","295",3,"0.8333","Middle Tennessee State"
7,"DeCody Fagg","Hargrave Military Academy (Chatham, VA)","WR","6-3","185",3,"0.8333","Florida State"
8,"Gremico McSwain","Hargrave Military Academy (Chatham, VA)","S","6-2","205",3,"0.8333","Ole Miss"
9,"Marcus Hands","Hargrave Military Academy (Chatham, VA)","SDE","6-6","270",2,"0.7667","North Carolina"
10,"Dorien Bryant","Fork Union Military Academy (Swedesboro, NJ)","WR","-","-",2,"0.7667","Purdue"
11,"Jake Paulson","Air Force Prep (U S A F Academy, CO)","ILB","6-4","235",2,"0.7667","Air Force"
12,"Dominic Williams","Air Force Prep (U S A F Academy, CO)","OG","6-4","300",2,"0.7667","Pittsburgh"
13,"Andre Bouldin","Fork Union Military Academy (Fork Union, VA)","DT","6-4","310",2,"0.7667","Toledo"
14,"Charles Akinyemi","Air Force Prep (U S A F Academy, CO)","CB","5-8","195",2,"0.7667","SMU"
15,"Blake Merritt","Hargrave Military Academy (Chatham, VA)","SDE","6-4","265",2,"0.7667","Marshall"
16,"Travis McGraw","Hargrave Military Academy (Chatham, VA)","OT","6-6","310",2,"0.7667","Kent State"
17,"Greg Brown","Fork Union Military Academy (Fork Union, VA)","OG","6-3","290",2,"0.7667","Indiana"
18,"Dwavon Battle","Fork Union Military Academy (Fork Union, VA)","DT","6-2","310",2,"0.7667","Temple"
19,"Brandon Flowers","Hargrave Military Academy (Delray Beach, FL)","CB","5-9","180",2,"0.7444","Virginia Tech"
20,"Josh Morgan","Fork Union Military Academy (Washington, DC)","WR","6-2","217",2,"0.7444","Virginia Tech"
21,"Jeremy Palmoore","Hargrave Military Academy (Chatham, VA)","OT","6-6","320",2,"0.7333","Arkansas"
22,"James Terry","Fork Union Military Academy (Fork Union, VA)","OLB","6-3","225",2,"0.7333","Virginia"
23,"Keon Lattimore","Hargrave Military Academy (Chatham, VA)","RB","6-1","205",2,"0.7333","Maryland"
24,"Brandon Setzer","Hargrave Military Academy (Chatham, VA)","SDE","6-6","250",2,"0.7333","N.C. State"
25,"Kenny Price","Hargrave Military Academy (Chatham, VA)","OT","6-5","300",2,"0.7000","North Carolina"
26,"Ryan Shuman","Fork Union Military Academy (Fork Union, VA)","OG","6-3","262",2,"0.7000","Virginia Tech"
27,"Gabe Hall","Fork Union Military Academy (Fork Union, VA)","OG","6-3","320",2,"0.7000","Vanderbilt"
28,"Afa Anoai","Fork Union Military Academy (Fork Union, VA)","DT","6-1","280",2,"0.7000","Connecticut"
29,"Derek Burrell","Hargrave Military Academy (Chatham, VA)","OLB","6-2","225",2,"0.7000","Kent State"
30,"David Carter","Fork Union Military Academy (Fork Union, VA)","TE","6-5","231",2,"0.7000","Vanderbilt"
31,"Xavier Littleberry","Camden Military Academy (Camden, SC)","TE","6-6","240",1,"0.6778","Clemson"
