"ranking","name","highSchool","position","height","weight","stars","rating","college"
1,"Jovon Robinson","Georgia Military College (Memphis, TN)","RB","5-11","225",4,"0.9788","Auburn"
2,"Alvin Kamara","Hutchinson C.C. (Norcross, GA)","RB","5-10.5","210",4,"0.9760","Tennessee"
3,"Marquavius Lewis","Hutchinson C.C. (Greenwood, SC)","SDE","6-4","271",4,"0.9587","South Carolina"
4,"D.J. Jones","East Mississippi C.C. (Piedmont, SC)","DT","6-2","310",4,"0.9346","Ole Miss"
5,"Davon Durant","Butler C.C. (Greenwood, SC)","ILB","6-2","240",4,"0.9256","uncommitted"
6,"Devonte Fields","Trinity Valley C.C. (Arlington, TX)","WDE","6-4","240",4,"0.9222","Louisville"
7,"Donald Gray","Copiah-Lincoln C.C. (Memphis, TN)","WR","5-9","185",4,"0.9131","Mississippi State"
8,"Tony Bridges","Mississippi Gulf Coast C.C. (Hattiesburg, MS)","CB","6-2","185",4,"0.9131","Ole Miss"
9,"Martinas Rankin","Mississippi Gulf Coast C.C. (Perkinston, MS)","OT","6-5","300",4,"0.9125","Mississippi State"
10,"Jason Smith","Mississippi Gulf Coast C.C. (Mobile, AL)","ATH","6-1","180",4,"0.9085","Auburn"
11,"Justin Martin","Northeastern Oklahoma A&M (Nashville, TN)","CB","6-2","183",4,"0.9069","Tennessee"
12,"Paris Palmer","Lackawanna C.C. (Plymouth, NC)","OT","6-8","305",4,"0.9050","Penn State"
13,"De'Quan Hampton","Long Beach City College (Compton, CA)","WR","6-4","220",4,"0.9045","USC"
14,"Dede Westbrook","Blinn College (Cameron, TX)","WR","5-11","175",4,"0.9025","Oklahoma"
15,"Rasul Douglas","Nassau C.C. (Garden City, NY)","CB","6-3","200",4,"0.8969","West Virginia"
16,"Dante Sawyer","East Mississippi C.C. (Suwanee, GA)","WDE","6-2.5","262",4,"0.8959","South Carolina"
17,"Lorenzo Phillips","East Mississippi C.C. (Patterson, LA)","OLB","6-3","230",4,"0.8929","Florida State"
18,"Jeremiah Ledbetter","Hutchinson C.C. (Hutchinson, KS)","DT","6-3","281",4,"0.8919","Arkansas"
19,"Jerome Washington","Mercer County C.C. (Princeton Junction, NJ)","TE","6-5","260",4,"0.8913","Miami"
20,"Chase Abbington","Hutchinson C.C. (Saint Peters, MO)","RB","6-2","210",4,"0.8903","Missouri"
21,"Shalom Luani","City College of San Francisco (American Samoa, AMER)","S","6-1","200",3,"0.8892","Washington State"
22,"Zach Bateman","Orange Coast College (Costa Mesa, CA)","OT","6-7","320",3,"0.8892","UCLA"
23,"Chris Carson","Butler C.C. (Lilburn, GA)","RB","6-1","200",3,"0.8870","Oklahoma State"
24,"Cory Butler-Byrd","Los Angeles Harbor College (Wilmington, CA)","WR","5-11","175",3,"0.8869","Utah"
25,"Jeremy Cutrer","Mississippi Gulf Coast C.C. (Kentwood, LA)","S","6-2","170",3,"0.8827","Middle Tennessee State"
26,"Tyler Howell","Butler C.C. (Bonner Springs, KS)","OT","6-9","302",3,"0.8808","Missouri"
27,"Courtney Miggins","Pearl River C.C. (Lithonia, GA)","DT","6-5","285",3,"0.8800","Kentucky"
28,"Justin Evans","Mississippi Gulf Coast C.C. (Wiggins, MS)","S","6-0","185",3,"0.8762","Texas A&M"
29,"Traver Jung","Holmes C.C. (Greenville, MS)","OLB","6-4","215",3,"0.8762","Mississippi State"
30,"Marcell Frazier","College of Siskiyous (Portland, OR)","SDE","6-4","250",3,"0.8744","Missouri"
31,"Mo Porter","Navarro College (Missouri City, TX)","OT","6-5","295",3,"0.8741","Baylor"
32,"Isaac Whitney","Riverside C.C. (Moore, OK)","WR","6-3","200",3,"0.8733","USC"
33,"Jonathan Taylor","Copiah-Lincoln C.C. (Millen, GA)","DT","6-4","335",3,"0.8732","Alabama"
34,"Chad Kelly","East Mississippi C.C. (Buffalo, NY)","DUAL","6-1","210",3,"0.8727","Ole Miss"
35,"Demond Tucker","Copiah-Lincoln C.C. (Hazlehurst, MS)","DT","6-1","285",3,"0.8722","Iowa State"
36,"Brandon Hodges","East Mississippi C.C. (Scooba, MS)","OT","6-5","295",3,"0.8717","Texas"
37,"Anthony Fotu","Laney College (Oakland, CA)","DT","6-4","285",3,"0.8708","Arizona"
38,"Motekiai Maile","Tyler J.C.  (Euless, TX)","DT","6-4","300",3,"0.8706","Oklahoma State"
39,"Kwamane Bowens","Butler C.C. (Salem, VA)","WR","6-0","195",3,"0.8700","Texas State"
40,"Glen Bethel","Arizona Western College (Hialeah, FL)","OT","6-5","295",3,"0.8691","USF"
41,"Jeremy Smith","Fresno City College (Hammond, LA)","RB","6-1","225",3,"0.8690","Louisville"
42,"Quinn Mittermeier","Butler C.C. (Topeka, KS)","OT","6-5","285",3,"0.8689","Oklahoma"
43,"Will Johnson","Monroe College (Baltimore, MD)","CB","6-0","185",3,"0.8687","Oklahoma"
44,"Jamal Danley","East Mississippi C.C. (Byhalia, MS)","OT","6-5","310",3,"0.8687","Oklahoma"
45,"Austin Roberts","Northeastern Oklahoma A&M (Warner Robins, GA)","SDE","6-6","265",3,"0.8681","Oklahoma"
46,"Quincy Vasser","Navarro College (Nyack, NY)","SDE","6-4","260",3,"0.8681","Texas"
47,"Damion Ratley","Blinn College (Yoakum, TX)","WR","6-1","185",3,"0.8662","Texas A&M"
48,"Johnathan Calvin","Copiah-Lincoln C.C. (Jackson, MS)","SDE","6-4","250",3,"0.8656","Mississippi State"
49,"Deonte Reynolds","Contra Costa College (Pinole, CA)","DT","6-5","325",3,"0.8656","Arizona State"
50,"Maurice Swain Jr.","Mississippi Gulf Coast C.C. (Lagrange, GA)","DT","6-4","295",3,"0.8650","Auburn"
51,"Malik Cuellar","City College of San Francisco (San Francisco, CA)","OT","6-5","290",3,"0.8648","Missouri"
52,"Camion Patrick","East Mississippi C.C. (Knoxville, TN)","WR","6-2","215",3,"0.8645","Indiana"
53,"Toure Boyd","Chaffey College (Rancho Cucamonga, CA)","S","6-1","195",3,"0.8644","South Carolina"
54,"Claude George","Hutchinson C.C. (Lafayette, LA)","OLB","6-2","230",3,"0.8640","Texas A&M"
55,"Dominique Reed","Coffeyville C.C. (Camden, AR)","WR","6-4","185",3,"0.8636","Arkansas"
56,"Deya Mhiesen","Los Angeles Pierce College (Philadelphia, PA)","OT","6-7","305",3,"0.8635","uncommitted"
57,"Karsman Johnson","Northeastern Oklahoma A&M (Nashville, TN)","SDE","6-3","265",3,"0.8628","uncommitted"
58,"Drake Martinez","Saddleback College (Laguna Beach, CA)","OLB","6-2","220",3,"0.8617","Michigan State"
59,"Alfonso Hampton","Southwestern College (Chula Vista, CA)","DT","6-5","300",3,"0.8615","Texas A&M Commerce"
