ranking,name,highSchool,position,height,weight,stars,rating,college
1,Millard Bradford,Fork Union Military Academy (Helotes	 TX),S,5-10, 180 ,3,0.8602,TCU
2,Tyquan Johnson,Fork Union Military Academy (Sylvania	 GA),WR,6-3, 180 ,3,0.8487,South Carolina
3,Andrew Tuazama,Jireh Prep (Knightdale	 NC),SDE,6-6, 235 ,3,0.8366,Syracuse
4,Jason Vaughn,Advanced Prep Academy (Miami	 FL),WDE,6-5, 225 ,3,0.8250,USF
5,Yvandy Rigby,Milford Academy (New Berlin	 NY),OLB,6-2, 205 ,3,0.8206,Temple
6,Broc Thompson,Fork Union Military Academy (Indianapolis	 IN),WR,6-3, 181 ,2,0.7845,Marshall
