"ranking","name","highSchool","position","height","weight","stars","rating","college"
1,"Jarrett Stidham","McLennan C.C. (Stephenville, TX)","DUAL","6-3","210",4,"0.9642","Auburn"
2,"Isaiah Buggs","Mississippi Gulf Coast C.C. (Ruston, LA)","SDE","6-5","280",4,"0.9551","Alabama"
3,"Kendall Sheffield","Blinn College (Missouri City, TX)","CB","6-0","185",4,"0.9438","Ohio State"
4,"Elliot Baker","City College of San Francisco (San Francisco, CA)","OT","6-7","295",4,"0.9223","Alabama"
5,"Gary Johnson","Dodge City C.C. (Birmingham, AL)","ILB","6-1","225",4,"0.9202","Texas"
6,"Blake Barnett","Palomar College (Corona, CA)","PRO","6-5","211",4,"0.9088","Arizona State"
7,"Brandon Martin","Mississippi Gulf Coast C.C. (Dallas, TX)","WR","6-4","205",4,"0.9053","Arkansas"
8,"Jeremy Patton","Arizona Western College (Indianapolis, IN)","TE","6-6","230",4,"0.9050","Arkansas"
9,"Corrion Ballard","Blinn College (Humble, TX)","S","6-2","200",4,"0.8988","Utah"
10,"Javon Kinlaw","Jones County J.C. (Goose Creek, SC)","SDE","6-6","340",4,"0.8979","South Carolina"
11,"Jhavonte Dean","Blinn College (Homestead, FL)","CB","6-2","180",4,"0.8966","Miami"
12,"Chauncey Rivers","East Mississippi C.C. (Stone Mountain, GA)","WDE","6-2","258",4,"0.8965","Mississippi State"
13,"Marquise Brown","College of the Canyons (Hollywood, FL)","WR","5-11","170",4,"0.8950","Oklahoma"
14,"D'Marcus Hayes","Mississippi Gulf Coast C.C. (Madison, MS)","OT","6-6","320",4,"0.8950","Georgia"
15,"Marquise Blair","Dodge City C.C. (Wooster, OH)","OLB","6-3","190",4,"0.8942","Utah"
16,"Johnathan Abram","Jones County J.C. (Columbia, MS)","S","6-1","200",3,"0.8899","Mississippi State"
17,"Sal Cannella","Scottsdale C.C. (Arlington Heights, IL)","TE","6-6","230",3,"0.8898","Auburn"
18,"Keisean Nixon","Arizona Western College (Paramount, CA)","CB","5-10","192",3,"0.8870","South Carolina"
19,"George Moore","College of San Mateo (Antioch, CA)","OT","6-7","308",3,"0.8812","Oregon"
20,"Torrance Gibson","Cincinnati State (Fort Lauderdale, FL)","DUAL","6-4","205",3,"0.8800","Cincinnati"
21,"Ravian Pierce","Southwest Mississippi C.C. (Fort Lauderdale, FL)","TE","6-4","225",3,"0.8792","Syracuse"
22,"Micheal Clemons","Cisco College (Sachse, TX)","SDE","6-6","240",3,"0.8787","Texas A&M"
23,"Deion Pope","Copiah-Lincoln C.C. (Collins, MS)","DT","6-4","280",3,"0.8787","Mississippi State"
24,"Dillon Faamatau","Cerritos College (Norwalk, CA)","DT","6-4","290",3,"0.8778","Oklahoma"
25,"Andrew Van Ginkel","Iowa Western C.C. (Rock Valley, IA)","WDE","6-4","230",3,"0.8777","Wisconsin"
26,"Adonis Thomas","Northwest Mississippi C.C. (Lawrenceville, GA)","ILB","6-3","230",3,"0.8767","Florida State"
27,"Octavius Matthews","Itawamba C.C. (Stevenson, AL)","ATH","6-2","200",3,"0.8764","Kansas"
28,"Lee Autry","Itawamba C.C. (Albemarle, NC)","DT","6-3","310",3,"0.8762","Mississippi State"
29,"Kamilo Tongamoa","Merced College (Sun Valley, CA)","DT","6-5","320",3,"0.8742","Iowa State"
30,"Mike Hughes","Garden City C.C.  (New Bern, NC)","CB","5-11","185",3,"0.8739","uncommitted"
31,"Delshawn Phillips","Garden City C.C.  (Detroit, MI)","ILB","6-1","215",3,"0.8737","Illinois"
32,"Isiah Moore","Mesa C.C. (Tiffin, OH)","OG","6-4","300",3,"0.8731","Boise State"
33,"Tareke Lewis","Riverside C.C. (Palatka, FL)","CB","6-1","170",3,"0.8727","Utah"
34,"Ronald Rudd","Chaffey College (Fontana, CA)","OT","6-7","305",3,"0.8722","Louisville"
35,"Patrick Macon","Arizona Western College (Millington, TN)","ILB","6-3","235",3,"0.8720","Oklahoma State"
36,"Octavious Morgan","Butler C.C. (Greenwood, SC)","CB","6-0","200",3,"0.8698","Texas Tech"
37,"Rasool Clemons","East Mississippi C.C. (Aiken, SC)","WDE","6-6","240",3,"0.8696","Troy"
38,"Marcelias Sutton","Lackawanna C.C. (Warsaw, NC)","ATH","5-9","198",3,"0.8687","Oklahoma"
39,"Tommy Champion","Copiah-Lincoln C.C. (Jackson, MS)","OT","6-5","320",3,"0.8687","Mississippi State"
40,"Robert Valencia","City College of San Francisco (San Francisco, CA)","OT","6-6","290",3,"0.8687","Washington State"
41,"Ray Lima","El Camino College (Torrance, CA)","DT","6-3","310",3,"0.8681","Iowa State"
42,"De'Andre Johnson","East Mississippi C.C. (Jacksonville, FL)","PRO","6-0","177",3,"0.8681","Florida Atlantic"
43,"Josh Allen","Long Beach City College (Torrance, CA)","SDE","6-4","260",3,"0.8681","Syracuse"
44,"Markel Winters","Jones County J.C. (Tallahassee, FL)","WDE","6-4.5","260",3,"0.8676","Ole Miss"
45,"Elijah Walker","Cerritos College (Long Beach, CA)","S","6-2","195",3,"0.8668","Kansas State"
46,"Brian Cole","East Mississippi C.C. (Saginaw, MI)","S","6-2","200",3,"0.8663","Mississippi State"
47,"Jordan Agasiva","Pima C.C. (Mililani, HI)","OT","6-5.5","290",3,"0.8657","Utah"
48,"Phil Hoskins","Highland C.C. (Toledo, OH)","DT","6-5","275",3,"0.8656","Kentucky"
49,"D.J. Gillins","Pearl River C.C. (Jacksonville, FL)","DUAL","6-3","205",3,"0.8656","SMU"
50,"Matt Leo","Arizona Western College (Australia, AUST)","WDE","6-7","265",3,"0.8656","Iowa State"
51,"Dennis Daley","Georgia Military College (Columbia, SC)","OT","6-6","309",3,"0.8632","South Carolina"
52,"Thomas McDonald","Grossmont College (West Palm Beach, FL)","RB","5-11","195",3,"0.8626","uncommitted"
53,"Montez Sweat","Copiah-Lincoln C.C. (Stone Mountain, GA)","WDE","6-6","250",3,"0.8617","Mississippi State"
54,"Jamie Tago","Garden City C.C.  (Pago Pago, AS)","SDE","6-2","250",3,"0.8604","Hawaii"
55,"Jake Luton","Ventura College (Marysville, WA)","PRO","6-6","220",3,"0.8601","Oregon State"
56,"Malik Young","Eastern Arizona College (Marietta, GA)","DT","6-2","280",3,"0.8601","Missouri"
57,"TJ Jallow","East Mississippi C.C. (Olive Branch, MS)","CB","6-1","205",3,"0.8582","Purdue"
58,"Jaylon Lane","Independence C.C. (Nacogdoches, TX)","CB","6-1","185",3,"0.8576","Texas Tech"
59,"Kelby Wickline","Jones County J.C. (Stillwater, OK)","OT","6-5","276",3,"0.8576","West Virginia"
60,"Walter Palmore","Eastern Arizona College (Columbus, GA)","DT","6-4","295",3,"0.8576","Missouri"
61,"Jalen Guyton","Trinity Valley C.C. (Allen, TX)","WR","6-1","200",3,"0.8571","North Texas"
62,"Marques Ford","Jones County J.C. (Gibsonton, FL)","SDE","6-4","235",3,"0.8566","uncommitted"
63,"Brenden Williams","Northeast Mississippi C.C. (Fairfield, AL)","ILB","6-3.5","230",3,"0.8563","Ole Miss"
64,"Joe Anderson","Copiah-Lincoln C.C. (Reserve, LA)","SDE","6-6","303",3,"0.8551","Houston"
65,"Gabriel Luyanda","Garden City C.C.  (Tampa, FL)","OLB","6-5","230",3,"0.8551","UCF"
66,"Kaleb Chalmers","Northwest Mississippi C.C. (Greenwood, SC)","CB","5-11","171",3,"0.8551","South Carolina"
67,"Craig Evans","Arizona Western College (Sun Prairie, WI)","DT","6-3","305",3,"0.8545","Oregon State"
68,"Javier Edwards","Blinn College (Houston, TX)","DT","6-2","325",3,"0.8536","Colorado"
69,"Javien Hamilton","Jones County J.C. (Bay Springs, MS)","CB","5-10","170",3,"0.8532","Ole Miss"
70,"Cameron Burston","Contra Costa College (Hayward, CA)","PRO","6-3","205",3,"0.8526","New Mexico"
71,"Mik'Quan Deane","Northeastern Oklahoma A&M (Tulsa, OK)","TE","6-4","230",3,"0.8526","Western Kentucky"
72,"John Penisini","Snow College (West Jordan, UT)","DT","6-2","285",3,"0.8526","Utah"
73,"Justin Sattelmaier","Palomar College (San Marcos, CA)","OT","6-7","300",3,"0.8525","Oregon State"
74,"Nate Anderson","New Mexico Military Institute (Prattville, AL)","SDE","6-3","255",3,"0.8525","Missouri"
75,"Dante Wigley","Holmes C.C. (Carrollton, GA)","CB","6-1","185",3,"0.8522","Colorado"
76,"Lonnie Johnson","Garden City C.C.  (Gary, IN)","S","6-3","190",3,"0.8522","Kentucky"
77,"John Vaka","Diablo Valley College (Oakland, CA)","OT","6-5","275",3,"0.8520","Brigham Young"
78,"Dionte Sykes","Mesa C.C. (Gilbert, AZ)","WR","6-4","213",3,"0.8520","uncommitted"
79,"Demarre Kitt","Highland C.C. (Tyrone, GA)","WR","6-1","185",3,"0.8519","uncommitted"
80,"Dakota Allen","East Mississippi C.C. (Humble, TX)","ILB","6-2","235",3,"0.8507","Texas Tech"
81,"Derrion Grim","San Joaquin Delta College (Stockton, CA)","WR","6-0","195",3,"0.8504","Fresno State"
82,"Mykelti Williams","Iowa Western C.C. (Indianapolis, IN)","S","6-0","200",3,"0.8504","Syracuse"
83,"Hasan Defense","Kilgore J.C. (Jacksonville, FL)","CB","6-0","180",3,"0.8504","Kansas"
84,"David Sills","El Camino College (Elkton, MD)","WR","6-3","198",3,"0.8503","West Virginia"
85,"Michael Sawyers","ASA College (New York) (Nashville, TN)","DT","6-3","306",3,"0.8500","uncommitted"
86,"Cassius Peat","Pima C.C. (Tempe, AZ)","SDE","6-3","258",3,"0.8496","uncommitted"
87,"Dwayne Lawson","Hutchinson C.C. (Tampa, FL)","PRO","6-6","222",3,"0.8496","Illinois"
88,"Isaiah Patrick","East Mississippi C.C. (Florence, AL)","RB","5-11","180",3,"0.8495","uncommitted"
