ranking,name,highSchool,position,height,weight,stars,rating,college
752,Reese Smith,Boyle County (Danville	 KY),WR,5-11,175,3,0.8416,uncommitted
753,Frank Brown,Sterling (Houston	 TX),RB,6-0,180,3,0.8416,uncommitted
754,Kody Epps,Mater Dei (Santa Ana	 CA),ATH,5-11,160,3,0.8416,uncommitted
755,JD Johnson,Pinnacle (Phoenix	 AZ),PRO,6-4,190,3,0.8416,Michigan
756,Jonathan Davis,South Oak Cliff (Dallas	 TX),S,6-2,170,3,0.8416,uncommitted
757,Keith Miller,The Colony (The Colony	 TX),WR,6-4,200,3,0.8416,uncommitted
758,Chandler Morris,Highland Park (Dallas	 TX),DUAL,6-0,170,3,0.8416,uncommitted
759,Alaka'i Gilman,Punahou (Honolulu	 HI),S,5-11,190,3,0.8416,uncommitted
760,Stanley McKenzie,St Louis School (Honolulu	 HI),DT,6-2,270,3,0.8416,uncommitted
761,Antonio Stevens,Battle Ground Academy (Franklin	 TN),S,6-2,185,3,0.8416,uncommitted
762,Tyler Elsbury,Byron 9-12 (Byron	 IL),OG,6-5,270,3,0.8400,uncommitted
763,Giovanni De Leon,Los Alamitos (Los Alamitos	 CA),OLB,6-1,200,3,0.8400,uncommitted
764,Noah Pappas,Robbinsdale Armstrong (Minneapolis	 MN),OT,6-5,285,3,0.8400,uncommitted
765,Mekhi Hagens,Cardinal Ritter College Prep (Saint Louis	 MO),DUAL,6-2,185,3,0.8400,uncommitted
766,Ty Wise,Carmel (Carmel	 IN),OLB,6-2,210,3,0.8400,uncommitted
767,Jakob James,Elder (Cincinnati	 OH),OT,6-5,275,3,0.8400,uncommitted
768,Trey Leroux,Norwalk (Norwalk	 OH),OT,6-8,320,3,0.8400,uncommitted
769,Andray Pope,Hillcrest (Evergreen	 AL),ATH,6-0,200,3,0.8400,uncommitted
770,Demarkus Cunningham,Bessemer City (Bessemer	 AL),OLB,6-1,205,3,0.8400,uncommitted
771,Dakota Thomas,Shiloh (Snellville	 GA),WR,6-0,160,3,0.8400,uncommitted
772,Kyle Mann,McEachern (Powder Springs	 GA),DT,6-1,260,3,0.8400,uncommitted
773,Will Plummer,Gilbert (Gilbert	 AZ),PRO,6-2,205,3,0.8400,uncommitted
774,Tye Kassen,Saguaro (Scottsdale	 AZ),OT,6-3,255,3,0.8400,uncommitted
775,Devyn King,Junipero Serra (Gardena	 CA),CB,5-11,175,3,0.8400,uncommitted
776,James Smith,St. John Bosco (Bellflower	 CA),CB,6-2,180,3,0.8400,uncommitted
777,Treyshaun Mitchell,King's Fork (Suffolk	 VA),DT,6-1,324,3,0.8400,uncommitted
778,Elijah Burrell,Tulare Western (Tulare	 CA),DUAL,6-2,175,3,0.8400,uncommitted
779,Joe Moore,Cardinal Ritter College Prep (Saint Louis	 MO),SDE,6-4,252,3,0.8400,uncommitted
780,Shamar Smith,St. James (Saint James	 LA),ATH,5-10,160,3,0.8400,uncommitted
781,Malik Jones,Zephyrhills Christian Academy (Zephyrhills	 FL),DT,6-2,260,3,0.8400,uncommitted
782,Anthony Bland,Stillwater (Stillwater	 OK),WR,6-2,190,3,0.8400,uncommitted
783,Nate Ritchie,Lone Peak (American Fork	 UT),S,6-3,200,3,0.8400,uncommitted
784,Jake Overman,Servite (Anaheim	 CA),TE,6-4,235,3,0.8400,uncommitted
785,Donovan Kaufman,Archbishop Rummel (Metairie	 LA),S,5-10,194,3,0.8400,uncommitted
786,Joseph Church,Upland (Upland	 CA),OT,6-5,285,3,0.8400,uncommitted
787,Terah Edwards,Groveport Madison (Groveport	 OH),OG,6-4,310,3,0.8400,uncommitted
788,Justin Wodtly,Cleveland Heights (Cleveland	 OH),WDE,6-3,240,3,0.8388,uncommitted
789,Jason Eaton,Clarksville (Clarksville	 TN),OT,6-6,320,3,0.8377,uncommitted
790,Riley Keller,Whitmer (Toledo	 OH),PRO,6-1.5,210,3,0.8377,uncommitted
791,Ryan Brandt,Angola (Angola	 IN),S,6-1,202,3,0.8377,uncommitted
792,Corey Flagg,North Shore (Houston	 TX),ILB,5-10,210,3,0.8377,uncommitted
793,Anthony Romphf,Southfield (Southfield	 MI),DUAL,6-0,180,3,0.8377,uncommitted
794,Nicholas Hilliard,Ascension Catholic (Donaldsonville	 LA),DT,6-3,276,3,0.8366,uncommitted
795,Jabbar Muhammad,DeSoto (DeSoto	 TX),CB,5-10,165,3,0.8366,Oklahoma State
796,Javion Cohen,Central (Phenix City	 AL),OT,6-5,275,3,0.8366,uncommitted
797,Andrew Rumary,Valley Vista (Surprise	 AZ),OG,6-7,295,3,0.8366,uncommitted
798,Jaylan Jeffers,Saguaro (Scottsdale	 AZ),OT,6-6,260,3,0.8366,uncommitted
799,Choe Bryant-Strother,Greater Atlanta Christian School (Norcross	 GA),ILB,6-3,240,3,0.8366,uncommitted
800,Isaiah Bruce,Lena-Winslow (Lena	 IL),SDE,6-1,241,3,0.8366,Iowa
801,Grant Mahon,Guyer (Denton	 TX),DT,6-4,260,3,0.8366,Oklahoma State
802,George Odimegwu,Summit (Spring Hill	 TN),WR,5-10.5,170,3,0.8366,uncommitted
803,Garnett Hollis,Battle Ground Academy (Franklin	 TN),ATH,6-1,185,3,0.8366,uncommitted
804,Collin Gamble,Liberty Christian (Argyle	 TX),CB,5-10,175,3,0.8366,uncommitted
805,Dahlin Mesake,Bishop Gorman (Las Vegas	 NV),OLB,6-3,230,3,0.8355,Brigham Young
806,Savion Williams,Marshall (Marshall	 TX),WR,6-4,195,3,0.8355,uncommitted
807,Lawrence Arnold,DeSoto (DeSoto	 TX),WR,6-3,175,3,0.8355,uncommitted
808,Zephron Lester,Christ The King Regional (Middle Village	 NY),DT,6-0,255,3,0.8333,uncommitted
809,Rashaan Carlton Jr.,Susquehanna Twp (Harrisburg	 PA),DUAL,6-2,180,3,0.8333,uncommitted
810,Jahquez Robinson,Sandalwood (Jacksonville	 FL),CB,6-2,180,3,0.8333,uncommitted
811,Montra Edwards,Holmes County Central (Lexington	 MS),SDE,6-3,280,3,0.8333,uncommitted
812,Andre Gooden,Whitehaven (Memphis	 TN),ATH,5-11,170,3,0.8333,uncommitted
813,Brandon Fields,Dr. Phillips (Orlando	 FL),RB,5-11,195,3,0.8333,uncommitted
814,Quasean Holmes,Butler (Matthews	 NC),RB,5-10,197,3,0.8333,uncommitted
815,Grant Conger,Thomasville (Thomasville	 GA),OG,6-4,305,3,0.8333,uncommitted
816,Isaiah Wright,St Joseph (Metuchen	 NJ),SDE,6-5,255,3,0.8333,uncommitted
817,William Mohan,Erasmus Hall (Brooklyn	 NY),ATH,6-1,195,3,0.8333,uncommitted
818,Joshua Rawlings,Woodland Hills (Pittsburgh	 PA),TE,6-5,230,3,0.8333,uncommitted
819,Najae Hallenbeck,Toms River North (Toms River	 NJ),OT,6-4.5,293,3,0.8333,uncommitted
820,Cole Finney,Hingham (Hingham	 MA),TE,6-6,220,3,0.8333,uncommitted
821,Ahmani Marshall,East Forsyth (Kernersville	 NC),RB,6-0,205,3,0.8333,uncommitted
822,Navy Shuler,Christ School (Arden	 NC),PRO,6-1,195,3,0.8333,uncommitted
823,Zuriah Fisher,Aliquippa (Aliquippa	 PA),OLB,6-3,225,3,0.8333,uncommitted
824,Jaidyn Denis,Mallard Creek (Charlotte	 NC),S,6-2,190,3,0.8333,uncommitted
825,Kendall Karr,Stuart W. Cramer (Cramerton	 NC),TE,6-4,225,3,0.8333,uncommitted
826,Markeice Warner,Ballard (Louisville	 KY),RB,5-10,205,3,0.8333,uncommitted
827,Cameron Sneed,Whitehaven (Memphis	 TN),RB,5-10,180,3,0.8333,uncommitted
828,Jake Lugg,North Allegheny (Wexford	 PA),OT,6-4,275,3,0.8333,uncommitted
829,Will Howard,Downingtown-West Campus (Downingtown	 PA),PRO,6-4,205,3,0.8333,uncommitted
830,Mitch Griffis,Broad Run (Ashburn	 VA),DUAL,5-11,183,3,0.8333,Wake Forest
831,Alexander Gilbertson,The Peddie School (Hightstown	 NJ),OT,6-7,295,3,0.8333,uncommitted
832,Isaac Gifford,Lincoln Southeast (Lincoln	 NE),S,6-0,175,3,0.8333,uncommitted
833,Chase Jones,Glasgow (Glasgow	 KY),DT,6-2,270,3,0.8333,uncommitted
834,Dominic Busby,Seton Hall Preparatory School (West Orange	 NJ),TE,6-4,215,3,0.8333,uncommitted
835,Jordan Watkins,De Sales (Louisville	 KY),ATH,6-0,180,3,0.8333,uncommitted
836,Israel Abanikanda,Abraham Lincoln (Brooklyn	 NY),APB,5-11,183,3,0.8333,uncommitted
837,Jordan Davis,Seminole (Sanford	 FL),TE,6-4,225,3,0.8333,UCF
838,Leviticus Madison,Meridian (Meridian	 MS),DT,6-3,290,3,0.8333,uncommitted
839,AJ Beatty,Central Catholic (Pittsburgh	 PA),SDE,6-5,240,3,0.8333,uncommitted
840,Aakil Washington,Wheeler (Marietta	 GA),SDE,6-3,218,3,0.8333,uncommitted
841,Dane Jackson,Madison Southern (Berea	 KY),OC,6-0,275,3,0.8333,uncommitted
842,Andre Stringfield,Northwestern (Miami	 FL),RB,5-8,160,3,0.8333,uncommitted
843,Kaiser Cambra-Cho,St Louis School (Honolulu	 HI),S,6-2,195,3,0.8333,uncommitted
844,Jaheem Joseph,Monsignor Pace (Opa Locka	 FL),CB,5-11,170,3,0.8333,Northwestern
845,Ahmed Bailey,Friendship Christian Academy (Tampa	 FL),ILB,6-0,179,3,0.8333,uncommitted
846,Bradley Ashmore,Duncan U. Fletcher (Neptune Beach	 FL),OT,6-6,280,3,0.8333,Vanderbilt
847,Antonio Webb Jr.,Life Christian Academy (Colonial Heights	 VA),CB,5-10,170,3,0.8333,uncommitted
848,Justin Barron,Suffield Academy (Suffield	 CT),ATH,6-4,190,3,0.8333,uncommitted
849,Carson Hinton,University Of Detroit Jesuit HS (Detroit	 MI),ATH,6-0,160,3,0.8333,uncommitted
850,Sammy Solomon,Wyoming Valley West  (Plymouth	 PA),DT,6-3,295,3,0.8333,uncommitted
851,Ozzy Trapilo,Boston College (Boston	 MA),OT,6-8,255,3,0.8333,uncommitted
852,Riley Birdwell,Nacogdoches (Nacogdoches	 TX),OG,6-4,330,3,0.8327,uncommitted
853,Nathaniel James,Avon (Avon	 IN),DT,6-0,250,3,0.8316,uncommitted
854,Rome Odunze,Bishop Gorman (Las Vegas	 NV),WR,6-1,185,3,0.8316,uncommitted
855,Dirk Nelson,Central Valley Christian Schools (Visalia	 CA),OC,6-3,285,3,0.8316,uncommitted
856,Doug Brumfield,Junipero Serra (Gardena	 CA),PRO,6-5,185,3,0.8316,uncommitted
857,Detraveon Brown,Northwood (Shreveport	 LA),WR,5-11,178,3,0.8316,uncommitted
858,Jalen Paxton,Manvel (Manvel	 TX),WR,6-1,165,3,0.8316,uncommitted
859,Austin Collins,Christian Academy Of Louisville (Louisville	 KY),SDE,6-4,260,3,0.8316,uncommitted
860,Devonte Nelson,Memphis University School (Memphis	 TN),CB,5-10,175,3,0.8316,uncommitted
861,Malachi Burns,Central (Shelbyville	 TN),WR,6-3,195,3,0.8316,uncommitted
862,AJ Davis,Maryville (Maryville	 TN),WR,5-10,175,3,0.8316,uncommitted
863,Gary Smith,Central (Shelbyville	 TN),OG,6-2,300,3,0.8316,uncommitted
864,Clarence Dalton,Ball (Galveston	 TX),RB,5-10,213,3,0.8316,uncommitted
865,Tiago Sumbo,Seven Lakes (Katy	 TX),DT,6-3,280,3,0.8316,uncommitted
866,Freddy Edwards,Granite City (Granite City	 IL),ATH,6-0,160,3,0.8305,uncommitted
867,John Miller,Tualatin (Tualatin	 OR),ILB,6-1,215,3,0.8305,Oregon State
868,Plae Wyatt,Bishop Lynch (Dallas	 TX),S,5-11,194,3,0.8305,uncommitted
869,Braydon Bennett,Southside (Greenville	 SC),ATH,6-1,180,3,0.8300,uncommitted
870,Tyler Huenemann,Mt. Pleasant Senior (Mount Pleasant	 MI),WDE,6-3,250,3,0.8300,uncommitted
871,Miyan Williams,Winton Woods (Cincinnati	 OH),RB,5-10,210,3,0.8300,uncommitted
872,Jared Bycznski,Midpark (Berea	 OH),OT,6-4,295,3,0.8300,uncommitted
873,Lance Keneley,Mission Viejo (Mission Viejo	 CA),SDE,6-5,220,3,0.8300,uncommitted
874,DeShawn Lynch,Folsom (Folsom	 CA),SDE,6-4,265,3,0.8300,uncommitted
875,Jackson LaDuke,Spanish Springs (Sparks	 NV),OLB,6-3,205,3,0.8300,uncommitted
876,Joey Wright,Bishop Manogue HS (Reno	 NV),OT,6-6,270,3,0.8300,uncommitted
877,Van Fillinger,Corner Canyon (Draper	 UT),SDE,6-3,240,3,0.8300,uncommitted
878,Logan Pili,Timpview (Provo	 UT),S,6-1,195,3,0.8300,uncommitted
879,Alex Harrison,Viewmont (Bountiful	 UT),OT,6-6,295,3,0.8300,uncommitted
880,Nicolas Session,East (Salt Lake City	 UT),CB,5-11,174,3,0.8300,uncommitted
881,Jake Newman,St. John Bosco (Bellflower	 CA),S,6-0.5,189,3,0.8300,uncommitted
882,Dejuan Butler,Antioch (Antioch	 CA),CB,5-11,170,3,0.8300,uncommitted
883,Malik Naherny,Lord Tweedsmuir Secondary (Surrey	 BC),OLB,6-4,215,3,0.8300,uncommitted
884,Isaiah Young,Centennial (Corona	 CA),CB,5-11,170,3,0.8300,uncommitted
885,Ace Kaufusi,Kahuku (Kahuku	 HI),OLB,6-2.5,165,3,0.8300,uncommitted
886,Lewa Emmsley,Kapolei (Kapolei	 HI),ILB,6-2,220,3,0.8300,uncommitted
887,Ira Armstead,Adams (South Bend	 IN),DUAL,6-4,195,3,0.8300,uncommitted
888,Kasen Kinchen,Lake Stevens Sr (Lake Stevens	 WA),CB,5-11,165,3,0.8300,uncommitted
889,Javon Forward,Auburn Riverside (Auburn	 WA),S,6-1,200,3,0.8300,uncommitted
890,Brady Feeney,Christian Brothers College (Saint Louis	 MO),OG,6-5,270,3,0.8300,uncommitted
891,Jordan Smith,Lutheran North (Saint Louis	 MO),S,5-11,155,3,0.8300,uncommitted
892,Semaj Brown,Thornton Fractnl No (Calumet City	 IL),S,6-2,185,3,0.8300,uncommitted
893,John Williams,Bolingbrook (Bolingbrook	 IL),OT,6-5,310,3,0.8300,uncommitted
894,Kenyetta Williams,Joliet Catholic Academy (Joliet	 IL),RB,5-10,175,3,0.8300,uncommitted
895,Decorri Brown,Palm Beach Gardens (Palm Beach Gardens	 FL),DT,6-2,285,3,0.8300,uncommitted
896,Andy Alfieri,Jesuit (Portland	 OR),OLB,6-3,210,3,0.8300,uncommitted
897,Reggie Bracy,St. Paul's Episcopal (Mobile	 AL),CB,6-1,190,3,0.8300,uncommitted
898,Tucker Melton,Central (Phenix City	 AL),PRO,6-3,205,3,0.8300,uncommitted
899,Jaylen Clausell,Pine Forest (Pensacola	 FL),WDE,6-3,205,3,0.8300,uncommitted
900,Tyler Bride,Greater Atlanta Christian School (Norcross	 GA),ATH,5-10,172,3,0.8300,uncommitted
901,Isaac Jernagin,Bakersfield (Bakersfield	 CA),ATH,5-8,156,3,0.8300,uncommitted
902,Blake Sturgill,Moorpark (Moorpark	 CA),PRO,6-2,215,3,0.8300,uncommitted
903,Corey Wren,John Curtis (New Orleans	 LA),ATH,5-9,170,3,0.8300,uncommitted
904,Quinton Cage,Archbishop Rummel (Metairie	 LA),S,5-10,185,3,0.8300,uncommitted
905,Traevon Williams,Lutheran North (Saint Louis	 MO),OT,6-4,285,3,0.8300,uncommitted
906,Bodie Schoonover,American Fork (American Fork	 UT),OLB,6-4,210,3,0.8300,Brigham Young
907,Mark Ard Jr.,Santa Margarita Catholic (Santa Margarita	 CA),CB,6-0,165,3,0.8300,uncommitted
908,Justin Sistrunk,Munford (Munford	 AL),OLB,6-2,214,3,0.8300,uncommitted
909,Juan Jarrett,Princeton (Cincinnati	 OH),OLB,6-2,190,3,0.8300,uncommitted
910,Sawyer Goram-Welch,Longview (Longview	 TX),SDE,6-4,265,3,0.8300,uncommitted
911,Kenny Tracy,Decatur Central (Indianapolis	 IN),APB,5-11,165,3,0.8300,uncommitted
912,Willie Eldridge,Cy Ranch (Cypress	 TX),RB,5-11,200,3,0.8300,uncommitted
913,Austin Hill,Evangelical Christian (Cordova	 TN),ILB,6-2,220,3,0.8300,uncommitted
914,Jordan Williams,Gainesville (Gainesville	 GA),OT,6-5,290,3,0.8300,uncommitted
915,Adam Karas,Pomona (Arvada	 CO),OT,6-5,272,3,0.8300,uncommitted
916,Graham Barton,Ravenwood (Brentwood	 TN),OT,6-4,260,3,0.8300,uncommitted
917,Quadre Nicholson,Evanston Township (Evanston	 IL),RB,6-0,185,3,0.8277,uncommitted
918,Lester Shaw,East Nashville Magnet School (Nashville	 TN),S,6-1,180,3,0.8277,uncommitted
919,Brett Nezat,Saraland (Saraland	 AL),PRO,6-5,218,3,0.8266,uncommitted
920,Braedon Nutter,Memorial (Tomball	 TX),DT,6-3,285,3,0.8266,uncommitted
921,Tyrece Edwards,Knoxville West (Knoxville	 TN),WDE,6-3,240,3,0.8266,uncommitted
922,Josh Minkins Jr.,Ballard (Louisville	 KY),ATH,6-3,183,3,0.8266,uncommitted
923,Willis Singleton,Warren Township (Gurnee	 IL),DT,6-2,285,3,0.8266,uncommitted
924,Hunter Dunn,Tomball (Tomball	 TX),PRO,6-4,175,3,0.8266,uncommitted
925,Cornelius Dyson,Kentwood (Kentwood	 LA),ATH,6-2,182,3,0.8266,uncommitted
926,Loronzo Thompson,Clear Brook (Friendswood	 TX),WR,6-0,165,3,0.8266,uncommitted
927,Kenneth Phillips III,Fort Bend Bush (Richmond	 TX),OLB,6-0,196,3,0.8255,uncommitted
928,Donavon Johnson,John Paul II (Plano	 TX),WR,6-5,200,3,0.8216,uncommitted
929,Tyler Fletcher,East Nashville Magnet School (Nashville	 TN),ATH,6-3,175,3,0.8216,uncommitted
930,Gerrien Christopher,Indian River (Chesapeake	 VA),WR,6-0,190,3,0.8216,uncommitted
931,Kendal Taylor,Klein Oak (Spring	 TX),APB,5-9,172,3,0.8216,Houston
932,Elijah Burris,Mountain Island Charter (Mount Holly	 NC),RB,5-10,210,3,0.8205,North Carolina
933,Khalan Griffin,The Brook Hill School (Bullard	 TX),ATH,5-10,190,3,0.8205,uncommitted
934,TJ Rush,Trinity Catholic (Saint Louis	 MO),S,6-0,170,3,0.8199,uncommitted
935,Isaiah Newell,Las Lomas (Walnut Creek	 CA),ATH,6-3,215,3,0.8199,uncommitted
936,Branson Taylor,Elyria Catholic (Elyria	 OH),OT,6-6,290,3,0.8199,uncommitted
937,Jeffrey Tolliver,Springfield  (Springfield	 OH),RB,5-11,183,3,0.8199,uncommitted
938,David Afari,Lakota West (West Chester	 OH),RB,5-11,195,3,0.8199,uncommitted
939,Chris Mayfield,Hilliard Bradley (Hilliard	 OH),ATH,6-3,200,3,0.8199,uncommitted
940,Bangally Kamara,East (Akron	 OH),S,6-2,190,3,0.8199,uncommitted
941,Dupree Williams,Compton Dominguez (Compton	 CA),S,6-2,175,3,0.8199,uncommitted
942,Tyevin Ford,Upland (Upland	 CA),RB,5-11,200,3,0.8199,uncommitted
943,DeAndre Hill,Big Lake Senior (Big Lake	 MN),RB,6-1,205,3,0.8199,uncommitted
944,Keith Jackson,Long Beach Poly (Long Beach	 CA),OG,6-2,250,3,0.8199,uncommitted
945,Damien Moore,Bishop Amat (La Puente	 CA),RB,5-10,190,3,0.8199,uncommitted
946,Caden Rose,Bob Jones  (Madison	 AL),DUAL,5-10,170,3,0.8199,uncommitted
947,Logan Self,Hewitt-Trussville (Trussville	 AL),OG,6-3,265,3,0.8199,uncommitted
948,Bam Amina,Bishop Gorman (Las Vegas	 NV),ILB,6-0,205,3,0.8199,uncommitted
949,Sione Lolohea,Maui (Kahului	 HI),SDE,6-4,245,3,0.8199,uncommitted
950,Jakai Torres,St. Bernard (Playa Del Rey	 CA),ATH,6-0,185,3,0.8199,uncommitted
951,Jermaine Marshall,Antelope Valley (Lancaster	 CA),RB,5-7,175,3,0.8199,uncommitted
952,Kamron Forest,Cajon (San Bernardino	 CA),CB,5-8,170,3,0.8199,uncommitted
953,Tanoa Togiai,Rigby Senior (Rigby	 ID),WDE,6-6,255,3,0.8199,uncommitted
954,Elijah Queen,Narbonne (Harbor City	 CA),WR,6-4,170,3,0.8199,uncommitted
955,Sean Evans,Rancho Cucamonga (Rancho Cucamonga	 CA),ILB,6-0,227,3,0.8199,uncommitted
956,Jeremiah Trojan,Hamilton (Chandler	 AZ),ILB,6-3,215,3,0.8199,uncommitted
957,Micah Harper,Basha (Chandler	 AZ),CB,5-10,155,3,0.8199,uncommitted
958,Sterling Stokes,Bishop O'Dowd (Oakland	 CA),TE,6-4,205,3,0.8199,uncommitted
959,Armon Wallace,DeSmet (Saint Louis	 MO),DT,6-0,283,3,0.8199,uncommitted
960,Briston Bennett,Battle Ground Academy (Franklin	 TN),CB,6-0,165,3,0.8199,uncommitted
961,Elijah Wood,St. Mary's (Stockton	 CA),OLB,6-3,205,3,0.8199,uncommitted
962,Jalen Williams,Belleville (Belleville	 MI),WR,6-4,180,3,0.8199,uncommitted
963,Cedrick Pellum,James Madison (Dallas	 TX),WR,6-1,180,3,0.8199,uncommitted
964,Seth McLaughlin,Buford (Buford	 GA),OT,6-4,270,3,0.8199,uncommitted
965,Moses Sepulona,Mater Dei (Santa Ana	 CA),OLB,6-0,195,3,0.8199,uncommitted
966,Terion Stewart,Sandusky (Sandusky	 OH),RB,5-7,195,3,0.8199,uncommitted
967,Ethan Wright,Manchester (Akron	 OH),RB,6-1,195,3,0.8199,uncommitted
968,Joe Royer,Elder (Cincinnati	 OH),TE,6-5,210,3,0.8199,uncommitted
969,Connor Cmiel,St. Ignatius (Cleveland	 OH),WR,6-2,175,3,0.8199,uncommitted
970,Kevo Wesley,Curie Metropolitan (Chicago	 IL),SDE,6-5,260,3,0.8199,uncommitted
971,Rashad Lampkin,Brookfield Central (Brookfield	 WI),RB,5-10,190,3,0.8199,uncommitted
972,Patrick Roberg,Westlake (Westlake Village	 CA),PRO,6-3,220,3,0.8199,uncommitted
973,Roman Wilson,St. Louis (Honolulu	 HI),WR,5-11,155,3,0.8199,uncommitted
974,Dominique Webster,Autauga Academy (Prattville	 AL),TE,6-4,210,3,0.8199,uncommitted
975,Jaquez Yant,Amos P. Godby (Tallahassee	 FL),RB,6-0,185,3,0.8199,uncommitted
976,Makius Scott,Gainesville (Gainesville	 GA),SDE,6-3,260,3,0.8199,uncommitted
977,Dylan Mayginnes,Hamilton (Chandler	 AZ),OG,6-5,285,3,0.8199,uncommitted
978,Will Shaffer,Saguaro (Scottsdale	 AZ),ATH,6-1,210,3,0.8199,uncommitted
979,Jay Max Jacobsen,Temecula Valley (Temecula	 CA),SDE,6-4,230,3,0.8199,uncommitted
980,Treshawn Watson,Antioch Comm (Antioch	 IL),WR,6-3,190,3,0.8199,uncommitted
981,Jamal Ligon,Robert E Lee (Tyler	 TX),SDE,6-2,240,3,0.8199,uncommitted
982,Chubba Purdy,Perry (Gilbert	 AZ),DUAL,6-2,196,3,0.8199,uncommitted
983,Cody Crist,Plano (Plano	 TX),RB,6-1,189,3,0.8166,uncommitted
984,Frank Wilson IV,Brandeis (San Antonio	 TX),CB,5-9,170,3,0.8166,uncommitted
985,Jarrie Spikes,Cy Creek (Houston	 TX),S,5-11,179,3,0.8166,uncommitted
986,Denzel Blackwell,Strake Jesuit (Houston	 TX),CB,5-10,155,3,0.8166,uncommitted
987,Pearson Hendrix,Bishop Dunne (Dallas	 TX),RB,5-11,180,3,0.8116,uncommitted
988,KJ Murden,Central (Bolivar	 TN),WR,5-10,165,3,0.8116,uncommitted
989,Jeremiah Harris,Shadow Creek (Pearland	 TX),ILB,6-1,205,3,0.8116,uncommitted
990,Myles Nash,Sachse (Sachse	 TX),APB,5-6,167,3,0.8116,uncommitted
991,Cedric Gray,Ardrey Kell (Charlotte	 NC),WR,6-2,190,3,0.8111,uncommitted
992,Devin Willock,Paramus Catholic (Paramus	 NJ),OG,6-6,330,3,0.8111,uncommitted
993,Miko Maessner,Kearney (Kearney	 NE),ATH,6-1,180,3,0.8111,uncommitted
994,Jada Byers,St. Joseph (Hammonton	 NJ),ATH,5-5,168,3,0.8111,uncommitted
994,Jason Romero,Scotland County (Laurinburg	 NC),WDE,6-3,218,3,0.8111,uncommitted
996,Darryl Williams,Smyrna (Smyrna	 DE),ILB,6-1.5,227,3,0.8111,uncommitted
997,Cameron Large,Noble And Greenough School (Pomfret Center	 CT),ATH,6-5,232,3,0.8111,uncommitted
998,Joshua Johnson,Salem (Salem	 NJ),SDE,6-4,215,3,0.8111,uncommitted
999,Connor Katz,Cranford Sr (Cranford	 NJ),PRO,6-1,170,3,0.8111,uncommitted
1000,Sanoussi Kane,Blair Academy (New York	 NY),S,6-1,195,3,0.8111,uncommitted
NA,Lamagea McDowell,Charlotte Catholic (Charlotte	 NC),RB,6-1,215,3,0.8111,uncommitted
NA,Jay Brunelle,St John's (Paxton	 MA),WR,6-2,195,3,0.8111,uncommitted
NA,Zahir Swann,Irvington (Irvington	 NJ),WR,5-7,170,3,0.8111,uncommitted
NA,Darius Jones,Butler Traditional (Louisville	 KY),CB,5-9,160,3,0.8111,uncommitted
NA,Lonnie Rice,Bishop McDevitt (Wyncote	 PA),S,6-0,185,3,0.8111,uncommitted
NA,Stefon Thompson,Zebulon B. Vance (Charlotte	 NC),ATH,6-0,222,3,0.8111,uncommitted
NA,Tyrell Ford,Sanderson (Raleigh	 NC),CB,5-11,170,3,0.8111,uncommitted
NA,Michael Frogge,Northern Guilford (Greensboro	 NC),ILB,6-4,215,3,0.8111,uncommitted
NA,Trey Dawson,Kent School (Middlebury	 CT),PRO,6-5,210,3,0.8111,uncommitted
NA,Andrew Nee,Buckingham Browne & Nichols School (Walpole	 MA),OG,6-4,285,3,0.8111,uncommitted
NA,Ethan Hilliman,Somerville (Somerville	 NJ),ATH,6-4,210,3,0.8111,uncommitted
NA,Gabriel Hollingsworth,Reagan (Pfafftown	 NC),PRO,6-3,205,3,0.8111,uncommitted
NA,Trevor Willard,Reagan (Pfafftown	 NC),WDE,6-5,215,3,0.8111,uncommitted
NA,Eamonn Dennis,St John's (Worcester	 MA),ATH,5-11,173,3,0.8111,uncommitted
NA,Chavon McEachern,Trinity Christian School (Fayetteville	 NC),RB,6-0,185,3,0.8111,uncommitted
NA,Seth Jones,St Pius X (Houston	 TX),WR,6-0,175,3,0.8105,Boston College
NA,Casey Filkins,Lake Oswego Senior (Lake Oswego	 OR),ATH,5-11,180,3,0.8099,uncommitted
NA,Thomas Dukart,Lake Oswego Senior (Lake Oswego	 OR),WR,6-2,175,3,0.8099,uncommitted
NA,Shamir Bey,Archbishop Mitty (San Jose	 CA),DUAL,6-3,190,3,0.8099,uncommitted
NA,Gavin Beerup,St. Bonaventure (Ventura	 CA),PRO,6-4,190,3,0.8099,uncommitted
NA,Ke'shun Ford,Lincoln (San Diego	 CA),WR,6-0,175,3,0.8099,uncommitted
NA,Deven Vanderbilt,Valley Christian (San Jose	 CA),CB,5-11,152,3,0.8099,uncommitted
NA,Justin Baker,Kennedy Catholic (Burien	 WA),RB,5-9,170,3,0.8099,uncommitted
NA,Rodney Robinson,Cajon (San Bernardino	 CA),CB,5-8,155,3,0.8099,uncommitted
NA,Erik Barker,McNary (Keizer	 OR),PRO,6-3,205,3,0.8099,uncommitted
NA,Donovan Clark,Sumner Senior (Sumner	 WA),CB,6-3,190,3,0.8099,uncommitted
NA,Isaiah Perez,Othello (Othello	 WA),SDE,6-3,240,3,0.8099,uncommitted
NA,Avery Morrow,Garfield (Seattle	 WA),RB,6-1,205,3,0.8099,uncommitted
NA,Adam Johnson,Olympic (Bremerton	 WA),WR,6-1,160,3,0.8099,uncommitted
