"ranking","name","highSchool","position","height","weight","stars","rating","college"
1,"D.J. Williams","De La Salle (Concord, CA)","ILB","6-2","235",5,"0.9998","Miami"
2,"Brock Berlin","Evangel Christian Academy (Shreveport, LA)","PRO","6-2","190",5,"0.9998","Florida"
3,"Charles Rogers","Saginaw (Saginaw, MI)","WR","6-4","195",5,"0.9988","Michigan State"
4,"Travis Johnson","Notre Dame (Sherman Oaks, CA)","SDE","6-4","265",5,"0.9982","Florida State"
5,"Marcus Houston","Thomas Jefferson (Denver, CO)","RB","6-0","208",5,"0.9980","Colorado"
6,"Kwame Harris","Newark (Newark, DE)","OT","6-7","320",5,"0.9978","Stanford"
7,"B.J. Johnson","South Grand Prairie (Grand Prairie, TX)","WR","6-1","190",5,"0.9976","Texas"
8,"Bryant McFadden","McArthur (Hollywood, FL)","CB","6-1","182",5,"0.9968","Florida State"
9,"Sam Maldonado","Harrison (Harrison, NY)","RB","6-2","215",5,"0.9964","Ohio State"
10,"Mike Munoz","Archbishop Moeller (Cincinnati, OH)","OT","6-7","290",5,"0.9960","Tennessee"
11,"Willis McGahee","Miami Central (Miami, FL)","RB","6-1","215",5,"0.9948","Miami"
12,"Antonio Hall","McKinley (Canton, OH)","OT","6-5","295",5,"0.9946","Kentucky"
13,"Darrell Lee","Kirkwood (Saint Louis, MO)","WDE","6-5","230",5,"0.9940","Florida"
14,"O.J. Owens","North Stanly (New London, NC)","S","6-1","195",5,"0.9932","Tennessee"
15,"Jeff Smoker","Manheim Central (Manheim, PA)","PRO","6-3","190",5,"0.9922","Michigan State"
16,"Marco Cooper","Cass Technical (Detroit, MI)","OLB","6-2","235",5,"0.9918","Ohio State"
17,"Chance Mock","The Woodlands (The Woodlands, TX)","PRO","6-2","190",5,"0.9918","Texas"
18,"Roy Williams","Permian (Odessa, TX)","WR","6-4","202",5,"0.9916","Texas"
19,"Matt Grootegoed","Mater Dei (Santa Ana, CA)","OLB","5-11","205",5,"0.9914","USC"
20,"Yohance Buchanan","Douglass (Atlanta, GA)","S","6-1","210",5,"0.9912","Florida State"
21,"Mac Tyler","Jess Lanier (Hueytown, AL)","DT","6-6","320",5,"0.9912","Alabama"
22,"Jason Respert","Northside (Warner Robins, GA)","OC","6-3","300",5,"0.9902","Tennessee"
23,"Casey Clausen","Bishop Alemany (Mission Hills, CA)","PRO","6-4","215",5,"0.9896","Tennessee"
24,"Albert Means","Trezevant (Memphis, TN)","SDE","6-6","310",5,"0.9890","Alabama"
25,"Albert Hollis","Christian Brothers (Sacramento, CA)","RB","6-0","190",5,"0.9890","Georgia"
26,"Eric Moore","Pahokee (Pahokee, FL)","OLB","6-4","226",5,"0.9884","Florida State"
27,"Willie Dixon","Stockton Christian School (Stockton, CA)","WR","5-11","182",5,"0.9884","Miami"
28,"Cory Bailey","American (Hialeah, FL)","S","5-10","175",5,"0.9880","Florida"
29,"Sean Young","Northwest Whitfield County (Tunnel Hill, GA)","OG","6-6","293",5,"0.9878","Tennessee"
30,"Johnnie Morant","Parsippany Hills (Morris Plains, NJ)","WR","6-5","225",5,"0.9871","Syracuse"
31,"Wes Sims","Weatherford (Weatherford, OK)","OG","6-5","310",5,"0.9869","Oklahoma"
32,"Tyson Thompson","Bell (Irving, TX)","RB","6-2","195",5,"0.9869","TCU"
33,"Jason Campbell","Taylorsville (Taylorsville, MS)","PRO","6-5","190",5,"0.9853","Auburn"
34,"Antwan Odom","Alma Bryant (Irvington, AL)","SDE","6-7","260",5,"0.9851","Alabama"
35,"Sloan Thomas","Klein (Spring, TX)","WR","6-2","188",5,"0.9847","Texas"
36,"Raymond Mann","Hampton (Hampton, VA)","ILB","6-1","233",5,"0.9847","Virginia"
37,"Alphonso Townsend","Lima Central Catholic (Lima, OH)","DT","6-6","280",5,"0.9847","Ohio State"
38,"Greg Jones","Battery Creek (Beaufort, SC)","RB","6-2","245",5,"0.9837","Florida State"
39,"Chris Septak","Millard West (Omaha, NE)","TE","6-3","245",5,"0.9833","Nebraska"
40,"Paul Mociler","St. John Bosco (Bellflower, CA)","OG","6-5","300",5,"0.9833","UCLA"
41,"Eric Knott","Henry Ford II (Sterling Heights, MI)","TE","6-4","235",4,"0.9831","Michigan State"
42,"Harold James","Osceola (Osceola, AR)","S","6-1","220",4,"0.9827","Alabama"
43,"Chris Rix","Santa Margarita Catholic (Rancho Santa Margarita, CA)","PRO","6-4","200",4,"0.9827","Florida State"
44,"Teyo Johnson","Mira Mesa (San Diego, CA)","ATH","6-7","256",4,"0.9827","Stanford"
45,"Chris McKelvy","North Penn (Lansdale, PA)","OT","6-5","300",4,"0.9821","Penn State"
46,"Joe McGuire","Servite (Anaheim, CA)","OT","6-5","225",4,"0.9819","USC"
47,"Anthony Bryant","Sunshine Sch (Newbern, AL)","SDE","6-4","310",4,"0.9815","Alabama"
48,"Brock Edwards","Fort Worth Christian (North Richland Hills, TX)","TE","6-5","250",4,"0.9815","Texas"
49,"Carlos Perez","Hoboken (Hoboken, NJ)","WR","6-1","195",4,"0.9811","Florida"
50,"Adam Doiron","Duncan (Duncan, OK)","SDE","6-4","260",4,"0.9807","Texas"
51,"Tre Orr","Columbia (Lake City, FL)","S","6-2","190",4,"0.9805","Florida"
52,"Hobie Holiday","Houston County (Warner Robins, GA)","OLB","6-5","228",4,"0.9791","Georgia Tech"
53,"Shannon Snell","Hillsborough (Tampa, FL)","OG","6-6","305",4,"0.9791","Florida"
54,"Larry Stevens","Wilson (Tacoma, WA)","OLB","6-4","215",4,"0.9791","Michigan"
55,"Sam Ruhe","Walsh Jesuit (Stow, OH)","SDE","6-5","245",4,"0.9787","Penn State"
