"ranking","name","highSchool","position","height","weight","stars","rating","college"
1,"Bobby Massie","Hargrave Military Academy (Lynchburg, VA)","OT","6-8","335",4,"0.9333","Ole Miss"
2,"Kevin Newsome","Hargrave Military Academy (Chesapeake, VA)","PRO","-","-",4,"0.9274","Penn State"
3,"Marlon Walls","Hargrave Military Academy (Chatham, VA)","DT","6-3","278",4,"0.9222","Tennessee"
4,"Dee Finley","Milford Academy (Auburn, AL)","S","6-1","193",4,"0.9222","Florida"
5,"Kevin Reddick","Hargrave Military Academy (Chatham, VA)","ILB","6-3","230",4,"0.9111","North Carolina"
6,"Anthony Oden","Hargrave Military Academy (Chatham, VA)","OT","6-8","320",4,"0.9111","Arkansas"
7,"D.J. Coles","Fork Union Military Academy (Goochland, VA)","WR","6-3","220",4,"0.9111","Virginia Tech"
8,"Khyri Thornton","Hargrave Military Academy (Chatham, VA)","DT","6-3","300",4,"0.9000","Southern Miss"
9,"Darius Barksdale","Hargrave Military Academy (Batesville, MS)","RB","6-0","190",4,"0.8991","Ole Miss"
10,"Chaz Sutton","Fork Union Military Academy (Fork Union, VA)","WDE","6-4","244",4,"0.8991","South Carolina"
11,"Leon Mackey","Fork Union Military Academy (Fork Union, VA)","SDE","6-6","260",4,"0.8970","South Carolina"
12,"Jermaine Johnson","Hargrave Military Academy (Fort Lauderdale, FL)","OT","6-6","309",3,"0.8875","Miami"
13,"Jonathan Meeks","Hargrave Military Academy (Rock Hill, SC)","S","6-3","205",3,"0.8875","Clemson"
14,"Tony Gregory","Fork Union Military Academy (Virginia Beach, VA)","RB","6-0","180",3,"0.8778","Virginia Tech"
15,"Ronald Byrd","Fork Union Military Academy (Fork Union, VA)","SDE","6-7","260",3,"0.8750","South Carolina"
16,"Antonio Harper","Hargrave Military Academy (Chatham, VA)","OLB","6-4","230",3,"0.8674","Troy"
17,"DeAngelo Benton","Hargrave Military Academy (Bastrop, LA)","WR","6-3","210",3,"0.8667","Auburn"
18,"Cody Blue","Fork Union Military Academy (Fork Union, VA)","DT","6-5","280",3,"0.8537","Maryland"
19,"Jermaine Robinson","Milford Academy (New Berlin, NY)","CB","6-2","165",3,"0.8505","Toledo"
20,"Zack Kerr","Fork Union Military Academy (Fork Union, VA)","DT","6-3","295",3,"0.8472","Maryland"
21,"Zack Kerr","Fork Union Military Academy (Fork Union, VA)","DT","6-3","295",3,"0.8472","Maryland"
22,"Christopher Henderson","Milford Academy (New Berlin, NY)","DT","6-3","313",3,"0.8451","Akron"
23,"Kent Walker","Hargrave Military Academy (Chatham, VA)","ILB","6-2","235",3,"0.8333","Kent State"
24,"Devin Figaro","Hargrave Military Academy (Chatham, VA)","WR","6-2","185",3,"0.8333","Tulane"
25,"Tyshon Goode","Hargrave Military Academy (Chatham, VA)","ATH","6-0","186",3,"0.8333","Kent State"
26,"Danny White","Hargrave Military Academy (Chatham, VA)","OLB","6-2","215",3,"0.8333","UAB"
27,"Donte Rumph","Fork Union Military Academy (Saint Matthews, SC)","SDE","6-3","260",3,"0.8324","Kentucky"
28,"Ansel Ponder","Hargrave Military Academy (Chatham, VA)","WR","6-3","195",3,"0.8222","Western Michigan"
29,"Darius Polk","Hargrave Military Academy (Chatham, VA)","S","6-1","195",3,"0.8222","Kent State"
30,"Brandon Washington","Milford Academy (Miami, FL)","OG","6-4","330",3,"0.8197","Miami"
31,"Garrick Piggott","Hargrave Military Academy (Chatham, VA)","WR","6-1","185",3,"0.8111","Kent State"
32,"Mike Daniels","Hargrave Military Academy (Chatham, VA)","S","6-0","195",3,"0.8000","Kent State"
33,"Alex Jackson","Milford Academy (New Berlin, NY)","WDE","6-4","225",2,"0.7889","Temple"
34,"C.J. Steward","Hargrave Military Academy (Chatham, VA)","OLB","6-0","210",2,"0.7778","Kent State"
35,"Maurice Jones","Hargrave Military Academy (Chatham, VA)","CB","5-10","178",2,"0.7667","Temple"
36,"Ryan Murray","Hargrave Military Academy (Chatham, VA)","OT","6-6","325",2,"0.7556","Temple"
37,"Stephan Sewell","Air Force Prep (U S A F Academy, CO)","OLB","6-5","252",2,"0.7519","Eastern Michigan"
38,"Jamil Shaw","Fork Union Military Academy (Fork Union, VA)","CB","6-1","184",2,"0.7333","Ohio"
39,"Matt Jones","Milford Academy (New Berlin, NY)","WDE","6-1","215",2,"0.7333","Buffalo"
40,"Jelani Woseley","Fork Union Military Academy (Fork Union, VA)","ATH","6-2","200",2,"0.7333","Ohio"
41,"Mike Yocius","Fork Union Military Academy (Fork Union, VA)","OG","6-4","295",1,"0.6889","New Mexico State"
42,"Skyler Allen","Fork Union Military Academy (Fork Union, VA)","OG","6-4","265",1,"0.6667","Ohio"
